Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0619,001,40CL0096,181100,430700,781,,772,522,472,1981/05/28,1984/01/26
B40C0619,001,40CL0096,181100,430700,781,,770,520,470,1984/01/26,1986/04/02
B40C0619,001,40CL0096,181100,430700,781,,780,520,470,1986/04/02,1988/03/29
B40C0619,001,40CL0096,181100,430700,781,,774,524,474,1988/03/29,1990/03/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0619,001,1981/05/28 00:00:00,100,
B40C0619,001,1981/06/29 00:00:00,109,
B40C0619,001,1981/07/28 00:00:00,118,
B40C0619,001,1981/08/28 00:00:00,129,
B40C0619,001,1981/09/29 00:00:00,123,
B40C0619,001,1981/10/28 00:00:00,69,
B40C0619,001,1981/11/27 00:00:00,67,
B40C0619,001,1981/12/28 00:00:00,49,
B40C0619,001,1982/01/28 00:00:00,53,
B40C0619,001,1982/03/01 00:00:00,59,
B40C0619,001,1982/03/29 00:00:00,59,
B40C0619,001,1982/04/28 00:00:00,100,
B40C0619,001,1982/05/27 00:00:00,106,
B40C0619,001,1982/06/28 00:00:00,99,
B40C0619,001,1982/07/27 00:00:00,112,
B40C0619,001,1982/08/27 00:00:00,128,
B40C0619,001,1982/09/28 00:00:00,133,
B40C0619,001,1982/10/28 00:00:00,104,
B40C0619,001,1982/11/29 00:00:00,116,
B40C0619,001,1982/12/28 00:00:00,102,
B40C0619,001,1983/01/28 00:00:00,74,
B40C0619,001,1983/02/28 00:00:00,164,
B40C0619,001,1983/03/28 00:00:00,86,
B40C0619,001,1983/04/28 00:00:00,49,
B40C0619,001,1983/05/31 00:00:00,31,
B40C0619,001,1983/06/28 00:00:00,68,
B40C0619,001,1983/07/28 00:00:00,99,
B40C0619,001,1983/08/26 00:00:00,133,
B40C0619,001,1983/09/29 00:00:00,114,
B40C0619,001,1983/10/28 00:00:00,120,
B40C0619,001,1983/11/25 00:00:00,121,
B40C0619,001,1983/12/27 00:00:00,64,
B40C0619,001,1984/01/27 00:00:00,72,
B40C0619,001,1984/02/28 00:00:00,55,
B40C0619,001,1984/03/26 00:00:00,66,
B40C0619,001,1984/04/26 00:00:00,75,
B40C0619,001,1984/05/28 00:00:00,71,
B40C0619,001,1984/06/28 00:00:00,66,
B40C0619,001,1984/08/07 00:00:00,106,
B40C0619,001,1984/08/27 00:00:00,106,
B40C0619,001,1984/09/28 00:00:00,79,
B40C0619,001,1984/10/29 00:00:00,56,
B40C0619,001,1984/11/29 00:00:00,73,
B40C0619,001,1985/01/03 00:00:00,81,
B40C0619,001,1985/01/28 00:00:00,74,
B40C0619,001,1985/02/28 00:00:00,95,
B40C0619,001,1985/03/28 00:00:00,103,
B40C0619,001,1985/04/26 00:00:00,66,
B40C0619,001,1985/05/29 00:00:00,71,
B40C0619,001,1985/06/28 00:00:00,60,
B40C0619,001,1985/07/12 00:00:00,63,
B40C0619,001,1985/08/28 00:00:00,70,
B40C0619,001,1985/09/26 00:00:00,79,
B40C0619,001,1985/10/28 00:00:00,108,
B40C0619,001,1985/11/21 00:00:00,169,
B40C0619,001,1986/04/28 00:00:00,59,
B40C0619,001,1986/05/29 00:00:00,67,
B40C0619,001,1986/06/26 00:00:00,78,
B40C0619,001,1986/07/25 00:00:00,101,
B40C0619,001,1986/08/22 00:00:00,121,
B40C0619,001,1986/10/02 00:00:00,118,
B40C0619,001,1986/11/03 00:00:00,67,
B40C0619,001,1986/11/26 00:00:00,61,
B40C0619,001,1986/12/22 00:00:00,61,
B40C0619,001,1987/01/27 00:00:00,76,
B40C0619,001,1987/03/30 00:00:00,51,
B40C0619,001,1987/04/29 00:00:00,68,
B40C0619,001,1987/05/27 00:00:00,70,
B40C0619,001,1988/04/28 00:00:00,82,
B40C0619,001,1988/06/01 00:00:00,91,
B40C0619,001,1988/06/27 00:00:00,126,
B40C0619,001,1988/07/29 00:00:00,62,
B40C0619,001,1988/08/26 00:00:00,81,
B40C0619,001,1988/09/26 00:00:00,69,
B40C0619,001,1988/10/28 00:00:00,85,
B40C0619,001,1988/11/28 00:00:00,105,
B40C0619,001,1988/12/28 00:00:00,57,
B40C0619,001,1989/01/27 00:00:00,87,
B40C0619,001,1989/02/27 00:00:00,71,
B40C0619,001,1989/03/28 00:00:00,57,
B40C0619,001,1989/04/27 00:00:00,67,
B40C0619,001,1989/06/01 00:00:00,99,
B40C0619,001,1989/06/28 00:00:00,115,
B40C0619,001,1989/07/26 00:00:00,137,
B40C0619,001,1989/08/28 00:00:00,164,
B40C0619,001,1989/09/29 00:00:00,169,
B40C0619,001,1989/10/27 00:00:00,147,
B40C0619,001,1989/11/28 00:00:00,127,
B40C0619,001,1989/12/28 00:00:00,105,
B40C0619,001,1990/01/30 00:00:00,149,
B40C0619,001,1990/02/28 00:00:00,117,
