Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C0626,001,40CL0102,182680,430460,864,,913,663,563,1981/01/28,1991/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C0626,001,1981/01/28 00:00:00,122,
B40C0626,001,1981/02/28 00:00:00,143,
B40C0626,001,1981/03/27 00:00:00,111,
B40C0626,001,1981/04/28 00:00:00,142,
B40C0626,001,1981/05/28 00:00:00,158,
B40C0626,001,1981/06/29 00:00:00,173,
B40C0626,001,1981/07/28 00:00:00,148,
B40C0626,001,1981/08/28 00:00:00,149,
B40C0626,001,1981/09/29 00:00:00,178,
B40C0626,001,1981/10/28 00:00:00,176,
B40C0626,001,1981/11/27 00:00:00,148,
B40C0626,001,1981/12/28 00:00:00,101,
B40C0626,001,1982/01/28 00:00:00,105,
B40C0626,001,1982/03/01 00:00:00,130,
B40C0626,001,1982/03/29 00:00:00,114,
B40C0626,001,1982/04/28 00:00:00,142,
B40C0626,001,1982/05/29 00:00:00,148,
B40C0626,001,1982/06/28 00:00:00,136,
B40C0626,001,1982/07/29 00:00:00,146,
B40C0626,001,1982/08/27 00:00:00,149,
B40C0626,001,1982/09/28 00:00:00,167,
B40C0626,001,1982/10/28 00:00:00,140,
B40C0626,001,1982/11/29 00:00:00,147,
B40C0626,001,1982/12/28 00:00:00,96,
B40C0626,001,1983/01/28 00:00:00,111,
B40C0626,001,1983/02/28 00:00:00,142,
B40C0626,001,1983/03/28 00:00:00,105,
B40C0626,001,1983/04/28 00:00:00,96,
B40C0626,001,1983/05/31 00:00:00,76,
B40C0626,001,1983/06/28 00:00:00,121,
B40C0626,001,1983/07/28 00:00:00,144,
B40C0626,001,1983/08/26 00:00:00,140,
B40C0626,001,1983/09/30 00:00:00,211,
B40C0626,001,1983/10/28 00:00:00,178,
B40C0626,001,1983/11/25 00:00:00,196,
B40C0626,001,1983/12/28 00:00:00,163,
B40C0626,001,1984/01/27 00:00:00,117,
B40C0626,001,1984/02/28 00:00:00,136,
B40C0626,001,1984/03/27 00:00:00,157,
B40C0626,001,1984/04/27 00:00:00,143,
B40C0626,001,1984/05/28 00:00:00,140,
B40C0626,001,1984/06/28 00:00:00,126,
B40C0626,001,1984/08/08 00:00:00,149,
B40C0626,001,1984/08/28 00:00:00,159,
B40C0626,001,1984/09/28 00:00:00,91,
B40C0626,001,1984/10/29 00:00:00,111,
B40C0626,001,1984/11/29 00:00:00,136,
B40C0626,001,1985/01/16 00:00:00,161,
B40C0626,001,1985/01/28 00:00:00,139,
B40C0626,001,1985/02/28 00:00:00,148,
B40C0626,001,1985/03/28 00:00:00,156,
B40C0626,001,1985/04/26 00:00:00,155,
B40C0626,001,1985/05/29 00:00:00,164,
B40C0626,001,1985/06/28 00:00:00,99,
B40C0626,001,1985/07/12 00:00:00,134,
B40C0626,001,1985/08/28 00:00:00,160,
B40C0626,001,1985/09/27 00:00:00,177,
B40C0626,001,1985/10/28 00:00:00,216,
B40C0626,001,1985/11/21 00:00:00,211,
B40C0626,001,1986/01/06 00:00:00,141,
B40C0626,001,1986/01/31 00:00:00,87,
B40C0626,001,1986/03/03 00:00:00,166,
B40C0626,001,1986/04/01 00:00:00,73,
B40C0626,001,1986/04/28 00:00:00,101,
B40C0626,001,1986/05/29 00:00:00,108,
B40C0626,001,1986/06/26 00:00:00,109,
B40C0626,001,1986/08/12 00:00:00,151,
B40C0626,001,1986/08/22 00:00:00,148,
B40C0626,001,1986/10/02 00:00:00,158,
B40C0626,001,1986/11/03 00:00:00,114,
B40C0626,001,1986/11/26 00:00:00,95,
B40C0626,001,1986/12/22 00:00:00,71,
B40C0626,001,1987/01/27 00:00:00,134,
B40C0626,001,1987/03/31 00:00:00,92,
B40C0626,001,1987/05/04 00:00:00,115,
B40C0626,001,1987/05/27 00:00:00,105,
B40C0626,001,1987/07/03 00:00:00,90,
B40C0626,001,1987/07/30 00:00:00,84,
B40C0626,001,1987/08/27 00:00:00,65,
B40C0626,001,1987/09/28 00:00:00,94,
B40C0626,001,1987/10/28 00:00:00,101,
B40C0626,001,1987/11/30 00:00:00,77,
B40C0626,001,1987/12/28 00:00:00,91,
B40C0626,001,1988/01/27 00:00:00,42,
B40C0626,001,1988/02/25 00:00:00,83,
B40C0626,001,1988/03/25 00:00:00,13,
B40C0626,001,1988/04/28 00:00:00,101,
B40C0626,001,1988/06/01 00:00:00,117,
B40C0626,001,1988/06/27 00:00:00,143,
B40C0626,001,1988/07/09 00:00:00,63,
B40C0626,001,1988/08/26 00:00:00,125,
B40C0626,001,1988/09/26 00:00:00,74,
B40C0626,001,1988/10/28 00:00:00,129,
B40C0626,001,1988/11/29 00:00:00,179,
B40C0626,001,1988/12/28 00:00:00,94,
B40C0626,001,1989/01/27 00:00:00,149,
B40C0626,001,1989/02/27 00:00:00,131,
B40C0626,001,1989/03/28 00:00:00,116,
B40C0626,001,1989/04/28 00:00:00,92,
B40C0626,001,1989/06/01 00:00:00,143,
B40C0626,001,1989/06/28 00:00:00,155,
B40C0626,001,1989/07/27 00:00:00,159,
B40C0626,001,1989/08/28 00:00:00,161,
B40C0626,001,1989/09/29 00:00:00,169,
B40C0626,001,1989/10/27 00:00:00,174,
B40C0626,001,1989/11/28 00:00:00,213,
B40C0626,001,1989/12/28 00:00:00,146,
B40C0626,001,1990/01/30 00:00:00,139,
B40C0626,001,1990/02/28 00:00:00,40,
B40C0626,001,1990/03/28 00:00:00,133,
B40C0626,001,1990/04/28 00:00:00,151,
B40C0626,001,1990/05/28 00:00:00,163,
B40C0626,001,1990/06/28 00:00:00,91,
B40C0626,001,1990/07/30 00:00:00,169,
B40C0626,001,1990/08/28 00:00:00,191,
B40C0626,001,1990/09/28 00:00:00,203,
B40C0626,001,1990/10/29 00:00:00,206,
B40C0626,001,1990/11/29 00:00:00,161,
B40C0626,001,1990/12/28 00:00:00,26,
B40C0626,001,1991/01/29 00:00:00,136,
B40C0626,001,1991/03/29 00:00:00,185,
B40C0626,001,1991/05/02 00:00:00,171,
B40C0626,001,1991/05/31 00:00:00,171,
B40C0626,001,1991/06/30 00:00:00,146,
B40C0626,001,1991/07/28 00:00:00,161,
B40C0626,001,1991/08/28 00:00:00,156,
B40C0626,001,1991/09/30 00:00:00,153,
