Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3115,001,,186978,432951,900,,963,600,500,2005/01/04,2009/04/21

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3115,001,2005/02/09 00:00:00,108,
B40C3115,001,2005/02/10 00:00:00,115,
B40C3115,001,2005/02/11 00:00:00,83,
B40C3115,001,2005/02/12 00:00:00,88,
B40C3115,001,2005/02/13 00:00:00,86,
B40C3115,001,2005/02/14 00:00:00,84,
B40C3115,001,2005/02/15 00:00:00,78,
B40C3115,001,2005/02/16 00:00:00,77,
B40C3115,001,2005/02/17 00:00:00,96,
B40C3115,001,2005/02/18 00:00:00,102,
B40C3115,001,2005/02/19 00:00:00,115,
B40C3115,001,2005/02/20 00:00:00,120,
B40C3115,001,2005/02/21 00:00:00,119,
B40C3115,001,2005/02/22 00:00:00,117,
B40C3115,001,2005/02/23 00:00:00,120,
B40C3115,001,2005/02/24 00:00:00,121,
B40C3115,001,2005/02/25 00:00:00,118,
B40C3115,001,2005/02/26 00:00:00,125,
B40C3115,001,2005/02/27 00:00:00,120,
B40C3115,001,2005/02/28 00:00:00,119,
B40C3115,001,2005/03/01 00:00:00,138,
B40C3115,001,2005/03/02 00:00:00,143,
B40C3115,001,2005/03/03 00:00:00,136,
B40C3115,001,2005/03/04 00:00:00,134,
B40C3115,001,2005/03/05 00:00:00,144,
B40C3115,001,2005/03/06 00:00:00,129,
B40C3115,001,2005/03/07 00:00:00,131,
B40C3115,001,2005/03/08 00:00:00,115,
B40C3115,001,2005/03/09 00:00:00,112,
B40C3115,001,2005/03/10 00:00:00,112,
B40C3115,001,2005/03/11 00:00:00,133,
B40C3115,001,2005/03/12 00:00:00,134,
B40C3115,001,2005/03/13 00:00:00,120,
B40C3115,001,2005/03/14 00:00:00,122,
B40C3115,001,2005/03/15 00:00:00,121,
B40C3115,001,2005/03/16 00:00:00,122,
B40C3115,001,2005/03/17 00:00:00,124,
B40C3115,001,2005/03/18 00:00:00,121,
B40C3115,001,2005/03/19 00:00:00,124,
B40C3115,001,2005/03/20 00:00:00,126,
B40C3115,001,2005/03/21 00:00:00,134,
B40C3115,001,2005/03/22 00:00:00,143,
B40C3115,001,2005/03/23 00:00:00,136,
B40C3115,001,2005/03/24 00:00:00,139,
B40C3115,001,2005/03/25 00:00:00,136,
B40C3115,001,2005/03/26 00:00:00,134,
B40C3115,001,2005/03/27 00:00:00,141,
B40C3115,001,2005/03/28 00:00:00,143,
B40C3115,001,2005/03/29 00:00:00,142,
B40C3115,001,2005/03/30 00:00:00,148,
B40C3115,001,2005/03/31 00:00:00,148,
B40C3115,001,2005/04/01 00:00:00,144,
B40C3115,001,2005/04/02 00:00:00,141,
B40C3115,001,2005/04/03 00:00:00,141,
B40C3115,001,2005/04/04 00:00:00,138,
B40C3115,001,2005/04/05 00:00:00,142,
B40C3115,001,2005/04/06 00:00:00,134,
B40C3115,001,2005/04/07 00:00:00,143,
B40C3115,001,2005/04/08 00:00:00,148,
