Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3168,001,,187507,429852,1223,,1281,966,866,2009/03/26,2012/10/31
B40C3168,001,,187507,429852,1073,,1060,966,866,2012/10/31,2015/12/01
B40C3168,001,,187507,429852,1076,,1060,966,866,2015/12/01,2019/06/19
B40C3168,001,,187507,429852,1073,,1060,966,866,2019/06/19,2019/06/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3168,001,2009/03/28 08:00:00,271,
B40C3168,001,2011/01/10 08:00:00,301,
B40C3168,001,2011/01/11 08:00:00,245,
B40C3168,001,2011/01/12 08:00:00,132,
B40C3168,001,2011/01/13 08:00:00,108,
B40C3168,001,2011/01/14 08:00:00,117,
B40C3168,001,2011/01/15 08:00:00,118,
B40C3168,001,2011/01/16 08:00:00,101,
B40C3168,001,2011/01/17 08:00:00,90,
B40C3168,001,2011/01/18 08:00:00,95,
B40C3168,001,2011/01/19 08:00:00,115,
B40C3168,001,2011/01/20 08:00:00,146,
B40C3168,001,2011/01/21 08:00:00,183,
B40C3168,001,2011/01/22 08:00:00,202,
B40C3168,001,2011/01/23 08:00:00,218,
B40C3168,001,2011/01/24 08:00:00,232,
B40C3168,001,2011/01/25 08:00:00,244,
B40C3168,001,2011/01/26 08:00:00,257,
B40C3168,001,2011/01/27 08:00:00,271,
B40C3168,001,2011/01/28 08:00:00,284,
B40C3168,001,2011/01/29 08:00:00,296,
B40C3168,001,2011/01/30 08:00:00,301,
B40C3168,001,2011/01/31 08:00:00,301,
B40C3168,001,2011/02/01 08:00:00,301,
B40C3168,001,2011/02/02 00:00:00,301,
B40C3168,001,2012/12/23 12:19:32,292,
B40C3168,001,2012/12/25 12:19:32,278,
B40C3168,001,2012/12/26 12:19:32,105,
B40C3168,001,2012/12/27 12:19:32,113,
B40C3168,001,2012/12/28 12:19:32,122,
B40C3168,001,2012/12/29 12:19:32,119,
B40C3168,001,2012/12/30 12:19:32,118,
B40C3168,001,2012/12/31 12:19:32,113,
B40C3168,001,2013/01/01 12:19:32,123,
B40C3168,001,2013/01/02 12:19:32,144,
B40C3168,001,2013/01/03 12:19:32,162,
B40C3168,001,2013/01/04 12:19:32,172,
B40C3168,001,2013/01/05 12:19:32,182,
B40C3168,001,2013/01/06 12:19:32,192,
B40C3168,001,2013/01/07 12:19:32,202,
B40C3168,001,2013/01/08 12:19:32,228,
B40C3168,001,2013/01/09 12:19:32,244,
B40C3168,001,2013/01/10 12:19:32,257,
B40C3168,001,2013/01/11 12:19:32,271,
B40C3168,001,2013/01/12 12:19:32,285,
B40C3168,001,2013/01/13 12:19:32,297,
B40C3168,001,2013/01/14 12:19:32,305,
B40C3168,001,2013/01/15 12:19:32,314,
B40C3168,001,2013/02/05 12:19:32,300,
B40C3168,001,2013/02/06 12:19:32,225,
B40C3168,001,2013/02/07 12:19:32,155,
B40C3168,001,2013/02/08 12:19:32,150,
B40C3168,001,2013/02/09 12:19:32,156,
B40C3168,001,2013/02/10 12:19:32,164,
B40C3168,001,2013/02/11 12:19:32,173,
B40C3168,001,2013/02/12 12:19:32,191,
B40C3168,001,2013/02/13 12:19:32,211,
B40C3168,001,2013/02/14 12:19:32,225,
B40C3168,001,2013/02/15 12:19:32,245,
B40C3168,001,2013/02/16 12:19:32,252,
B40C3168,001,2013/02/17 12:19:32,271,
B40C3168,001,2013/02/18 12:19:32,284,
B40C3168,001,2013/02/19 12:19:32,295,
B40C3168,001,2013/02/20 12:19:32,308,
B40C3168,001,2013/02/21 10:19:32,314,
B40C3168,001,2013/06/04 12:19:32,311,
B40C3168,001,2013/06/05 12:19:32,290,
B40C3168,001,2013/06/06 12:19:32,162,
B40C3168,001,2013/06/07 12:19:32,150,
B40C3168,001,2013/06/08 12:19:32,150,
B40C3168,001,2013/06/09 12:19:32,158,
B40C3168,001,2013/06/10 12:19:32,163,
B40C3168,001,2013/06/11 12:19:32,184,
B40C3168,001,2013/06/12 12:19:32,207,
B40C3168,001,2013/06/13 12:19:32,222,
B40C3168,001,2013/06/14 12:19:32,237,
B40C3168,001,2013/06/15 12:19:32,245,
B40C3168,001,2013/06/16 12:19:32,257,
B40C3168,001,2013/06/17 12:19:32,264,
B40C3168,001,2013/06/18 12:19:32,278,
B40C3168,001,2013/06/19 12:19:32,287,
B40C3168,001,2013/06/20 12:19:32,300,
B40C3168,001,2013/06/21 12:19:32,308,
B40C3168,001,2013/06/22 14:19:32,314,
B40C3168,001,2013/11/05 13:19:32,311,
B40C3168,001,2013/11/06 12:19:32,313,
B40C3168,001,2013/11/07 12:19:32,310,
B40C3168,001,2013/11/08 12:19:32,313,
B40C3168,001,2013/11/09 12:19:32,307,
B40C3168,001,2013/11/10 12:19:32,303,
B40C3168,001,2013/11/11 12:19:32,305,
B40C3168,001,2013/11/12 12:19:32,312,
B40C3168,001,2013/11/13 12:19:32,305,
B40C3168,001,2013/11/14 12:19:32,299,
B40C3168,001,2013/11/15 12:19:32,300,
