Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3168,002,,187507,429852,1223,,1277,57,-43,2009/03/26,2012/10/31
B40C3168,002,,187507,429852,1073,,1057,57,-43,2012/10/31,2015/12/01
B40C3168,002,,187507,429852,1076,,1057,57,-43,2015/12/01,2019/06/19
B40C3168,002,,187507,429852,1073,,1057,57,-43,2019/06/19,2020/12/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3168,002,2009/03/28 08:00:00,425,
B40C3168,002,2009/03/29 08:00:00,425,
B40C3168,002,2009/03/30 08:00:00,416,
B40C3168,002,2009/03/31 08:00:00,404,
B40C3168,002,2009/04/01 08:00:00,392,
B40C3168,002,2009/04/02 08:00:00,383,
B40C3168,002,2009/04/03 08:00:00,381,
B40C3168,002,2009/04/04 08:00:00,386,
B40C3168,002,2009/04/05 08:00:00,395,
B40C3168,002,2009/04/06 08:00:00,401,
B40C3168,002,2009/04/07 08:00:00,408,
B40C3168,002,2009/04/08 08:00:00,416,
B40C3168,002,2009/04/09 08:00:00,423,
B40C3168,002,2009/04/10 08:00:00,426,
B40C3168,002,2009/04/11 08:00:00,431,
B40C3168,002,2009/04/12 08:00:00,435,
B40C3168,002,2009/04/13 08:00:00,439,
B40C3168,002,2009/04/14 08:00:00,443,
B40C3168,002,2009/04/15 08:00:00,448,
B40C3168,002,2009/04/16 08:00:00,450,
B40C3168,002,2009/04/17 08:00:00,453,
B40C3168,002,2009/04/18 08:00:00,460,
B40C3168,002,2009/04/19 08:00:00,464,
B40C3168,002,2009/04/20 08:00:00,464,
B40C3168,002,2009/04/21 08:00:00,462,
B40C3168,002,2009/04/22 08:00:00,458,
B40C3168,002,2009/04/23 08:00:00,456,
B40C3168,002,2009/04/24 08:00:00,458,
B40C3168,002,2009/04/25 08:00:00,459,
B40C3168,002,2009/04/26 08:00:00,465,
B40C3168,002,2009/04/27 08:00:00,470,
B40C3168,002,2009/04/28 08:00:00,475,
B40C3168,002,2009/04/29 08:00:00,482,
B40C3168,002,2009/04/30 08:00:00,488,
B40C3168,002,2009/05/01 08:00:00,493,
B40C3168,002,2009/05/02 08:00:00,497,
B40C3168,002,2009/05/03 08:00:00,498,
B40C3168,002,2009/05/04 08:00:00,503,
B40C3168,002,2009/05/05 08:00:00,503,
B40C3168,002,2009/05/06 08:00:00,506,
B40C3168,002,2009/05/07 08:00:00,510,
B40C3168,002,2009/05/08 08:00:00,511,
B40C3168,002,2009/05/09 08:00:00,514,
B40C3168,002,2009/05/10 08:00:00,517,
B40C3168,002,2009/05/11 08:00:00,518,
B40C3168,002,2009/05/12 08:00:00,521,
B40C3168,002,2009/05/13 08:00:00,521,
B40C3168,002,2009/05/14 08:00:00,522,
B40C3168,002,2009/05/15 08:00:00,521,
B40C3168,002,2009/05/16 08:00:00,523,
B40C3168,002,2009/05/17 08:00:00,520,
B40C3168,002,2009/05/18 08:00:00,519,
B40C3168,002,2009/05/19 08:00:00,516,
B40C3168,002,2009/05/20 08:00:00,513,
B40C3168,002,2009/05/21 08:00:00,508,
B40C3168,002,2009/05/22 08:00:00,509,
B40C3168,002,2009/05/23 08:00:00,512,
B40C3168,002,2009/05/24 08:00:00,514,
B40C3168,002,2009/05/25 08:00:00,516,
B40C3168,002,2009/05/26 08:00:00,517,
B40C3168,002,2009/05/27 08:00:00,521,
B40C3168,002,2009/05/28 08:00:00,522,
B40C3168,002,2009/05/29 08:00:00,525,
B40C3168,002,2009/05/30 08:00:00,526,
B40C3168,002,2009/05/31 08:00:00,527,
B40C3168,002,2009/06/01 08:00:00,528,
B40C3168,002,2009/06/02 08:00:00,527,
B40C3168,002,2009/06/03 08:00:00,528,
B40C3168,002,2009/06/04 08:00:00,528,
B40C3168,002,2009/06/05 08:00:00,529,
B40C3168,002,2009/06/06 08:00:00,530,
B40C3168,002,2009/06/07 08:00:00,532,
B40C3168,002,2009/06/08 08:00:00,534,
B40C3168,002,2009/06/09 08:00:00,535,
B40C3168,002,2009/06/10 08:00:00,537,
B40C3168,002,2009/06/11 08:00:00,538,
B40C3168,002,2009/06/12 08:00:00,540,
B40C3168,002,2009/06/13 08:00:00,541,
B40C3168,002,2009/06/14 08:00:00,540,
B40C3168,002,2009/06/15 08:00:00,541,
B40C3168,002,2009/06/16 08:00:00,542,
B40C3168,002,2009/06/17 08:00:00,543,
B40C3168,002,2009/06/18 08:00:00,543,
B40C3168,002,2009/06/19 08:00:00,542,
B40C3168,002,2009/06/20 08:00:00,543,
B40C3168,002,2009/06/21 08:00:00,542,
B40C3168,002,2009/06/22 08:00:00,543,
B40C3168,002,2009/06/23 08:00:00,544,
B40C3168,002,2009/06/24 08:00:00,543,
B40C3168,002,2009/06/25 08:00:00,542,
B40C3168,002,2009/06/26 08:00:00,541,
B40C3168,002,2009/06/27 08:00:00,541,
B40C3168,002,2009/06/28 08:00:00,540,
B40C3168,002,2009/06/29 08:00:00,539,
B40C3168,002,2009/06/30 08:00:00,538,
B40C3168,002,2009/07/01 08:00:00,537,
B40C3168,002,2009/07/02 08:00:00,537,
B40C3168,002,2009/07/03 08:00:00,536,
B40C3168,002,2009/07/04 08:00:00,537,
B40C3168,002,2009/07/05 08:00:00,537,
B40C3168,002,2009/07/06 08:00:00,538,
B40C3168,002,2009/07/07 08:00:00,539,
B40C3168,002,2009/07/08 08:00:00,539,
B40C3168,002,2009/07/09 08:00:00,541,
B40C3168,002,2009/07/10 08:00:00,539,
B40C3168,002,2009/07/11 08:00:00,539,
B40C3168,002,2009/07/12 08:00:00,537,
B40C3168,002,2009/07/13 08:00:00,538,
B40C3168,002,2009/07/14 08:00:00,538,
B40C3168,002,2009/07/15 08:00:00,540,
B40C3168,002,2009/07/16 08:00:00,542,
B40C3168,002,2009/07/17 08:00:00,541,
B40C3168,002,2009/07/18 08:00:00,542,
B40C3168,002,2009/07/19 08:00:00,541,
B40C3168,002,2009/07/20 08:00:00,538,
B40C3168,002,2009/07/21 08:00:00,536,
B40C3168,002,2009/07/22 08:00:00,531,
B40C3168,002,2009/07/23 08:00:00,527,
B40C3168,002,2009/07/24 08:00:00,521,
B40C3168,002,2009/07/25 08:00:00,515,
B40C3168,002,2009/07/26 08:00:00,510,
B40C3168,002,2009/07/27 08:00:00,506,
B40C3168,002,2009/07/28 08:00:00,508,
B40C3168,002,2009/07/29 08:00:00,508,
B40C3168,002,2009/07/30 08:00:00,511,
B40C3168,002,2009/07/31 08:00:00,515,
B40C3168,002,2009/08/01 08:00:00,515,
B40C3168,002,2009/08/02 08:00:00,517,
B40C3168,002,2009/08/03 08:00:00,521,
B40C3168,002,2009/08/04 08:00:00,524,
B40C3168,002,2009/08/05 08:00:00,526,
B40C3168,002,2009/08/06 08:00:00,529,
B40C3168,002,2009/08/07 08:00:00,531,
B40C3168,002,2009/08/08 08:00:00,533,
B40C3168,002,2009/08/09 08:00:00,534,
B40C3168,002,2009/08/10 08:00:00,536,
B40C3168,002,2009/08/11 08:00:00,538,
B40C3168,002,2009/08/12 08:00:00,540,
B40C3168,002,2009/08/13 08:00:00,540,
B40C3168,002,2009/08/14 08:00:00,542,
B40C3168,002,2009/08/15 08:00:00,541,
B40C3168,002,2009/08/16 08:00:00,542,
B40C3168,002,2009/08/17 08:00:00,543,
B40C3168,002,2009/08/18 08:00:00,544,
B40C3168,002,2009/08/19 08:00:00,545,
B40C3168,002,2009/08/20 08:00:00,546,
B40C3168,002,2009/08/21 08:00:00,548,
B40C3168,002,2009/08/22 08:00:00,550,
B40C3168,002,2009/08/23 08:00:00,552,
B40C3168,002,2009/08/24 08:00:00,554,
B40C3168,002,2009/08/25 08:00:00,556,
B40C3168,002,2009/08/26 08:00:00,559,
