Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3177,001,,188566,430238,1050,,1099,996,896,2009/03/24,2012/11/13
B40C3177,001,,188566,430238,1116,,1088,996,896,2012/11/13,2013/03/07
B40C3177,001,,188566,430238,835,,1127,996,896,2013/03/07,2017/12/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3177,001,2009/03/28 08:00:00,173,
B40C3177,001,2009/03/29 08:00:00,173,
B40C3177,001,2009/03/30 08:00:00,154,
B40C3177,001,2009/03/31 08:00:00,141,
B40C3177,001,2009/04/01 08:00:00,130,
B40C3177,001,2009/04/02 08:00:00,126,
B40C3177,001,2009/04/03 08:00:00,133,
B40C3177,001,2009/04/04 08:00:00,147,
B40C3177,001,2009/04/05 08:00:00,164,
B40C3177,001,2009/04/06 08:00:00,174,
B40C3177,001,2009/04/07 08:00:00,174,
B40C3177,001,2010/01/02 08:00:00,169,
B40C3177,001,2010/01/03 08:00:00,143,
B40C3177,001,2010/01/04 08:00:00,118,
B40C3177,001,2010/01/05 08:00:00,106,
B40C3177,001,2010/01/06 08:00:00,109,
B40C3177,001,2010/01/07 08:00:00,125,
B40C3177,001,2010/01/08 08:00:00,148,
B40C3177,001,2010/01/09 08:00:00,168,
B40C3177,001,2010/01/10 08:00:00,171,
B40C3177,001,2010/02/27 08:00:00,171,
B40C3177,001,2010/02/28 08:00:00,122,
B40C3177,001,2010/03/01 08:00:00,87,
B40C3177,001,2010/03/02 08:00:00,72,
B40C3177,001,2010/03/03 08:00:00,31,
B40C3177,001,2010/03/04 08:00:00,28,
B40C3177,001,2010/03/05 08:00:00,36,
B40C3177,001,2010/03/06 08:00:00,45,
B40C3177,001,2010/03/07 08:00:00,63,
B40C3177,001,2010/03/08 08:00:00,82,
B40C3177,001,2010/03/09 08:00:00,105,
B40C3177,001,2010/03/10 08:00:00,128,
B40C3177,001,2010/03/11 08:00:00,143,
B40C3177,001,2010/03/12 08:00:00,144,
B40C3177,001,2010/03/13 08:00:00,144,
B40C3177,001,2010/11/15 16:00:00,145,
B40C3177,001,2010/11/16 08:00:00,145,
B40C3177,001,2010/11/17 08:00:00,140,
B40C3177,001,2010/11/18 08:00:00,136,
B40C3177,001,2010/11/19 08:00:00,140,
B40C3177,001,2010/11/20 08:00:00,138,
B40C3177,001,2010/11/21 08:00:00,142,
B40C3177,001,2010/11/22 08:00:00,145,
B40C3177,001,2010/11/23 08:00:00,145,
B40C3177,001,2010/11/24 08:00:00,145,
B40C3177,001,2010/12/12 16:00:00,119,
B40C3177,001,2010/12/13 08:00:00,76,
B40C3177,001,2010/12/14 08:00:00,44,
B40C3177,001,2010/12/15 08:00:00,32,
B40C3177,001,2010/12/16 08:00:00,31,
B40C3177,001,2010/12/17 08:00:00,37,
B40C3177,001,2010/12/18 08:00:00,57,
B40C3177,001,2010/12/19 08:00:00,80,
B40C3177,001,2010/12/20 08:00:00,104,
B40C3177,001,2010/12/21 08:00:00,122,
B40C3177,001,2010/12/22 08:00:00,140,
B40C3177,001,2010/12/23 08:00:00,142,
B40C3177,001,2010/12/24 08:00:00,141,
B40C3177,001,2010/12/25 08:00:00,113,
B40C3177,001,2010/12/26 08:00:00,79,
B40C3177,001,2010/12/27 08:00:00,55,
B40C3177,001,2010/12/28 08:00:00,49,
B40C3177,001,2010/12/29 08:00:00,61,
B40C3177,001,2010/12/30 08:00:00,79,
B40C3177,001,2010/12/31 08:00:00,98,
B40C3177,001,2011/01/01 08:00:00,114,
B40C3177,001,2011/01/02 08:00:00,120,
B40C3177,001,2011/01/03 08:00:00,133,
B40C3177,001,2011/01/04 08:00:00,143,
B40C3177,001,2011/01/05 08:00:00,141,
B40C3177,001,2011/01/06 08:00:00,142,
B40C3177,001,2011/01/07 08:00:00,142,
B40C3177,001,2011/01/08 08:00:00,133,
B40C3177,001,2011/01/09 08:00:00,101,
B40C3177,001,2011/01/10 08:00:00,39,
B40C3177,001,2011/01/11 08:00:00,-6,
B40C3177,001,2011/01/12 08:00:00,-17,
B40C3177,001,2011/01/13 08:00:00,-25,
B40C3177,001,2011/01/14 08:00:00,-24,
B40C3177,001,2011/01/15 08:00:00,-24,
B40C3177,001,2011/01/16 08:00:00,-26,
B40C3177,001,2011/01/17 08:00:00,-28,
B40C3177,001,2011/01/18 08:00:00,-28,
B40C3177,001,2011/01/19 08:00:00,-24,
B40C3177,001,2011/01/20 08:00:00,-19,
B40C3177,001,2011/01/21 08:00:00,-11,
B40C3177,001,2011/01/22 08:00:00,-3,
B40C3177,001,2011/01/23 08:00:00,11,
B40C3177,001,2011/01/24 08:00:00,28,
B40C3177,001,2011/01/25 08:00:00,40,
B40C3177,001,2011/01/26 08:00:00,57,
B40C3177,001,2011/01/27 08:00:00,78,
B40C3177,001,2011/01/28 08:00:00,94,
B40C3177,001,2011/01/29 08:00:00,105,
B40C3177,001,2011/01/30 08:00:00,115,
B40C3177,001,2011/01/31 08:00:00,127,
B40C3177,001,2011/02/01 08:00:00,139,
B40C3177,001,2011/02/02 08:00:00,142,
B40C3177,001,2011/02/03 08:00:00,142,
B40C3177,001,2011/02/04 08:00:00,143,
B40C3177,001,2011/12/26 11:50:56,143,
B40C3177,001,2011/12/27 11:50:56,132,
B40C3177,001,2011/12/28 11:50:56,119,
B40C3177,001,2011/12/29 11:50:56,122,
B40C3177,001,2011/12/30 11:50:56,132,
B40C3177,001,2011/12/31 11:50:56,142,
B40C3177,001,2012/01/01 11:50:56,143,
B40C3177,001,2012/01/02 11:50:56,137,
B40C3177,001,2012/01/03 11:50:56,128,
B40C3177,001,2012/01/04 11:50:56,114,
B40C3177,001,2012/01/05 11:50:56,74,
B40C3177,001,2012/01/06 11:50:56,60,
B40C3177,001,2012/01/07 11:50:56,39,
B40C3177,001,2012/01/08 11:50:56,17,
B40C3177,001,2012/01/09 11:50:56,-1,
B40C3177,001,2012/01/10 11:50:56,-8,
B40C3177,001,2012/01/11 11:50:56,-7,
B40C3177,001,2012/01/12 11:50:56,-2,
B40C3177,001,2012/01/13 11:50:56,12,
B40C3177,001,2012/01/14 11:50:56,25,
B40C3177,001,2012/01/15 11:50:56,40,
B40C3177,001,2012/01/16 11:50:56,58,
B40C3177,001,2012/01/17 11:50:56,79,
B40C3177,001,2012/01/18 11:50:56,98,
B40C3177,001,2012/01/19 11:50:56,105,
B40C3177,001,2012/01/20 11:50:56,115,
B40C3177,001,2012/01/21 11:50:56,113,
B40C3177,001,2012/01/22 11:50:56,100,
B40C3177,001,2012/01/23 11:50:56,83,
B40C3177,001,2012/01/24 11:50:56,56,
B40C3177,001,2012/01/25 11:50:56,32,
B40C3177,001,2012/01/26 11:50:56,16,
B40C3177,001,2012/01/27 11:50:56,19,
B40C3177,001,2012/01/28 11:50:56,28,
B40C3177,001,2012/01/29 11:50:56,39,
B40C3177,001,2012/01/30 11:50:56,54,
B40C3177,001,2012/01/31 11:50:56,76,
B40C3177,001,2012/02/01 11:50:56,97,
B40C3177,001,2012/02/02 11:50:56,116,
B40C3177,001,2012/02/03 11:50:56,133,
B40C3177,001,2012/02/04 11:50:56,143,
B40C3177,001,2013/06/03 14:00:00,-98,
B40C3177,001,2013/06/04 12:00:00,-121,
B40C3177,001,2013/06/05 12:00:00,-155,
B40C3177,001,2013/06/06 12:00:00,-175,
B40C3177,001,2013/06/07 12:00:00,-184,
B40C3177,001,2013/06/08 12:00:00,-186,
B40C3177,001,2013/06/09 12:00:00,-179,
B40C3177,001,2013/06/10 12:00:00,-162,
B40C3177,001,2013/06/11 12:00:00,-139,
B40C3177,001,2013/06/12 12:00:00,-122,
B40C3177,001,2013/06/13 12:00:00,-108,
B40C3177,001,2013/06/14 12:00:00,-98,
B40C3177,001,2013/11/10 12:00:00,-101,
B40C3177,001,2013/11/11 12:00:00,-103,
B40C3177,001,2013/11/12 12:00:00,-114,
B40C3177,001,2013/11/13 12:00:00,-113,
B40C3177,001,2013/11/14 12:00:00,-118,
B40C3177,001,2013/11/15 12:00:00,-111,
B40C3177,001,2013/11/16 10:00:00,-100,
B40C3177,001,2017/04/06 11:00:00,-123,
B40C3177,001,2017/04/07 12:25:11,-83,
B40C3177,001,2017/04/08 12:25:05,-76,
B40C3177,001,2017/04/09 12:24:59,-71,
B40C3177,001,2017/04/10 12:24:54,-63,
B40C3177,001,2017/04/11 12:24:48,-58,
B40C3177,001,2017/04/12 12:24:42,-51,
B40C3177,001,2017/04/13 12:24:37,-45,
B40C3177,001,2017/04/14 12:24:31,-39,
B40C3177,001,2017/04/15 12:24:26,-32,
B40C3177,001,2017/04/16 12:24:20,-25,
B40C3177,001,2017/04/17 12:24:15,-21,
B40C3177,001,2017/04/18 12:24:10,-20,
B40C3177,001,2017/04/19 12:24:04,-19,
B40C3177,001,2017/04/20 12:23:59,-19,
B40C3177,001,2017/04/21 12:23:54,-24,
B40C3177,001,2017/04/22 12:23:48,-30,
B40C3177,001,2017/04/23 12:23:42,-31,
B40C3177,001,2017/04/24 12:23:37,-28,
B40C3177,001,2017/04/25 12:23:32,-24,
B40C3177,001,2017/04/26 12:23:26,-21,
B40C3177,001,2017/04/27 12:23:21,-18,
B40C3177,001,2017/04/28 12:23:15,-15,
B40C3177,001,2017/04/29 12:23:10,-12,
B40C3177,001,2017/04/30 12:23:04,-18,
B40C3177,001,2017/05/01 12:22:58,-39,
B40C3177,001,2017/05/02 12:22:52,-62,
B40C3177,001,2017/05/03 12:22:47,-79,
B40C3177,001,2017/05/04 12:22:41,-90,
B40C3177,001,2017/05/05 12:00:00,-123,
B40C3177,001,2017/05/06 12:00:00,-137,
B40C3177,001,2017/05/07 12:00:00,-139,
B40C3177,001,2017/05/08 12:00:00,-136,
B40C3177,001,2017/05/09 12:00:00,-131,
B40C3177,001,2017/05/10 12:00:00,-131,
B40C3177,001,2017/05/11 12:00:00,-138,
B40C3177,001,2017/05/12 12:00:00,-149,
B40C3177,001,2017/05/13 12:00:00,-152,
B40C3177,001,2017/05/14 12:00:00,-149,
B40C3177,001,2017/05/15 12:00:00,-144,
B40C3177,001,2017/05/16 12:00:00,-140,
B40C3177,001,2017/05/17 12:00:00,-138,
B40C3177,001,2017/05/18 12:00:00,-138,
B40C3177,001,2017/05/19 12:00:00,-135,
B40C3177,001,2017/05/20 12:00:00,-133,
B40C3177,001,2017/05/21 12:00:00,-132,
B40C3177,001,2017/05/22 12:00:00,-136,
B40C3177,001,2017/05/23 12:00:00,-138,
B40C3177,001,2017/05/24 12:00:00,-135,
B40C3177,001,2017/05/25 12:00:00,-131,
B40C3177,001,2017/05/26 12:00:00,-126,
B40C3177,001,2017/05/27 12:00:00,-121,
B40C3177,001,2017/05/28 12:00:00,-112,
B40C3177,001,2017/05/29 12:00:00,-106,
B40C3177,001,2017/05/30 12:00:00,-98,
B40C3177,001,2017/05/31 12:00:00,-92,
B40C3177,001,2017/06/01 12:00:00,-87,
B40C3177,001,2017/06/02 12:00:00,-86,
B40C3177,001,2017/06/03 12:00:00,-86,
B40C3177,001,2017/06/04 12:00:00,-88,
B40C3177,001,2017/06/05 12:00:00,-94,
B40C3177,001,2017/06/06 12:00:00,-106,
