Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3177,003,,188566,430238,1050,,1089,-1701,-1801,2009/03/24,2012/11/13
B40C3177,003,,188566,430238,1116,,1179,-1701,-1801,2012/11/13,2013/03/07
B40C3177,003,,188566,430238,835,,899,-1701,-1801,2013/03/07,2014/10/29
B40C3177,003,,188566,430238,835,,899,-1701,-1801,2014/10/29,2015/11/25
B40C3177,003,,188566,430238,835,,899,-1701,-1801,2015/11/25,2019/06/19
B40C3177,003,,188566,430238,835,,899,-1701,-1801,2019/06/19,2019/06/19

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3177,003,2009/07/30 16:00:00,261,
B40C3177,003,2009/07/31 08:00:00,261,
B40C3177,003,2009/08/01 08:00:00,270,
B40C3177,003,2009/08/02 08:00:00,274,
B40C3177,003,2009/08/03 08:00:00,277,
B40C3177,003,2009/08/04 08:00:00,282,
B40C3177,003,2009/08/05 08:00:00,285,
B40C3177,003,2009/08/06 08:00:00,289,
B40C3177,003,2009/08/07 08:00:00,292,
B40C3177,003,2009/08/08 08:00:00,295,
B40C3177,003,2009/08/09 08:00:00,297,
B40C3177,003,2009/08/10 08:00:00,299,
B40C3177,003,2009/08/11 08:00:00,300,
B40C3177,003,2009/08/12 08:00:00,303,
B40C3177,003,2009/08/13 08:00:00,303,
B40C3177,003,2009/08/14 08:00:00,303,
B40C3177,003,2009/08/15 08:00:00,302,
B40C3177,003,2009/08/16 08:00:00,302,
B40C3177,003,2009/08/17 08:00:00,303,
B40C3177,003,2009/08/18 08:00:00,304,
B40C3177,003,2009/08/19 08:00:00,307,
B40C3177,003,2009/08/20 08:00:00,309,
B40C3177,003,2009/08/21 08:00:00,312,
B40C3177,003,2009/08/22 08:00:00,315,
B40C3177,003,2009/08/23 08:00:00,318,
B40C3177,003,2009/08/24 08:00:00,320,
B40C3177,003,2009/08/25 08:00:00,323,
B40C3177,003,2009/08/26 08:00:00,327,
B40C3177,003,2009/08/27 08:00:00,330,
B40C3177,003,2009/08/28 08:00:00,332,
B40C3177,003,2009/08/29 08:00:00,336,
B40C3177,003,2009/08/30 08:00:00,340,
