Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,28-03-2009,tot:,07-04-2014,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40C3178,003,,188683,430182,1130,27-03-2009,27-03-2009,01-11-2011,1183,53,-1270,-1370
B40C3178,003,,188683,430182,1130,01-11-2011,01-11-2011,07-04-2014,1109,-21,-1420,-1520


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40C3178,003,28-03-2009,337,284,846,,,,,,
B40C3178,003,29-03-2009,303,250,880,,,,,,
B40C3178,003,30-03-2009,275,222,908,,,,,,
B40C3178,003,31-03-2009,257,204,926,,,,,,
B40C3178,003,01-04-2009,244,191,939,,,,,,
B40C3178,003,02-04-2009,244,191,939,,,,,,
B40C3178,003,03-04-2009,262,209,921,,,,,,
B40C3178,003,04-04-2009,286,233,897,,,,,,
B40C3178,003,05-04-2009,309,256,874,,,,,,
B40C3178,003,06-04-2009,325,272,858,,,,,,
B40C3178,003,07-04-2009,332,279,851,,,,,,
B40C3178,003,08-04-2009,337,284,846,,,,,,
B40C3178,003,09-04-2009,340,287,843,,,,,,
B40C3178,003,10-04-2009,341,288,842,,,,,,
B40C3178,003,11-04-2009,347,294,836,,,,,,
B40C3178,003,12-04-2009,352,299,831,,,,,,
B40C3178,003,13-04-2009,357,304,826,,,,,,
B40C3178,003,14-04-2009,362,309,821,,,,,,
B40C3178,003,15-04-2009,364,311,819,,,,,,
B40C3178,003,16-04-2009,368,315,815,,,,,,
B40C3178,003,17-04-2009,372,319,811,,,,,,
B40C3178,003,18-04-2009,378,325,805,,,,,,
B40C3178,003,19-04-2009,368,315,815,,,,,,
B40C3178,003,20-04-2009,360,307,823,,,,,,
B40C3178,003,21-04-2009,355,302,828,,,,,,
B40C3178,003,22-04-2009,348,295,835,,,,,,
B40C3178,003,23-04-2009,354,301,829,,,,,,
B40C3178,003,24-04-2009,366,313,817,,,,,,
B40C3178,003,25-04-2009,380,327,803,,,,,,
B40C3178,003,26-04-2009,391,338,792,,,,,,
B40C3178,003,27-04-2009,400,347,783,,,,,,
B40C3178,003,28-04-2009,405,352,778,,,,,,
B40C3178,003,29-04-2009,412,359,771,,,,,,
B40C3178,003,30-04-2009,418,365,765,,,,,,
B40C3178,003,01-05-2009,421,368,762,,,,,,
B40C3178,003,02-05-2009,424,371,759,,,,,,
B40C3178,003,03-05-2009,424,371,759,,,,,,
B40C3178,003,04-05-2009,428,375,755,,,,,,
B40C3178,003,05-05-2009,429,376,754,,,,,,
B40C3178,003,06-05-2009,431,378,752,,,,,,
B40C3178,003,07-05-2009,435,382,748,,,,,,
B40C3178,003,08-05-2009,436,383,747,,,,,,
B40C3178,003,09-05-2009,438,385,745,,,,,,
B40C3178,003,10-05-2009,441,388,742,,,,,,
B40C3178,003,11-05-2009,443,390,740,,,,,,
B40C3178,003,12-05-2009,442,389,741,,,,,,
B40C3178,003,13-05-2009,439,386,744,,,,,,
B40C3178,003,14-05-2009,433,380,750,,,,,,
B40C3178,003,15-05-2009,424,371,759,,,,,,
B40C3178,003,16-05-2009,418,365,765,,,,,,
B40C3178,003,17-05-2009,408,355,775,,,,,,
B40C3178,003,18-05-2009,399,346,784,,,,,,
B40C3178,003,19-05-2009,392,339,791,,,,,,
B40C3178,003,20-05-2009,395,342,788,,,,,,
B40C3178,003,21-05-2009,400,347,783,,,,,,
B40C3178,003,22-05-2009,409,356,774,,,,,,
B40C3178,003,23-05-2009,416,363,767,,,,,,
B40C3178,003,24-05-2009,421,368,762,,,,,,
B40C3178,003,25-05-2009,427,374,756,,,,,,
B40C3178,003,26-05-2009,429,376,754,,,,,,
B40C3178,003,27-05-2009,431,378,752,,,,,,
B40C3178,003,28-05-2009,434,381,749,,,,,,
B40C3178,003,29-05-2009,439,386,744,,,,,,
B40C3178,003,30-05-2009,438,385,745,,,,,,
B40C3178,003,31-05-2009,433,380,750,,,,,,
B40C3178,003,01-06-2009,429,376,754,,,,,,
B40C3178,003,02-06-2009,430,377,753,,,,,,
B40C3178,003,03-06-2009,435,382,748,,,,,,
B40C3178,003,04-06-2009,440,387,743,,,,,,
B40C3178,003,05-06-2009,444,391,739,,,,,,
B40C3178,003,06-06-2009,447,394,736,,,,,,
B40C3178,003,07-06-2009,450,397,733,,,,,,
B40C3178,003,08-06-2009,451,398,732,,,,,,
B40C3178,003,09-06-2009,450,397,733,,,,,,
B40C3178,003,10-06-2009,450,397,733,,,,,,
B40C3178,003,11-06-2009,449,396,734,,,,,,
B40C3178,003,12-06-2009,447,394,736,,,,,,
B40C3178,003,13-06-2009,447,394,736,,,,,,
B40C3178,003,14-06-2009,447,394,736,,,,,,
B40C3178,003,15-06-2009,451,398,732,,,,,,
B40C3178,003,16-06-2009,452,399,731,,,,,,
B40C3178,003,17-06-2009,453,400,730,,,,,,
B40C3178,003,18-06-2009,445,392,738,,,,,,
B40C3178,003,19-06-2009,441,388,742,,,,,,
B40C3178,003,20-06-2009,442,389,741,,,,,,
B40C3178,003,21-06-2009,440,387,743,,,,,,
B40C3178,003,22-06-2009,444,391,739,,,,,,
B40C3178,003,23-06-2009,446,393,737,,,,,,
B40C3178,003,24-06-2009,444,391,739,,,,,,
B40C3178,003,25-06-2009,438,385,745,,,,,,
B40C3178,003,26-06-2009,437,384,746,,,,,,
B40C3178,003,27-06-2009,436,383,747,,,,,,
B40C3178,003,28-06-2009,432,379,751,,,,,,
B40C3178,003,29-06-2009,427,374,756,,,,,,
B40C3178,003,30-06-2009,428,375,755,,,,,,
B40C3178,003,01-07-2009,425,372,758,,,,,,
B40C3178,003,02-07-2009,428,375,755,,,,,,
B40C3178,003,03-07-2009,434,381,749,,,,,,
B40C3178,003,04-07-2009,436,383,747,,,,,,
B40C3178,003,05-07-2009,438,385,745,,,,,,
B40C3178,003,06-07-2009,442,389,741,,,,,,
B40C3178,003,07-07-2009,440,387,743,,,,,,
B40C3178,003,08-07-2009,438,385,745,,,,,,
B40C3178,003,09-07-2009,437,384,746,,,,,,
B40C3178,003,10-07-2009,431,378,752,,,,,,
B40C3178,003,11-07-2009,431,378,752,,,,,,
B40C3178,003,12-07-2009,433,380,750,,,,,,
B40C3178,003,13-07-2009,435,382,748,,,,,,
B40C3178,003,14-07-2009,437,384,746,,,,,,
B40C3178,003,15-07-2009,443,390,740,,,,,,
B40C3178,003,16-07-2009,446,393,737,,,,,,
B40C3178,003,17-07-2009,442,389,741,,,,,,
B40C3178,003,18-07-2009,437,384,746,,,,,,
B40C3178,003,19-07-2009,423,370,760,,,,,,
B40C3178,003,20-07-2009,417,364,766,,,,,,
B40C3178,003,21-07-2009,411,358,772,,,,,,
B40C3178,003,22-07-2009,394,341,789,,,,,,
B40C3178,003,23-07-2009,367,314,816,,,,,,
B40C3178,003,24-07-2009,355,302,828,,,,,,
B40C3178,003,25-07-2009,366,313,817,,,,,,
B40C3178,003,26-07-2009,373,320,810,,,,,,
B40C3178,003,27-07-2009,383,330,800,,,,,,
B40C3178,003,28-07-2009,394,341,789,,,,,,
B40C3178,003,29-07-2009,403,350,780,,,,,,
B40C3178,003,30-07-2009,411,358,772,,,,,,
B40C3178,003,31-07-2009,418,365,765,,,,,,
B40C3178,003,01-08-2009,420,367,763,,,,,,
B40C3178,003,02-08-2009,423,370,760,,,,,,
B40C3178,003,03-08-2009,428,375,755,,,,,,
B40C3178,003,04-08-2009,434,381,749,,,,,,
B40C3178,003,05-08-2009,439,386,744,,,,,,
B40C3178,003,06-08-2009,441,388,742,,,,,,
B40C3178,003,07-08-2009,443,390,740,,,,,,
B40C3178,003,08-08-2009,445,392,738,,,,,,
B40C3178,003,09-08-2009,447,394,736,,,,,,
B40C3178,003,10-08-2009,449,396,734,,,,,,
B40C3178,003,11-08-2009,451,398,732,,,,,,
B40C3178,003,12-08-2009,451,398,732,,,,,,
B40C3178,003,13-08-2009,445,392,738,,,,,,
B40C3178,003,14-08-2009,441,388,742,,,,,,
B40C3178,003,15-08-2009,443,390,740,,,,,,
B40C3178,003,16-08-2009,444,391,739,,,,,,
B40C3178,003,17-08-2009,448,395,735,,,,,,
B40C3178,003,18-08-2009,452,399,731,,,,,,
B40C3178,003,19-08-2009,457,404,726,,,,,,
B40C3178,003,20-08-2009,463,410,720,,,,,,
B40C3178,003,21-08-2009,468,415,715,,,,,,
B40C3178,003,22-08-2009,472,419,711,,,,,,
B40C3178,003,23-08-2009,477,424,706,,,,,,
B40C3178,003,24-08-2009,481,428,702,,,,,,
B40C3178,003,25-08-2009,486,433,697,,,,,,
B40C3178,003,26-08-2009,491,438,692,,,,,,
B40C3178,003,27-08-2009,495,442,688,,,,,,
B40C3178,003,28-08-2009,501,448,682,,,,,,
B40C3178,003,29-08-2009,507,454,676,,,,,,
B40C3178,003,30-08-2009,510,457,673,,,,,,
B40C3178,003,31-08-2009,512,459,671,,,,,,
B40C3178,003,01-09-2009,515,462,668,,,,,,
B40C3178,003,02-09-2009,520,467,663,,,,,,
B40C3178,003,03-09-2009,522,469,661,,,,,,
B40C3178,003,04-09-2009,526,473,657,,,,,,
B40C3178,003,05-09-2009,527,474,656,,,,,,
B40C3178,003,06-09-2009,528,475,655,,,,,,
B40C3178,003,07-09-2009,525,472,658,,,,,,
B40C3178,003,08-09-2009,518,465,665,,,,,,
B40C3178,003,09-09-2009,516,463,667,,,,,,
B40C3178,003,10-09-2009,518,465,665,,,,,,
B40C3178,003,11-09-2009,522,469,661,,,,,,
B40C3178,003,12-09-2009,527,474,656,,,,,,
B40C3178,003,13-09-2009,532,479,651,,,,,,
B40C3178,003,14-09-2009,537,484,646,,,,,,
B40C3178,003,15-09-2009,540,487,643,,,,,,
B40C3178,003,16-09-2009,542,489,641,,,,,,
B40C3178,003,17-09-2009,544,491,639,,,,,,
B40C3178,003,18-09-2009,546,493,637,,,,,,
B40C3178,003,19-09-2009,549,496,634,,,,,,
B40C3178,003,20-09-2009,552,499,631,,,,,,
B40C3178,003,21-09-2009,557,504,626,,,,,,
B40C3178,003,22-09-2009,560,507,623,,,,,,
B40C3178,003,23-09-2009,563,510,620,,,,,,
B40C3178,003,24-09-2009,565,512,618,,,,,,
B40C3178,003,25-09-2009,568,515,615,,,,,,
B40C3178,003,26-09-2009,570,517,613,,,,,,
B40C3178,003,27-09-2009,573,520,610,,,,,,
B40C3178,003,28-09-2009,576,523,607,,,,,,
B40C3178,003,29-09-2009,578,525,605,,,,,,
B40C3178,003,30-09-2009,581,528,602,,,,,,
B40C3178,003,01-10-2009,582,529,601,,,,,,
B40C3178,003,02-10-2009,584,531,599,,,,,,
B40C3178,003,03-10-2009,585,532,598,,,,,,
B40C3178,003,04-10-2009,588,535,595,,,,,,
B40C3178,003,05-10-2009,592,539,591,,,,,,
B40C3178,003,06-10-2009,593,540,590,,,,,,
B40C3178,003,07-10-2009,592,539,591,,,,,,
B40C3178,003,08-10-2009,585,532,598,,,,,,
B40C3178,003,09-10-2009,572,519,611,,,,,,
B40C3178,003,10-10-2009,572,519,611,,,,,,
B40C3178,003,11-10-2009,574,521,609,,,,,,
B40C3178,003,12-10-2009,572,519,611,,,,,,
B40C3178,003,13-10-2009,569,516,614,,,,,,
B40C3178,003,14-10-2009,563,510,620,,,,,,
B40C3178,003,15-10-2009,559,506,624,,,,,,
