Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3399,001,,186036,429272,1047,,1039,597,497,2006/10/26,2006/11/10
B40C3399,001,,186036,429272,1047,,1039,597,497,2006/11/10,2017/09/11

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3399,001,2006/11/10 08:00:00,380,
B40C3399,001,2006/11/11 08:00:00,382,
B40C3399,001,2006/11/12 08:00:00,386,
B40C3399,001,2006/11/13 08:00:00,387,
B40C3399,001,2006/11/14 08:00:00,389,
B40C3399,001,2006/11/15 08:00:00,391,
B40C3399,001,2006/11/16 08:00:00,392,
B40C3399,001,2006/11/17 08:00:00,393,
B40C3399,001,2006/11/18 08:00:00,393,
B40C3399,001,2006/11/19 08:00:00,391,
B40C3399,001,2006/11/20 08:00:00,389,
B40C3399,001,2006/11/21 08:00:00,387,
B40C3399,001,2006/11/22 08:00:00,386,
B40C3399,001,2006/11/23 08:00:00,384,
B40C3399,001,2006/11/24 08:00:00,383,
B40C3399,001,2006/11/25 08:00:00,379,
B40C3399,001,2006/11/26 08:00:00,378,
B40C3399,001,2006/11/27 08:00:00,373,
B40C3399,001,2006/11/28 08:00:00,369,
B40C3399,001,2006/11/29 08:00:00,367,
B40C3399,001,2006/11/30 08:00:00,365,
B40C3399,001,2006/12/01 08:00:00,362,
B40C3399,001,2006/12/02 08:00:00,362,
B40C3399,001,2006/12/03 08:00:00,361,
B40C3399,001,2006/12/04 08:00:00,362,
B40C3399,001,2006/12/05 08:00:00,364,
B40C3399,001,2006/12/06 08:00:00,366,
B40C3399,001,2006/12/07 08:00:00,365,
B40C3399,001,2006/12/08 08:00:00,364,
B40C3399,001,2006/12/09 08:00:00,363,
B40C3399,001,2006/12/10 08:00:00,362,
B40C3399,001,2006/12/11 08:00:00,359,
B40C3399,001,2006/12/12 08:00:00,355,
B40C3399,001,2006/12/13 08:00:00,352,
B40C3399,001,2006/12/14 08:00:00,349,
B40C3399,001,2006/12/15 08:00:00,345,
B40C3399,001,2006/12/16 08:00:00,340,
B40C3399,001,2006/12/17 08:00:00,338,
B40C3399,001,2006/12/18 08:00:00,336,
B40C3399,001,2006/12/19 08:00:00,336,
B40C3399,001,2006/12/20 08:00:00,337,
B40C3399,001,2006/12/21 08:00:00,338,
B40C3399,001,2006/12/22 08:00:00,340,
