Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40C3732,002,,186523,430642,910,,986,-84,-184,2016/11/02,2017/01/13
B40C3732,002,,186523,430642,910,,986,-84,-184,2017/01/13,2020/12/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40C3732,002,2016/11/02 17:00:00,345,
B40C3732,002,2016/11/03 12:00:00,349,
B40C3732,002,2016/11/04 12:00:00,352,
B40C3732,002,2016/11/05 12:00:00,358,
B40C3732,002,2016/11/06 12:00:00,363,
B40C3732,002,2016/11/07 12:00:00,366,
B40C3732,002,2016/11/08 12:00:00,366,
B40C3732,002,2016/11/09 12:00:00,358,
B40C3732,002,2016/11/10 12:00:00,352,
B40C3732,002,2016/11/11 12:00:00,343,
B40C3732,002,2016/11/12 12:00:00,330,
B40C3732,002,2016/11/13 12:00:00,324,
B40C3732,002,2016/11/14 12:00:00,313,
B40C3732,002,2016/11/15 12:00:00,288,
B40C3732,002,2016/11/16 12:00:00,258,
B40C3732,002,2016/11/17 12:00:00,247,
B40C3732,002,2016/11/18 12:00:00,248,
B40C3732,002,2016/11/19 12:00:00,247,
B40C3732,002,2016/11/20 12:00:00,241,
B40C3732,002,2016/11/21 12:00:00,236,
B40C3732,002,2016/11/22 12:00:00,232,
B40C3732,002,2016/11/23 12:00:00,227,
B40C3732,002,2016/11/24 12:00:00,219,
B40C3732,002,2016/11/25 12:00:00,217,
B40C3732,002,2016/11/26 12:00:00,223,
B40C3732,002,2016/11/27 12:00:00,234,
B40C3732,002,2016/11/28 12:00:00,241,
B40C3732,002,2016/11/29 12:00:00,251,
B40C3732,002,2016/11/30 12:00:00,264,
B40C3732,002,2016/12/01 12:00:00,276,
B40C3732,002,2016/12/02 12:00:00,288,
B40C3732,002,2016/12/03 12:00:00,299,
B40C3732,002,2016/12/04 12:00:00,308,
B40C3732,002,2016/12/05 12:00:00,317,
B40C3732,002,2016/12/06 12:00:00,324,
B40C3732,002,2016/12/07 12:00:00,328,
B40C3732,002,2016/12/08 12:00:00,334,
B40C3732,002,2016/12/09 12:00:00,340,
B40C3732,002,2016/12/10 12:00:00,343,
B40C3732,002,2016/12/11 12:00:00,346,
B40C3732,002,2016/12/12 12:00:00,349,
B40C3732,002,2016/12/13 12:00:00,352,
B40C3732,002,2016/12/14 12:00:00,356,
B40C3732,002,2016/12/15 12:00:00,359,
B40C3732,002,2016/12/16 12:00:00,363,
B40C3732,002,2016/12/17 12:00:00,366,
B40C3732,002,2016/12/18 12:00:00,368,
B40C3732,002,2016/12/19 12:00:00,371,
B40C3732,002,2016/12/20 12:00:00,373,
B40C3732,002,2016/12/21 12:00:00,375,
B40C3732,002,2016/12/22 12:00:00,377,
