Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0040,001,40DB0040,196880,433110,1127,,1092,-1019,-219,1950/05/30,1997/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0040,001,1950/05/30 00:00:00,175,
B40D0040,001,1950/06/14 00:00:00,167,
B40D0040,001,1950/06/28 00:00:00,198,
B40D0040,001,1950/07/14 00:00:00,224,
B40D0040,001,1950/07/28 00:00:00,249,
B40D0040,001,1950/08/14 00:00:00,251,
B40D0040,001,1950/08/28 00:00:00,267,
B40D0040,001,1950/09/14 00:00:00,239,
B40D0040,001,1950/09/28 00:00:00,217,
B40D0040,001,1950/10/14 00:00:00,238,
B40D0040,001,1950/10/28 00:00:00,228,
B40D0040,001,1950/11/14 00:00:00,267,
B40D0040,001,1950/11/28 00:00:00,81,
B40D0040,001,1950/12/14 00:00:00,60,
B40D0040,001,1950/12/28 00:00:00,121,
B40D0040,001,1951/01/15 00:00:00,69,
B40D0040,001,1951/01/29 00:00:00,44,
B40D0040,001,1951/02/14 00:00:00,117,
B40D0040,001,1951/02/28 00:00:00,77,
B40D0040,001,1951/03/14 00:00:00,133,
B40D0040,001,1951/03/28 00:00:00,71,
B40D0040,001,1951/04/14 00:00:00,69,
B40D0040,001,1951/04/28 00:00:00,93,
B40D0040,001,1951/05/15 00:00:00,145,
B40D0040,001,1951/05/28 00:00:00,138,
B40D0040,001,1951/06/14 00:00:00,142,
B40D0040,001,1951/06/28 00:00:00,119,
B40D0040,001,1951/07/14 00:00:00,139,
B40D0040,001,1951/07/28 00:00:00,137,
B40D0040,001,1951/08/14 00:00:00,149,
B40D0040,001,1951/08/28 00:00:00,171,
B40D0040,001,1951/09/14 00:00:00,203,
B40D0040,001,1951/09/28 00:00:00,238,
B40D0040,001,1951/10/15 00:00:00,264,
B40D0040,001,1951/10/29 00:00:00,291,
B40D0040,001,1951/11/14 00:00:00,296,
B40D0040,001,1951/11/28 00:00:00,183,
B40D0040,001,1951/12/14 00:00:00,152,
B40D0040,001,1951/12/28 00:00:00,157,
B40D0040,001,1952/01/14 00:00:00,77,
B40D0040,001,1952/01/28 00:00:00,103,
B40D0040,001,1952/02/14 00:00:00,97,
B40D0040,001,1952/02/28 00:00:00,111,
B40D0040,001,1952/03/14 00:00:00,90,
B40D0040,001,1952/03/28 00:00:00,78,
B40D0040,001,1952/04/15 00:00:00,71,
B40D0040,001,1952/04/28 00:00:00,108,
B40D0040,001,1952/05/14 00:00:00,154,
B40D0040,001,1952/05/28 00:00:00,176,
B40D0040,001,1952/06/14 00:00:00,200,
