Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0097,001,40DP0097,192240,430500,1121,,1104,-1479,-1579,1975/12/01,2000/02/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0097,001,1977/02/28 00:00:00,167,
B40D0097,001,1977/03/14 00:00:00,171,
B40D0097,001,1977/03/28 00:00:00,171,
B40D0097,001,1977/04/14 00:00:00,214,
B40D0097,001,1977/04/28 00:00:00,209,
B40D0097,001,1977/05/16 00:00:00,196,
B40D0097,001,1977/05/31 00:00:00,189,
B40D0097,001,1977/06/28 00:00:00,195,
B40D0097,001,1977/07/14 00:00:00,195,
B40D0097,001,1977/08/29 00:00:00,242,
B40D0097,001,1977/09/14 00:00:00,244,
B40D0097,001,1977/10/15 00:00:00,247,
B40D0097,001,1977/11/14 00:00:00,225,
B40D0097,001,1977/11/28 00:00:00,226,
B40D0097,001,1977/12/14 00:00:00,221,
B40D0097,001,1978/04/13 00:00:00,148,
B40D0097,001,1978/04/28 00:00:00,169,
B40D0097,001,1978/05/16 00:00:00,172,
B40D0097,001,1978/05/29 00:00:00,137,
B40D0097,001,1978/07/14 00:00:00,164,
B40D0097,001,1978/07/28 00:00:00,157,
B40D0097,001,1978/09/04 00:00:00,168,
B40D0097,001,1978/09/14 00:00:00,167,
B40D0097,001,1978/09/28 00:00:00,166,
B40D0097,001,1978/10/13 00:00:00,241,
B40D0097,001,1978/11/15 00:00:00,271,
B40D0097,001,1978/12/01 00:00:00,272,
B40D0097,001,1978/12/14 00:00:00,274,
B40D0097,001,1979/03/14 00:00:00,194,
B40D0097,001,1979/04/13 00:00:00,237,
B40D0097,001,1979/04/27 00:00:00,241,
B40D0097,001,1979/05/15 00:00:00,245,
B40D0097,001,1979/05/28 00:00:00,248,
B40D0097,001,1979/07/16 00:00:00,214,
B40D0097,001,1979/07/30 00:00:00,218,
B40D0097,001,1979/08/28 00:00:00,253,
B40D0097,001,1979/09/14 00:00:00,255,
B40D0097,001,1979/10/01 00:00:00,261,
B40D0097,001,1979/10/15 00:00:00,278,
B40D0097,001,1979/10/29 00:00:00,280,
B40D0097,001,1979/11/14 00:00:00,276,
B40D0097,001,1979/11/29 00:00:00,262,
B40D0097,001,1979/12/14 00:00:00,255,
B40D0097,001,1980/01/14 00:00:00,257,
B40D0097,001,1980/01/28 00:00:00,255,
B40D0097,001,1980/02/15 00:00:00,132,
B40D0097,001,1980/02/28 00:00:00,159,
B40D0097,001,1980/03/17 00:00:00,159,
B40D0097,001,1980/03/28 00:00:00,192,
B40D0097,001,1980/04/14 00:00:00,177,
B40D0097,001,1980/04/28 00:00:00,195,
B40D0097,001,1980/05/22 00:00:00,215,
B40D0097,001,1980/05/29 00:00:00,221,
B40D0097,001,1980/06/13 00:00:00,229,
B40D0097,001,1980/06/27 00:00:00,218,
B40D0097,001,1980/07/15 00:00:00,147,
B40D0097,001,1980/07/28 00:00:00,122,
B40D0097,001,1980/08/14 00:00:00,165,
B40D0097,001,1980/08/28 00:00:00,187,
B40D0097,001,1980/09/15 00:00:00,193,
B40D0097,001,1980/09/29 00:00:00,220,
B40D0097,001,1980/10/14 00:00:00,237,
B40D0097,001,1980/10/29 00:00:00,247,
B40D0097,001,1980/11/14 00:00:00,242,
B40D0097,001,1980/11/28 00:00:00,234,
B40D0097,001,1980/12/15 00:00:00,224,
B40D0097,001,1980/12/29 00:00:00,174,
B40D0097,001,1981/01/15 00:00:00,142,
B40D0097,001,1981/01/28 00:00:00,158,
B40D0097,001,1981/02/13 00:00:00,142,
B40D0097,001,1981/03/02 00:00:00,179,
B40D0097,001,1981/03/13 00:00:00,137,
B40D0097,001,1981/03/27 00:00:00,137,
B40D0097,001,1981/04/14 00:00:00,166,
B40D0097,001,1981/04/28 00:00:00,185,
B40D0097,001,1981/05/15 00:00:00,196,
B40D0097,001,1981/05/26 00:00:00,207,
B40D0097,001,1981/06/15 00:00:00,203,
B40D0097,001,1981/06/30 00:00:00,215,
B40D0097,001,1981/07/14 00:00:00,223,
B40D0097,001,1981/07/28 00:00:00,223,
B40D0097,001,1981/08/14 00:00:00,220,
B40D0097,001,1981/08/28 00:00:00,232,
B40D0097,001,1981/09/11 00:00:00,250,
B40D0097,001,1981/09/28 00:00:00,261,
B40D0097,001,1981/10/14 00:00:00,239,
B40D0097,001,1981/10/28 00:00:00,160,
B40D0097,001,1981/11/13 00:00:00,163,
B40D0097,001,1981/11/27 00:00:00,182,
B40D0097,001,1982/01/15 00:00:00,121,
B40D0097,001,1982/01/28 00:00:00,142,
B40D0097,001,1982/02/12 00:00:00,138,
B40D0097,001,1982/03/03 00:00:00,173,
B40D0097,001,1982/03/15 00:00:00,160,
B40D0097,001,1982/03/29 00:00:00,167,
B40D0097,001,1982/04/15 00:00:00,173,
B40D0097,001,1982/04/28 00:00:00,189,
B40D0097,001,1982/05/14 00:00:00,209,
B40D0097,001,1982/05/28 00:00:00,218,
B40D0097,001,1982/06/14 00:00:00,228,
B40D0097,001,1982/06/29 00:00:00,204,
B40D0097,001,1982/07/16 00:00:00,207,
B40D0097,001,1982/07/28 00:00:00,229,
B40D0097,001,1982/08/13 00:00:00,235,
B40D0097,001,1982/08/26 00:00:00,243,
B40D0097,001,1982/09/15 00:00:00,258,
B40D0097,001,1982/09/28 00:00:00,268,
B40D0097,001,1982/10/14 00:00:00,255,
B40D0097,001,1982/10/28 00:00:00,217,
B40D0097,001,1982/11/15 00:00:00,234,
B40D0097,001,1982/11/29 00:00:00,221,
B40D0097,001,1982/12/15 00:00:00,195,
B40D0097,001,1982/12/28 00:00:00,136,
B40D0097,001,1983/01/14 00:00:00,142,
B40D0097,001,1983/01/28 00:00:00,153,
B40D0097,001,1983/02/16 00:00:00,153,
B40D0097,001,1983/02/28 00:00:00,175,
