Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0152,002,40DP0152,191334,429021,1019,,1054,19,-81,1990/07/13,2005/02/17
B40D0152,002,40DP0152,191334,429021,1014,,1070,19,-81,2005/02/17,2019/10/23

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0152,002,1990/07/13 00:00:00,169,
B40D0152,002,1990/07/27 00:00:00,186,
B40D0152,002,1990/08/14 00:00:00,199,
B40D0152,002,1990/08/28 00:00:00,202,
B40D0152,002,1990/09/28 00:00:00,205,
B40D0152,002,1990/10/15 00:00:00,207,
B40D0152,002,1990/10/29 00:00:00,206,
B40D0152,002,1990/11/14 00:00:00,211,
B40D0152,002,1990/11/28 00:00:00,209,
B40D0152,002,1990/12/14 00:00:00,207,
B40D0152,002,1990/12/28 00:00:00,205,
B40D0152,002,1991/01/14 00:00:00,201,
B40D0152,002,1991/01/28 00:00:00,199,
B40D0152,002,1991/02/14 00:00:00,136,
B40D0152,002,1991/02/28 00:00:00,139,
B40D0152,002,1991/03/14 00:00:00,137,
B40D0152,002,1991/04/15 00:00:00,139,
B40D0152,002,1991/05/14 00:00:00,168,
B40D0152,002,1991/05/28 00:00:00,171,
B40D0152,002,1991/06/14 00:00:00,182,
B40D0152,002,1991/06/28 00:00:00,164,
B40D0152,002,1991/07/15 00:00:00,187,
B40D0152,002,1991/07/26 00:00:00,189,
B40D0152,002,1991/08/19 00:00:00,202,
B40D0152,002,1991/08/28 00:00:00,206,
B40D0152,002,1991/09/16 00:00:00,217,
B40D0152,002,1991/09/27 00:00:00,214,
B40D0152,002,1991/10/14 00:00:00,219,
B40D0152,002,1991/10/28 00:00:00,221,
B40D0152,002,1991/11/14 00:00:00,185,
B40D0152,002,1991/11/28 00:00:00,187,
B40D0152,002,1991/12/14 00:00:00,198,
B40D0152,002,1991/12/27 00:00:00,115,
B40D0152,002,1992/01/14 00:00:00,152,
B40D0152,002,1992/01/28 00:00:00,166,
B40D0152,002,1992/02/14 00:00:00,149,
B40D0152,002,1992/02/28 00:00:00,155,
B40D0152,002,1992/03/13 00:00:00,156,
B40D0152,002,1992/03/27 00:00:00,115,
B40D0152,002,1992/04/14 00:00:00,134,
B40D0152,002,1992/04/28 00:00:00,123,
B40D0152,002,1992/05/14 00:00:00,132,
B40D0152,002,1992/05/28 00:00:00,140,
B40D0152,002,1992/06/15 00:00:00,145,
B40D0152,002,1992/06/29 00:00:00,162,
B40D0152,002,1992/07/14 00:00:00,173,
B40D0152,002,1992/07/28 00:00:00,177,
B40D0152,002,1992/08/14 00:00:00,177,
B40D0152,002,1992/08/31 00:00:00,185,
B40D0152,002,1992/09/14 00:00:00,173,
B40D0152,002,1992/09/28 00:00:00,186,
B40D0152,002,1992/10/14 00:00:00,194,
B40D0152,002,1992/10/28 00:00:00,198,
B40D0152,002,1992/11/13 00:00:00,195,
B40D0152,002,1992/11/27 00:00:00,117,
B40D0152,002,1992/12/14 00:00:00,128,
B40D0152,002,1992/12/28 00:00:00,107,
B40D0152,002,1993/01/14 00:00:00,80,
B40D0152,002,1993/01/28 00:00:00,92,
B40D0152,002,1993/02/15 00:00:00,112,
B40D0152,002,1993/03/01 00:00:00,117,
B40D0152,002,1993/03/15 00:00:00,128,
B40D0152,002,1993/03/29 00:00:00,135,
B40D0152,002,1993/04/14 00:00:00,139,
B40D0152,002,1993/04/28 00:00:00,131,
B40D0152,002,1993/05/14 00:00:00,154,
B40D0152,002,1993/05/28 00:00:00,174,
B40D0152,002,1993/06/14 00:00:00,173,
B40D0152,002,1993/06/28 00:00:00,178,
B40D0152,002,1993/07/14 00:00:00,189,
B40D0152,002,1993/07/28 00:00:00,168,
B40D0152,002,1993/08/13 00:00:00,178,
B40D0152,002,1993/08/27 00:00:00,188,
B40D0152,002,1993/09/14 00:00:00,193,
B40D0152,002,1993/09/28 00:00:00,174,
B40D0152,002,1993/10/14 00:00:00,122,
B40D0152,002,1993/10/28 00:00:00,138,
B40D0152,002,1993/11/15 00:00:00,152,
B40D0152,002,1993/11/29 00:00:00,113,
B40D0152,002,1993/12/14 00:00:00,96,
B40D0152,002,1993/12/28 00:00:00,91,
B40D0152,002,1994/01/14 00:00:00,88,
B40D0152,002,1994/01/28 00:00:00,67,
B40D0152,002,1994/02/14 00:00:00,100,
B40D0152,002,1994/02/28 00:00:00,102,
B40D0152,002,1994/03/15 00:00:00,96,
B40D0152,002,1994/03/28 00:00:00,93,
B40D0152,002,1994/04/13 00:00:00,94,
B40D0152,002,1994/04/28 00:00:00,109,
B40D0152,002,1994/05/16 00:00:00,115,
B40D0152,002,1994/05/27 00:00:00,113,
B40D0152,002,1994/06/14 00:00:00,108,
B40D0152,002,1994/06/28 00:00:00,123,
B40D0152,002,1994/07/14 00:00:00,133,
B40D0152,002,1994/07/28 00:00:00,149,
B40D0152,002,1994/08/15 00:00:00,167,
B40D0152,002,1994/08/29 00:00:00,161,
B40D0152,002,1994/09/14 00:00:00,157,
B40D0152,002,1994/09/28 00:00:00,162,
B40D0152,002,1994/10/13 00:00:00,161,
B40D0152,002,1994/10/28 00:00:00,168,
B40D0152,002,1994/11/14 00:00:00,144,
B40D0152,002,1994/11/28 00:00:00,140,
B40D0152,002,1994/12/14 00:00:00,114,
B40D0152,002,1994/12/28 00:00:00,60,
B40D0152,002,1995/01/16 00:00:00,96,
B40D0152,002,1995/01/27 00:00:00,77,
B40D0152,002,1995/02/14 00:00:00,93,
B40D0152,002,1995/02/28 00:00:00,94,
B40D0152,002,1995/03/14 00:00:00,95,
B40D0152,002,1995/03/28 00:00:00,90,
B40D0152,002,1995/04/14 00:00:00,103,
B40D0152,002,1995/04/28 00:00:00,111,
B40D0152,002,1995/05/15 00:00:00,118,
B40D0152,002,1995/05/29 00:00:00,90,
B40D0152,002,1995/06/14 00:00:00,94,
B40D0152,002,1995/06/29 00:00:00,114,
B40D0152,002,1995/07/14 00:00:00,132,
B40D0152,002,1995/07/28 00:00:00,135,
B40D0152,002,1995/08/15 00:00:00,167,
B40D0152,002,1995/08/28 00:00:00,173,
B40D0152,002,1995/09/14 00:00:00,177,
B40D0152,002,1995/09/28 00:00:00,176,
B40D0152,002,1995/10/12 00:00:00,181,
B40D0152,002,1995/10/26 00:00:00,183,
B40D0152,002,1995/11/15 00:00:00,183,
B40D0152,002,1995/11/28 00:00:00,182,
B40D0152,002,1995/12/14 00:00:00,192,
B40D0152,002,1995/12/28 00:00:00,180,
B40D0152,002,1996/01/15 00:00:00,186,
B40D0152,002,1996/01/29 00:00:00,189,
B40D0152,002,1996/02/14 00:00:00,178,
B40D0152,002,1996/02/28 00:00:00,162,
B40D0152,002,1996/03/14 00:00:00,169,
B40D0152,002,1996/03/28 00:00:00,175,
B40D0152,002,1996/04/15 00:00:00,184,
B40D0152,002,1996/04/29 00:00:00,187,
B40D0152,002,1996/05/14 00:00:00,193,
B40D0152,002,1996/05/28 00:00:00,196,
B40D0152,002,1996/06/13 00:00:00,197,
B40D0152,002,1996/06/27 00:00:00,206,
B40D0152,002,1996/07/15 00:00:00,211,
B40D0152,002,1996/07/30 00:00:00,219,
B40D0152,002,1996/08/14 00:00:00,217,
B40D0152,002,1996/08/28 00:00:00,218,
B40D0152,002,1996/09/13 00:00:00,219,
B40D0152,002,1996/09/27 00:00:00,213,
B40D0152,002,1996/10/14 00:00:00,213,
B40D0152,002,1996/10/28 00:00:00,213,
B40D0152,002,1996/11/28 00:00:00,215,
B40D0152,002,1996/12/16 00:00:00,218,
B40D0152,002,1996/12/27 00:00:00,218,
B40D0152,002,1997/01/14 00:00:00,219,
B40D0152,002,1997/01/28 00:00:00,221,
B40D0152,002,1997/02/13 00:00:00,222,
B40D0152,002,1997/02/27 00:00:00,224,
B40D0152,002,1997/03/13 00:00:00,225,
B40D0152,002,1997/03/27 00:00:00,225,
B40D0152,002,1997/04/14 00:00:00,227,
B40D0152,002,1997/04/28 00:00:00,229,
B40D0152,002,1997/05/14 00:00:00,230,
B40D0152,002,1997/05/28 00:00:00,153,
B40D0152,002,1997/06/12 00:00:00,154,
B40D0152,002,1997/06/26 00:00:00,164,
