Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0217,001,40DB0004,193990,436160,1000,,1008,400,-580,1950/06/14,2000/09/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0217,001,1950/06/14 00:00:00,124,
B40D0217,001,1950/06/28 00:00:00,141,
B40D0217,001,1950/07/14 00:00:00,142,
B40D0217,001,1950/07/28 00:00:00,151,
B40D0217,001,1950/08/14 00:00:00,162,
B40D0217,001,1950/08/28 00:00:00,178,
B40D0217,001,1950/09/14 00:00:00,178,
B40D0217,001,1950/09/28 00:00:00,143,
B40D0217,001,1950/10/14 00:00:00,156,
B40D0217,001,1950/10/28 00:00:00,170,
B40D0217,001,1950/11/14 00:00:00,111,
B40D0217,001,1950/11/28 00:00:00,61,
B40D0217,001,1950/12/14 00:00:00,22,
B40D0217,001,1950/12/28 00:00:00,56,
B40D0217,001,1951/01/15 00:00:00,33,
B40D0217,001,1951/01/29 00:00:00,24,
B40D0217,001,1951/02/14 00:00:00,53,
B40D0217,001,1951/02/28 00:00:00,48,
B40D0217,001,1951/03/14 00:00:00,64,
B40D0217,001,1951/03/28 00:00:00,49,
B40D0217,001,1951/04/14 00:00:00,44,
B40D0217,001,1951/04/28 00:00:00,64,
B40D0217,001,1951/05/15 00:00:00,79,
B40D0217,001,1951/05/28 00:00:00,63,
B40D0217,001,1951/06/14 00:00:00,86,
B40D0217,001,1951/06/28 00:00:00,93,
B40D0217,001,1951/07/14 00:00:00,96,
B40D0217,001,1951/07/28 00:00:00,100,
B40D0217,001,1951/08/14 00:00:00,98,
B40D0217,001,1951/08/28 00:00:00,115,
B40D0217,001,1951/09/14 00:00:00,112,
B40D0217,001,1951/09/28 00:00:00,124,
B40D0217,001,1951/10/15 00:00:00,142,
B40D0217,001,1951/10/29 00:00:00,159,
B40D0217,001,1951/11/14 00:00:00,202,
B40D0217,001,1951/11/28 00:00:00,162,
B40D0217,001,1951/12/14 00:00:00,119,
B40D0217,001,1951/12/28 00:00:00,105,
B40D0217,001,1952/01/14 00:00:00,56,
B40D0217,001,1952/01/28 00:00:00,38,
B40D0217,001,1952/02/14 00:00:00,47,
B40D0217,001,1952/02/28 00:00:00,65,
B40D0217,001,1952/03/14 00:00:00,68,
B40D0217,001,1952/03/28 00:00:00,54,
B40D0217,001,1952/04/15 00:00:00,54,
B40D0217,001,1952/04/28 00:00:00,68,
B40D0217,001,1952/05/14 00:00:00,97,
B40D0217,001,1952/05/28 00:00:00,111,
B40D0217,001,1952/06/14 00:00:00,122,
B40D0217,001,1952/06/28 00:00:00,136,
B40D0217,001,1952/07/14 00:00:00,142,
B40D0217,001,1952/07/28 00:00:00,153,
B40D0217,001,1952/08/14 00:00:00,168,
B40D0217,001,1952/08/28 00:00:00,166,
B40D0217,001,1952/09/15 00:00:00,190,
B40D0217,001,1952/09/29 00:00:00,194,
B40D0217,001,1952/10/14 00:00:00,194,
B40D0217,001,1952/10/28 00:00:00,188,
B40D0217,001,1952/11/14 00:00:00,102,
B40D0217,001,1952/11/28 00:00:00,79,
B40D0217,001,1952/12/15 00:00:00,34,
B40D0217,001,1952/12/29 00:00:00,12,
B40D0217,001,1953/01/14 00:00:00,50,
B40D0217,001,1953/01/28 00:00:00,61,
B40D0217,001,1953/02/14 00:00:00,45,
B40D0217,001,1953/02/28 00:00:00,60,
B40D0217,001,1953/03/14 00:00:00,70,
B40D0217,001,1953/03/28 00:00:00,80,
B40D0217,001,1953/04/14 00:00:00,82,
B40D0217,001,1953/04/28 00:00:00,95,
B40D0217,001,1953/05/15 00:00:00,119,
B40D0217,001,1953/05/28 00:00:00,135,
B40D0217,001,1953/06/15 00:00:00,128,
B40D0217,001,1953/12/28 00:00:00,211,
B40D0217,001,1955/04/28 00:00:00,78,
B40D0217,001,1956/04/28 00:00:00,87,
B40D0217,001,1956/10/15 00:00:00,68,
