Titel:,,,,,,,,,,,
Gebruikersnaam:,,,,,,,,,,,
Periode aangevraagd:,01-01-1800,tot:,02-11-2021,,,,,,,,
Gegevens beschikbaar:,14-01-1952,tot:,15-03-1965,,,,,,,,
Datum: ,02-11-2021,,,,,,,,,,
Referentie:,NAP,,,,,,,,,,

NAP:,Normaal Amsterdams Peil,,,,,,,,,,
MV:,Maaiveld,,,,,,,,,,
MP:,Meetpunt,,,,,,,,,,

Locatie,Filternummer,Externe aanduiding,X-coordinaat,Y-coordinaat,Maaiveld (cm t.o.v. NAP),Datum maaiveld gemeten,Startdatum,Einddatum,Meetpunt (cm t.o.v. NAP),Meetpunt (cm t.o.v. MV),Bovenkant filter (cm t.o.v. NAP),Onderkant filter (cm t.o.v. NAP)
B40D0234,001,40DP0014,197350,435660,1101,14-01-1952,14-01-1952,13-07-1962,1158,57,541,441
B40D0234,001,40DP0014,197350,435660,1101,14-01-1952,13-07-1962,28-03-1965,1138,37,541,441


Locatie,Filternummer,Peildatum,Stand (cm t.o.v. MP),Stand (cm t.o.v. MV),Stand (cm t.o.v. NAP),Bijzonderheid,Opmerking,,,
B40D0234,001,14-01-1952,50,-7,1108,,,,,,
B40D0234,001,28-01-1952,142,85,1016,,,,,,
B40D0234,001,14-02-1952,100,43,1058,,,,,,
B40D0234,001,28-02-1952,125,68,1033,,,,,,
B40D0234,001,14-03-1952,91,34,1067,,,,,,
B40D0234,001,28-03-1952,33,-24,1125,,,,,,
B40D0234,001,15-04-1952,81,24,1077,,,,,,
B40D0234,001,28-04-1952,132,75,1026,,,,,,
B40D0234,001,14-05-1952,186,129,972,,,,,,
B40D0234,001,28-05-1952,234,177,924,,,,,,
B40D0234,001,14-06-1952,242,185,916,,,,,,
B40D0234,001,28-06-1952,230,173,928,,,,,,
B40D0234,001,14-07-1952,282,225,876,,,,,,
B40D0234,001,28-07-1952,328,271,830,,,,,,
B40D0234,001,14-08-1952,370,313,788,,,,,,
B40D0234,001,28-08-1952,353,296,805,,,,,,
B40D0234,001,15-09-1952,355,298,803,,,,,,
B40D0234,001,29-09-1952,324,267,834,,,,,,
B40D0234,001,14-10-1952,272,215,886,,,,,,
B40D0234,001,28-10-1952,188,131,970,,,,,,
B40D0234,001,14-11-1952,104,47,1054,,,,,,
B40D0234,001,28-11-1952,101,44,1057,,,,,,
B40D0234,001,15-12-1952,71,14,1087,,,,,,
B40D0234,001,29-12-1952,,,,O,,,,,
B40D0234,001,28-01-1953,211,154,947,,,,,,
B40D0234,001,14-02-1953,128,71,1030,,,,,,
B40D0234,001,28-02-1953,56,-1,1102,,,,,,
B40D0234,001,14-03-1953,175,118,983,,,,,,
B40D0234,001,28-03-1953,234,177,924,,,,,,
B40D0234,001,14-04-1953,202,145,956,,,,,,
B40D0234,001,28-04-1953,237,180,921,,,,,,
B40D0234,001,15-05-1953,279,222,879,,,,,,
B40D0234,001,28-05-1953,281,224,877,,,,,,
B40D0234,001,13-06-1953,216,159,942,,,,,,
B40D0234,001,27-06-1953,164,107,994,,,,,,
B40D0234,001,13-07-1953,73,16,1085,,,,,,
B40D0234,001,27-07-1953,127,70,1031,,,,,,
B40D0234,001,14-08-1953,201,144,957,,,,,,
B40D0234,001,28-08-1953,258,201,900,,,,,,
B40D0234,001,14-09-1953,342,285,816,,,,,,
B40D0234,001,28-09-1953,351,294,807,,,,,,
B40D0234,001,14-10-1953,359,302,799,,,,,,
B40D0234,001,28-10-1953,376,319,782,,,,,,
B40D0234,001,14-11-1953,367,310,791,,,,,,
B40D0234,001,28-11-1953,392,335,766,,,,,,
B40D0234,001,14-12-1953,413,356,745,,,,,,
B40D0234,001,28-12-1953,419,362,739,,,,,,
B40D0234,001,14-01-1954,370,313,788,,,,,,
B40D0234,001,28-01-1954,208,151,950,,,,,,
B40D0234,001,15-02-1954,174,117,984,,,,,,
B40D0234,001,01-03-1954,236,179,922,,,,,,
B40D0234,001,15-03-1954,287,230,871,,,,,,
B40D0234,001,29-03-1954,287,230,871,,,,,,
B40D0234,001,14-04-1954,204,147,954,,,,,,
B40D0234,001,28-04-1954,272,215,886,,,,,,
B40D0234,001,14-05-1954,313,256,845,,,,,,
B40D0234,001,28-05-1954,278,221,880,,,,,,
B40D0234,001,14-06-1954,266,209,892,,,,,,
B40D0234,001,28-06-1954,260,203,898,,,,,,
B40D0234,001,14-07-1954,188,131,970,,,,,,
B40D0234,001,28-07-1954,150,93,1008,,,,,,
B40D0234,001,14-08-1954,258,201,900,,,,,,
B40D0234,001,28-08-1954,100,43,1058,,,,,,
B40D0234,001,15-09-1954,196,139,962,,,,,,
B40D0234,001,29-09-1954,161,104,997,,,,,,
B40D0234,001,14-10-1954,84,27,1074,,,,,,
B40D0234,001,29-10-1954,158,101,1000,,,,,,
B40D0234,001,15-11-1954,193,136,965,,,,,,
B40D0234,001,29-11-1954,260,203,898,,,,,,
B40D0234,001,14-12-1954,81,24,1077,,,,,,
B40D0234,001,28-12-1954,5,-52,1153,,,,,,
B40D0234,001,14-01-1955,133,76,1025,,,,,,
B40D0234,001,28-01-1955,23,-34,1135,,,,,,
B40D0234,001,14-02-1955,5,-52,1153,,,,,,
B40D0234,001,28-02-1955,105,48,1053,,,,,,
B40D0234,001,14-03-1955,197,140,961,,,,,,
B40D0234,001,28-03-1955,21,-36,1137,,,,,,
B40D0234,001,14-04-1955,118,61,1040,,,,,,
B40D0234,001,28-04-1955,208,151,950,,,,,,
B40D0234,001,14-05-1955,207,150,951,,,,,,
B40D0234,001,28-05-1955,190,133,968,,,,,,
B40D0234,001,14-06-1955,109,52,1049,,,,,,
B40D0234,001,28-06-1955,133,76,1025,,,,,,
B40D0234,001,14-07-1955,152,95,1006,,,,,,
B40D0234,001,28-07-1955,133,76,1025,,,,,,
B40D0234,001,14-08-1955,166,109,992,,,,,,
B40D0234,001,28-08-1955,250,193,908,,,,,,
B40D0234,001,14-09-1955,241,184,917,,,,,,
B40D0234,001,28-09-1955,263,206,895,,,,,,
B40D0234,001,14-10-1955,296,239,862,,,,,,
B40D0234,001,28-10-1955,333,276,825,,,,,,
B40D0234,001,14-11-1955,362,305,796,,,,,,
B40D0234,001,28-11-1955,380,323,778,,,,,,
B40D0234,001,14-12-1955,336,279,822,,,,,,
B40D0234,001,28-12-1955,213,156,945,,,,,,
B40D0234,001,14-01-1956,175,118,983,,,,,,
B40D0234,001,28-01-1956,95,38,1063,,,,,,
B40D0234,001,14-02-1956,252,195,906,,,,,,
B40D0234,001,28-02-1956,281,224,877,,,,,,
B40D0234,001,14-03-1956,92,35,1066,,,,,,
B40D0234,001,28-03-1956,223,166,935,,,,,,
B40D0234,001,14-04-1956,258,201,900,,,,,,
B40D0234,001,28-04-1956,155,98,1003,,,,,,
B40D0234,001,14-05-1956,242,185,916,,,,,,
B40D0234,001,28-05-1956,211,154,947,,,,,,
B40D0234,001,14-06-1956,114,57,1044,,,,,,
