Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0237,001,40DP0030,197570,433250,1203,,1288,703,603,1952/01/14,1989/07/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0237,001,1952/01/14 00:00:00,116,
B40D0237,001,1952/01/28 00:00:00,136,
B40D0237,001,1952/02/14 00:00:00,151,
B40D0237,001,1952/02/28 00:00:00,181,
B40D0237,001,1952/03/14 00:00:00,132,
B40D0237,001,1952/03/28 00:00:00,102,
B40D0237,001,1952/04/15 00:00:00,77,
B40D0237,001,1952/04/28 00:00:00,160,
B40D0237,001,1952/05/14 00:00:00,199,
B40D0237,001,1952/05/28 00:00:00,239,
B40D0237,001,1952/06/14 00:00:00,265,
B40D0237,001,1952/06/28 00:00:00,259,
B40D0237,001,1952/07/14 00:00:00,289,
B40D0237,001,1952/07/28 00:00:00,320,
B40D0237,001,1952/08/14 00:00:00,358,
B40D0237,001,1952/08/28 00:00:00,362,
B40D0237,001,1952/09/15 00:00:00,374,
B40D0237,001,1952/09/29 00:00:00,357,
B40D0237,001,1952/10/14 00:00:00,315,
B40D0237,001,1952/10/28 00:00:00,277,
B40D0237,001,1952/11/14 00:00:00,63,
B40D0237,001,1952/11/28 00:00:00,123,
B40D0237,001,1952/12/15 00:00:00,79,
B40D0237,001,1952/12/29 00:00:00,17,
B40D0237,001,1953/01/14 00:00:00,151,
B40D0237,001,1953/01/28 00:00:00,225,
B40D0237,001,1953/02/14 00:00:00,177,
B40D0237,001,1953/02/28 00:00:00,113,
B40D0237,001,1953/03/14 00:00:00,196,
B40D0237,001,1953/03/28 00:00:00,246,
B40D0237,001,1953/04/14 00:00:00,243,
B40D0237,001,1953/04/28 00:00:00,266,
B40D0237,001,1953/05/15 00:00:00,306,
B40D0237,001,1953/05/28 00:00:00,323,
B40D0237,001,1953/06/13 00:00:00,269,
B40D0237,001,1953/06/27 00:00:00,235,
B40D0237,001,1953/07/13 00:00:00,128,
B40D0237,001,1953/07/27 00:00:00,166,
B40D0237,001,1953/08/14 00:00:00,220,
B40D0237,001,1953/08/28 00:00:00,274,
B40D0237,001,1953/09/14 00:00:00,334,
B40D0237,001,1953/09/28 00:00:00,363,
B40D0237,001,1953/10/14 00:00:00,377,
B40D0237,001,1953/10/28 00:00:00,392,
