Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0248,001,40DP0051,192640,430680,1465,,1492,615,515,1965/03/03,1970/11/30
B40D0248,001,40DP0051,192640,430680,1462,,1477,615,515,1970/11/30,1974/08/28
B40D0248,001,40DP0051,192640,430680,1462,,1484,615,515,1974/08/28,1977/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0248,001,1965/03/03 00:00:00,637,
B40D0248,001,1965/03/08 00:00:00,652,
B40D0248,001,1965/03/16 00:00:00,667,
B40D0248,001,1965/03/22 00:00:00,490,
B40D0248,001,1965/03/29 00:00:00,325,
B40D0248,001,1965/04/01 00:00:00,446,
B40D0248,001,1965/04/09 00:00:00,479,
B40D0248,001,1965/04/12 00:00:00,503,
B40D0248,001,1965/04/14 00:00:00,519,
B40D0248,001,1965/04/16 00:00:00,515,
B40D0248,001,1965/04/20 00:00:00,477,
B40D0248,001,1965/04/22 00:00:00,422,
B40D0248,001,1965/04/26 00:00:00,423,
B40D0248,001,1965/04/28 00:00:00,421,
B40D0248,001,1965/04/30 00:00:00,401,
B40D0248,001,1965/05/03 00:00:00,377,
B40D0248,001,1965/05/05 00:00:00,394,
B40D0248,001,1965/05/07 00:00:00,415,
B40D0248,001,1965/05/10 00:00:00,378,
B40D0248,001,1965/05/12 00:00:00,367,
B40D0248,001,1965/05/14 00:00:00,393,
B40D0248,001,1965/05/17 00:00:00,431,
B40D0248,001,1965/05/19 00:00:00,454,
B40D0248,001,1965/05/21 00:00:00,473,
B40D0248,001,1965/05/24 00:00:00,442,
B40D0248,001,1965/05/26 00:00:00,433,
B40D0248,001,1965/05/28 00:00:00,450,
B40D0248,001,1965/05/31 00:00:00,461,
B40D0248,001,1965/06/02 00:00:00,450,
B40D0248,001,1965/06/04 00:00:00,436,
B40D0248,001,1965/06/07 00:00:00,435,
B40D0248,001,1965/06/09 00:00:00,447,
B40D0248,001,1965/06/11 00:00:00,436,
B40D0248,001,1965/06/14 00:00:00,371,
B40D0248,001,1965/06/16 00:00:00,368,
B40D0248,001,1965/06/18 00:00:00,361,
B40D0248,001,1965/06/21 00:00:00,369,
B40D0248,001,1965/06/23 00:00:00,385,
B40D0248,001,1965/06/25 00:00:00,405,
B40D0248,001,1965/06/28 00:00:00,433,
B40D0248,001,1965/06/30 00:00:00,441,
B40D0248,001,1965/07/02 00:00:00,441,
B40D0248,001,1965/07/05 00:00:00,454,
B40D0248,001,1965/07/07 00:00:00,459,
B40D0248,001,1965/07/09 00:00:00,464,
