Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0256,002,40DP0082,193615,432690,992,,1040,392,292,1990/06/07,2017/11/06
B40D0256,002,40DP0082,193615,432690,992,,1058,392,292,2017/11/06,2019/10/10

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0256,002,1990/06/14 00:00:00,171,
B40D0256,002,1990/06/27 00:00:00,166,
B40D0256,002,1990/07/16 00:00:00,165,
B40D0256,002,1990/08/14 00:00:00,200,
B40D0256,002,1990/08/30 00:00:00,214,
B40D0256,002,1990/09/14 00:00:00,219,
B40D0256,002,1990/09/28 00:00:00,226,
B40D0256,002,1990/10/15 00:00:00,222,
B40D0256,002,1990/10/30 00:00:00,235,
B40D0256,002,1990/11/19 00:00:00,219,
B40D0256,002,1990/11/29 00:00:00,186,
B40D0256,002,1990/12/13 00:00:00,175,
B40D0256,002,1991/01/03 00:00:00,104,
B40D0256,002,1991/01/14 00:00:00,90,
B40D0256,002,1991/01/28 00:00:00,118,
B40D0256,002,1991/02/14 00:00:00,148,
B40D0256,002,1991/02/28 00:00:00,151,
B40D0256,002,1991/03/18 00:00:00,158,
B40D0256,002,1991/03/28 00:00:00,159,
B40D0256,002,1991/04/12 00:00:00,165,
B40D0256,002,1991/04/26 00:00:00,174,
B40D0256,002,1991/05/14 00:00:00,188,
B40D0256,002,1991/05/28 00:00:00,189,
B40D0256,002,1991/06/11 00:00:00,198,
B40D0256,002,1991/07/01 00:00:00,177,
B40D0256,002,1991/07/15 00:00:00,177,
B40D0256,002,1991/07/29 00:00:00,184,
B40D0256,002,1991/08/15 00:00:00,195,
B40D0256,002,1991/08/30 00:00:00,199,
B40D0256,002,1991/09/13 00:00:00,228,
B40D0256,002,1991/09/30 00:00:00,241,
B40D0256,002,1991/10/14 00:00:00,242,
B40D0256,002,1991/10/28 00:00:00,244,
B40D0256,002,1991/11/14 00:00:00,224,
B40D0256,002,1991/11/27 00:00:00,196,
B40D0256,002,1991/12/16 00:00:00,209,
B40D0256,002,1991/12/30 00:00:00,147,
B40D0256,002,1992/01/27 00:00:00,153,
B40D0256,002,1992/02/13 00:00:00,160,
B40D0256,002,1992/02/27 00:00:00,151,
B40D0256,002,1992/03/13 00:00:00,149,
B40D0256,002,1992/03/27 00:00:00,111,
B40D0256,002,1992/04/14 00:00:00,110,
B40D0256,002,1992/04/29 00:00:00,120,
B40D0256,002,1992/05/15 00:00:00,128,
B40D0256,002,1992/05/26 00:00:00,141,
B40D0256,002,1992/06/15 00:00:00,140,
B40D0256,002,1992/06/29 00:00:00,157,
B40D0256,002,1992/07/14 00:00:00,170,
B40D0256,002,1992/08/03 00:00:00,183,
B40D0256,002,1992/08/13 00:00:00,191,
B40D0256,002,1992/08/28 00:00:00,195,
B40D0256,002,1992/09/15 00:00:00,191,
B40D0256,002,1992/09/28 00:00:00,203,
B40D0256,002,1992/10/15 00:00:00,218,
B40D0256,002,1992/10/29 00:00:00,221,
B40D0256,002,1992/11/13 00:00:00,199,
B40D0256,002,1992/12/01 00:00:00,111,
B40D0256,002,1992/12/14 00:00:00,91,
B40D0256,002,1992/12/28 00:00:00,112,
B40D0256,002,1993/01/18 00:00:00,96,
B40D0256,002,1993/01/28 00:00:00,97,
B40D0256,002,1993/02/16 00:00:00,129,
B40D0256,002,1993/02/26 00:00:00,133,
