Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0260,001,40DP9004,198760,434940,1083,,1139,,,1994/01/14,1995/10/23
B40D0260,001,40DP9004,198760,434940,1083,,1109,,,1995/10/23,2008/07/23
B40D0260,001,40DP9004,198760,434940,1085,,1137,799,699,2008/07/23,2018/06/13

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0260,001,1994/01/14 00:00:00,-47,
B40D0260,001,1994/01/31 00:00:00,-25,
B40D0260,001,1994/02/15 00:00:00,23,
B40D0260,001,1994/02/28 00:00:00,78,
B40D0260,001,1994/03/14 00:00:00,79,
B40D0260,001,1994/03/30 00:00:00,113,
B40D0260,001,1994/04/15 00:00:00,8,
B40D0260,001,1994/04/28 00:00:00,53,
B40D0260,001,1994/05/16 00:00:00,100,
B40D0260,001,1994/05/27 00:00:00,50,
B40D0260,001,1994/06/14 00:00:00,50,
B40D0260,001,1994/06/30 00:00:00,112,
B40D0260,001,1994/08/01 00:00:00,169,
B40D0260,001,1994/08/15 00:00:00,187,
B40D0260,001,1994/08/29 00:00:00,191,
B40D0260,001,1994/09/14 00:00:00,178,
B40D0260,001,1994/09/28 00:00:00,168,
B40D0260,001,1994/10/14 00:00:00,180,
B40D0260,001,1994/10/28 00:00:00,196,
B40D0260,001,1994/11/17 00:00:00,169,
B40D0260,001,1994/11/30 00:00:00,178,
B40D0260,001,1994/12/16 00:00:00,137,
B40D0260,001,1994/12/30 00:00:00,129,
B40D0260,001,1995/01/16 00:00:00,35,
B40D0260,001,1995/02/14 00:00:00,2,
B40D0260,001,1995/02/28 00:00:00,-15,
B40D0260,001,1995/03/14 00:00:00,31,
B40D0260,001,1995/03/28 00:00:00,5,
B40D0260,001,1995/04/18 00:00:00,51,
B40D0260,001,1995/04/28 00:00:00,44,
