Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0263,002,40DP9007,191530,431050,1102,,1151,705,605,1993/07/28,2011/04/14
B40D0263,002,40DP9007,191530,431050,1102,,1152,-446,-546,2011/04/14,2001/01/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0263,002,1993/07/28 00:00:00,295,
B40D0263,002,1993/08/13 00:00:00,293,
B40D0263,002,1993/08/27 00:00:00,303,
B40D0263,002,1993/09/14 00:00:00,311,
B40D0263,002,1993/09/28 00:00:00,294,
B40D0263,002,1993/10/15 00:00:00,267,
B40D0263,002,1993/10/28 00:00:00,239,
B40D0263,002,1993/11/15 00:00:00,242,
B40D0263,002,1993/11/29 00:00:00,253,
B40D0263,002,1993/12/14 00:00:00,250,
B40D0263,002,1993/12/28 00:00:00,97,
B40D0263,002,1994/01/07 00:00:00,95,
B40D0263,002,1994/01/14 00:00:00,102,
B40D0263,002,1994/01/21 00:00:00,122,
B40D0263,002,1994/01/28 00:00:00,120,
B40D0263,002,1994/02/14 00:00:00,136,
B40D0263,002,1994/02/28 00:00:00,170,
B40D0263,002,1994/03/14 00:00:00,168,
B40D0263,002,1994/03/28 00:00:00,129,
B40D0263,002,1994/04/14 00:00:00,132,
B40D0263,002,1994/04/28 00:00:00,141,
B40D0263,002,1994/05/16 00:00:00,179,
B40D0263,002,1994/05/27 00:00:00,160,
B40D0263,002,1994/06/14 00:00:00,148,
B40D0263,002,1994/06/28 00:00:00,188,
B40D0263,002,1994/07/14 00:00:00,214,
B40D0263,002,1994/08/15 00:00:00,260,
B40D0263,002,1994/08/29 00:00:00,271,
B40D0263,002,1994/09/14 00:00:00,279,
B40D0263,002,1994/09/28 00:00:00,274,
B40D0263,002,1994/10/13 00:00:00,282,
B40D0263,002,1994/10/28 00:00:00,294,
B40D0263,002,1994/11/14 00:00:00,290,
B40D0263,002,1994/11/28 00:00:00,281,
B40D0263,002,1994/12/14 00:00:00,278,
B40D0263,002,1994/12/28 00:00:00,262,
B40D0263,002,1995/01/13 00:00:00,189,
B40D0263,002,1995/02/14 00:00:00,123,
B40D0263,002,1995/02/28 00:00:00,113,
B40D0263,002,1995/03/14 00:00:00,134,
B40D0263,002,1995/03/28 00:00:00,109,
B40D0263,002,1995/04/13 00:00:00,138,
B40D0263,002,1995/04/28 00:00:00,149,
B40D0263,002,1995/05/15 00:00:00,177,
B40D0263,002,1995/05/29 00:00:00,162,
B40D0263,002,1995/06/14 00:00:00,142,
B40D0263,002,1995/06/28 00:00:00,158,
B40D0263,002,1995/07/14 00:00:00,199,
B40D0263,002,1995/07/27 00:00:00,216,
B40D0263,002,1995/08/14 00:00:00,244,
B40D0263,002,1995/08/28 00:00:00,262,
B40D0263,002,1995/09/14 00:00:00,272,
B40D0263,002,1995/09/28 00:00:00,271,
B40D0263,002,1995/10/13 00:00:00,273,
B40D0263,002,1995/10/27 00:00:00,285,
B40D0263,002,1995/11/14 00:00:00,302,
B40D0263,002,1995/11/28 00:00:00,305,
B40D0263,002,1995/12/15 00:00:00,314,
B40D0263,002,1995/12/27 00:00:00,319,
B40D0263,002,1996/01/15 00:00:00,270,
B40D0263,002,1996/01/29 00:00:00,283,
B40D0263,002,1996/02/14 00:00:00,304,
B40D0263,002,1996/02/28 00:00:00,287,
B40D0263,002,1996/03/14 00:00:00,290,
B40D0263,002,1996/03/28 00:00:00,304,
B40D0263,002,1996/04/15 00:00:00,309,
B40D0263,002,1996/04/26 00:00:00,316,
B40D0263,002,1996/05/14 00:00:00,329,
B40D0263,002,1996/05/28 00:00:00,327,
B40D0263,002,1996/06/14 00:00:00,313,
B40D0263,002,1996/06/28 00:00:00,323,
B40D0263,002,1996/07/14 00:00:00,330,
B40D0263,002,1996/07/28 00:00:00,314,
B40D0263,002,1996/08/14 00:00:00,321,
B40D0263,002,1996/08/28 00:00:00,324,
B40D0263,002,1996/09/13 00:00:00,327,
B40D0263,002,1996/10/14 00:00:00,338,
B40D0263,002,1996/10/28 00:00:00,347,
B40D0263,002,1996/11/14 00:00:00,332,
B40D0263,002,1996/11/28 00:00:00,282,
B40D0263,002,1996/12/13 00:00:00,217,
B40D0263,002,1996/12/28 00:00:00,222,
B40D0263,002,1997/01/14 00:00:00,252,
B40D0263,002,1997/01/28 00:00:00,268,
B40D0263,002,1997/02/14 00:00:00,255,
B40D0263,002,1997/02/28 00:00:00,131,
B40D0263,002,1997/03/14 00:00:00,168,
B40D0263,002,1997/03/27 00:00:00,208,
B40D0263,002,1997/04/14 00:00:00,231,
B40D0263,002,1997/04/28 00:00:00,250,
B40D0263,002,1997/05/15 00:00:00,258,
B40D0263,002,1997/05/28 00:00:00,263,
B40D0263,002,1997/06/13 00:00:00,277,
B40D0263,002,1997/06/27 00:00:00,281,
B40D0263,002,1997/07/14 00:00:00,255,
B40D0263,002,1997/08/14 00:00:00,265,
B40D0263,002,1997/08/28 00:00:00,280,
B40D0263,002,1997/09/12 00:00:00,291,
B40D0263,002,1997/09/29 00:00:00,308,
B40D0263,002,1997/10/14 00:00:00,327,
B40D0263,002,1997/10/28 00:00:00,333,
B40D0263,002,1997/11/14 00:00:00,345,
B40D0263,002,1997/11/27 00:00:00,351,
B40D0263,002,1997/12/15 00:00:00,361,
B40D0263,002,1997/12/29 00:00:00,323,
B40D0263,002,1998/01/15 00:00:00,251,
B40D0263,002,1998/01/28 00:00:00,241,
B40D0263,002,1998/02/13 00:00:00,266,
B40D0263,002,1998/03/02 00:00:00,284,
B40D0263,002,1998/03/13 00:00:00,248,
B40D0263,002,1998/03/27 00:00:00,247,
B40D0263,002,1998/04/14 00:00:00,252,
B40D0263,002,1998/05/14 00:00:00,247,
B40D0263,002,1998/05/28 00:00:00,91,
B40D0263,002,1998/06/15 00:00:00,275,
B40D0263,002,1998/06/29 00:00:00,279,
B40D0263,002,1998/07/14 00:00:00,290,
B40D0263,002,1998/07/28 00:00:00,298,
B40D0263,002,1998/08/14 00:00:00,316,
B40D0263,002,1998/08/27 00:00:00,332,
B40D0263,002,1998/09/16 00:00:00,334,
B40D0263,002,1998/09/28 00:00:00,281,
B40D0263,002,1998/10/14 00:00:00,278,
B40D0263,002,1998/10/29 00:00:00,244,
B40D0263,002,1998/11/13 00:00:00,119,
B40D0263,002,1999/01/14 00:00:00,160,
B40D0263,002,1999/01/28 00:00:00,167,
B40D0263,002,1999/02/12 00:00:00,154,
B40D0263,002,1999/03/02 00:00:00,113,
B40D0263,002,1999/03/15 00:00:00,115,
B40D0263,002,1999/03/29 00:00:00,136,
B40D0263,002,1999/04/14 00:00:00,126,
B40D0263,002,1999/04/28 00:00:00,145,
B40D0263,002,1999/05/17 00:00:00,162,
B40D0263,002,2000/02/14 00:00:00,157,
B40D0263,002,2000/02/29 00:00:00,126,
B40D0263,002,2000/03/14 00:00:00,123,
B40D0263,002,2000/03/28 00:00:00,146,
B40D0263,002,2000/04/14 00:00:00,173,
B40D0263,002,2000/04/28 00:00:00,191,
B40D0263,002,2000/05/15 00:00:00,211,
B40D0263,002,2000/05/30 00:00:00,213,
B40D0263,002,2000/06/14 00:00:00,214,
B40D0263,002,2000/06/28 00:00:00,236,
B40D0263,002,2000/07/14 00:00:00,249,
B40D0263,002,2000/07/28 00:00:00,234,
B40D0263,002,2000/08/14 00:00:00,339,
B40D0263,002,2000/08/30 00:00:00,251,
B40D0263,002,2000/09/14 00:00:00,265,
B40D0263,002,2000/09/28 00:00:00,273,
B40D0263,002,2000/10/13 00:00:00,278,
B40D0263,002,2000/12/12 00:00:00,232,
B40D0263,002,2000/12/28 00:00:00,225,
