Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0306,001,40DL0002,193390,436060,1005,,1004,,,1952/10/14,1954/04/27
B40D0306,001,40DL0002,193390,436060,1005,,993,,,1954/04/27,1955/04/26
B40D0306,001,40DL0002,193390,436060,1005,,996,,,1955/04/26,1966/04/28
B40D0306,001,40DL0002,193390,436060,1005,,1003,,,1966/04/28,1966/12/14
B40D0306,001,40DL0002,193390,436060,1005,,,,,1966/12/14,1969/04/28
B40D0306,001,40DL0002,193390,436060,1026,,1026,876,826,1969/04/28,1975/08/28
B40D0306,001,40DL0002,193390,436060,1026,,1022,872,822,1975/08/28,1985/10/25
B40D0306,001,40DL0002,193390,436060,1026,,1023,773,723,1985/10/25,2005/02/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0306,001,1952/10/14 00:00:00,,D
B40D0306,001,1952/12/16 00:00:00,70,
B40D0306,001,1953/04/28 00:00:00,108,
B40D0306,001,1953/08/28 00:00:00,143,
B40D0306,001,1953/10/13 00:00:00,,D
B40D0306,001,1954/04/27 00:00:00,152,
B40D0306,001,1954/10/13 00:00:00,92,
B40D0306,001,1954/12/10 00:00:00,95,
B40D0306,001,1955/04/26 00:00:00,107,
B40D0306,001,1955/05/21 00:00:00,85,
B40D0306,001,1955/08/25 00:00:00,142,
B40D0306,001,1955/10/13 00:00:00,157,
B40D0306,001,1957/08/28 00:00:00,126,
B40D0306,001,1957/10/14 00:00:00,96,
B40D0306,001,1957/12/14 00:00:00,125,
B40D0306,001,1958/04/28 00:00:00,98,
B40D0306,001,1958/08/28 00:00:00,106,
B40D0306,001,1958/10/14 00:00:00,112,
B40D0306,001,1958/12/15 00:00:00,112,
B40D0306,001,1959/04/28 00:00:00,107,
B40D0306,001,1959/08/28 00:00:00,,D
B40D0306,001,1959/10/14 00:00:00,,D
B40D0306,001,1959/12/14 00:00:00,,D
B40D0306,001,1960/04/28 00:00:00,,D
