Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0309,001,40DL0019,191430,434730,943,,940,,,1952/10/15,1955/05/27
B40D0309,001,40DL0019,191430,434730,943,,938,,,1955/05/27,1974/04/16

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0309,001,1952/10/15 00:00:00,193,
B40D0309,001,1952/10/28 00:00:00,,D
B40D0309,001,1952/11/14 00:00:00,115,
B40D0309,001,1952/11/28 00:00:00,175,
B40D0309,001,1952/12/15 00:00:00,57,
B40D0309,001,1952/12/29 00:00:00,61,
B40D0309,001,1953/01/14 00:00:00,87,
B40D0309,001,1953/01/28 00:00:00,93,
B40D0309,001,1953/02/14 00:00:00,82,
B40D0309,001,1953/02/28 00:00:00,89,
B40D0309,001,1953/03/14 00:00:00,94,
B40D0309,001,1953/03/28 00:00:00,74,
B40D0309,001,1953/04/14 00:00:00,83,
B40D0309,001,1953/04/27 00:00:00,101,
B40D0309,001,1953/05/13 00:00:00,124,
B40D0309,001,1953/05/28 00:00:00,111,
B40D0309,001,1953/06/15 00:00:00,102,
B40D0309,001,1953/06/29 00:00:00,78,
B40D0309,001,1953/07/14 00:00:00,28,
B40D0309,001,1953/07/28 00:00:00,30,
B40D0309,001,1953/08/14 00:00:00,86,
B40D0309,001,1953/08/28 00:00:00,115,
B40D0309,001,1953/09/14 00:00:00,127,
B40D0309,001,1953/09/28 00:00:00,158,
B40D0309,001,1953/10/15 00:00:00,175,
B40D0309,001,1953/10/28 00:00:00,128,
B40D0309,001,1953/11/14 00:00:00,177,
B40D0309,001,1953/11/28 00:00:00,177,
B40D0309,001,1953/12/14 00:00:00,,D
B40D0309,001,1953/12/28 00:00:00,,D
B40D0309,001,1954/01/14 00:00:00,169,
