Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0310,001,40DL0019,191450,434730,946,,940,800,750,1974/04/16,1975/05/20
B40D0310,001,40DL0019,191450,434730,946,,939,799,749,1975/05/20,1977/08/17
B40D0310,001,40DL0019,191450,434730,946,,946,806,756,1977/08/17,1981/08/17
B40D0310,001,40DL0019,191450,434730,946,,936,806,756,1981/08/17,1983/03/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0310,001,1974/04/16 00:00:00,106,
B40D0310,001,1974/04/29 00:00:00,111,
B40D0310,001,1974/05/14 00:00:00,121,
B40D0310,001,1974/08/28 00:00:00,126,
B40D0310,001,1974/09/20 00:00:00,121,
B40D0310,001,1974/09/30 00:00:00,106,
B40D0310,001,1974/10/14 00:00:00,111,
B40D0310,001,1974/10/28 00:00:00,61,
B40D0310,001,1974/11/15 00:00:00,66,
B40D0310,001,1974/11/29 00:00:00,51,
B40D0310,001,1974/12/13 00:00:00,36,
B40D0310,001,1975/01/03 00:00:00,36,
B40D0310,001,1975/01/14 00:00:00,41,
B40D0310,001,1975/01/28 00:00:00,36,
B40D0310,001,1975/02/14 00:00:00,46,
B40D0310,001,1975/02/28 00:00:00,56,
B40D0310,001,1975/03/18 00:00:00,76,
B40D0310,001,1975/04/01 00:00:00,56,
B40D0310,001,1975/04/14 00:00:00,71,
B40D0310,001,1975/04/28 00:00:00,51,
B40D0310,001,1975/05/20 00:00:00,62,
B40D0310,001,1975/05/29 00:00:00,62,
B40D0310,001,1975/06/16 00:00:00,62,
B40D0310,001,1975/06/29 00:00:00,67,
B40D0310,001,1975/07/15 00:00:00,67,
B40D0310,001,1975/07/28 00:00:00,67,
B40D0310,001,1975/08/14 00:00:00,87,
B40D0310,001,1975/08/28 00:00:00,100,
B40D0310,001,1975/10/29 00:00:00,117,
B40D0310,001,1975/11/18 00:00:00,112,
B40D0310,001,1975/12/15 00:00:00,107,
B40D0310,001,1976/01/06 00:00:00,72,
B40D0310,001,1976/01/24 00:00:00,67,
B40D0310,001,1976/03/17 00:00:00,87,
B40D0310,001,1976/03/29 00:00:00,92,
B40D0310,001,1976/10/28 00:00:00,176,
B40D0310,001,1976/11/15 00:00:00,175,
B40D0310,001,1976/11/29 00:00:00,174,
B40D0310,001,1976/12/14 00:00:00,174,
