Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0311,001,40DL0019,191270,434850,946,,,,,1983/03/17,1997/11/17

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0311,001,1983/03/17 00:00:00,99,
B40D0311,001,1983/03/28 00:00:00,70,
B40D0311,001,1983/04/14 00:00:00,75,
B40D0311,001,1983/04/28 00:00:00,67,
B40D0311,001,1983/05/16 00:00:00,71,
B40D0311,001,1983/05/30 00:00:00,47,
B40D0311,001,1983/06/14 00:00:00,63,
B40D0311,001,1983/06/28 00:00:00,89,
B40D0311,001,1983/07/14 00:00:00,104,
B40D0311,001,1983/07/29 00:00:00,126,
B40D0311,001,1983/09/05 00:00:00,134,
B40D0311,001,1983/09/14 00:00:00,108,
B40D0311,001,1983/09/29 00:00:00,118,
B40D0311,001,1983/10/14 00:00:00,132,
B40D0311,001,1983/10/28 00:00:00,133,
B40D0311,001,1983/11/14 00:00:00,140,
B40D0311,001,1983/12/14 00:00:00,96,
B40D0311,001,1983/12/29 00:00:00,92,
B40D0311,001,1984/01/16 00:00:00,76,
B40D0311,001,1984/01/30 00:00:00,77,
B40D0311,001,1984/02/28 00:00:00,95,
B40D0311,001,1984/03/14 00:00:00,98,
B40D0311,001,1984/03/28 00:00:00,105,
B40D0311,001,1984/04/16 00:00:00,104,
B40D0311,001,1984/04/27 00:00:00,106,
B40D0311,001,1984/05/16 00:00:00,108,
B40D0311,001,1984/05/28 00:00:00,99,
B40D0311,001,1984/06/14 00:00:00,95,
B40D0311,001,1984/06/28 00:00:00,94,
B40D0311,001,1984/07/13 00:00:00,109,
B40D0311,001,1984/07/30 00:00:00,114,
B40D0311,001,1984/08/15 00:00:00,118,
B40D0311,001,1984/09/14 00:00:00,106,
B40D0311,001,1984/09/28 00:00:00,92,
B40D0311,001,1984/10/15 00:00:00,87,
B40D0311,001,1984/10/29 00:00:00,82,
B40D0311,001,1984/11/14 00:00:00,92,
B40D0311,001,1984/11/28 00:00:00,85,
B40D0311,001,1984/12/14 00:00:00,106,
B40D0311,001,1984/12/28 00:00:00,97,
B40D0311,001,1985/01/14 00:00:00,101,
B40D0311,001,1985/01/28 00:00:00,73,
B40D0311,001,1985/02/14 00:00:00,98,
B40D0311,001,1985/02/28 00:00:00,104,
B40D0311,001,1985/03/15 00:00:00,104,
B40D0311,001,1985/03/28 00:00:00,96,
B40D0311,001,1985/04/15 00:00:00,70,
B40D0311,001,1985/04/29 00:00:00,97,
B40D0311,001,1985/05/14 00:00:00,96,
B40D0311,001,1985/05/28 00:00:00,86,
B40D0311,001,1985/06/17 00:00:00,85,
B40D0311,001,1985/07/01 00:00:00,62,
B40D0311,001,1985/07/15 00:00:00,92,
B40D0311,001,1985/07/30 00:00:00,103,
B40D0311,001,1985/09/16 00:00:00,105,
B40D0311,001,1985/09/30 00:00:00,113,
B40D0311,001,1985/10/14 00:00:00,120,
B40D0311,001,1985/10/28 00:00:00,126,
B40D0311,001,1985/11/15 00:00:00,107,
B40D0311,001,1985/11/28 00:00:00,125,
B40D0311,001,1985/12/13 00:00:00,114,
B40D0311,001,1985/12/30 00:00:00,96,
B40D0311,001,1986/01/14 00:00:00,63,
B40D0311,001,1986/01/28 00:00:00,77,
B40D0311,001,1986/02/14 00:00:00,103,
B40D0311,001,1986/02/28 00:00:00,110,
B40D0311,001,1986/03/14 00:00:00,119,
B40D0311,001,1986/03/27 00:00:00,99,
B40D0311,001,1986/04/14 00:00:00,103,
B40D0311,001,1986/04/28 00:00:00,91,
B40D0311,001,1986/05/28 00:00:00,99,
B40D0311,001,1986/06/17 00:00:00,101,
B40D0311,001,1986/06/30 00:00:00,97,
B40D0311,001,1986/07/14 00:00:00,108,
B40D0311,001,1986/07/28 00:00:00,107,
B40D0311,001,1986/09/02 00:00:00,120,
B40D0311,001,1986/10/14 00:00:00,141,
B40D0311,001,1986/10/29 00:00:00,96,
B40D0311,001,1986/11/14 00:00:00,118,
B40D0311,001,1986/11/28 00:00:00,104,
B40D0311,001,1986/12/15 00:00:00,114,
B40D0311,001,1987/01/28 00:00:00,99,
B40D0311,001,1987/02/17 00:00:00,91,
B40D0311,001,1987/03/04 00:00:00,78,
B40D0311,001,1987/03/30 00:00:00,90,
B40D0311,001,1987/04/27 00:00:00,101,
B40D0311,001,1987/05/14 00:00:00,101,
B40D0311,001,1987/06/01 00:00:00,98,
B40D0311,001,1987/06/15 00:00:00,88,
B40D0311,001,1987/06/29 00:00:00,93,
B40D0311,001,1987/07/28 00:00:00,70,
B40D0311,001,1987/08/31 00:00:00,89,
B40D0311,001,1987/09/14 00:00:00,84,
B40D0311,001,1987/09/30 00:00:00,92,
B40D0311,001,1987/10/15 00:00:00,82,
B40D0311,001,1987/10/28 00:00:00,97,
B40D0311,001,1987/11/16 00:00:00,82,
B40D0311,001,1987/11/27 00:00:00,89,
B40D0311,001,1987/12/14 00:00:00,111,
B40D0311,001,1987/12/28 00:00:00,97,
B40D0311,001,1988/01/15 00:00:00,89,
B40D0311,001,1988/02/01 00:00:00,61,
B40D0311,001,1988/02/15 00:00:00,86,
B40D0311,001,1988/02/29 00:00:00,88,
B40D0311,001,1988/03/14 00:00:00,82,
B40D0311,001,1988/03/28 00:00:00,56,
B40D0311,001,1988/04/14 00:00:00,83,
B40D0311,001,1988/04/28 00:00:00,89,
B40D0311,001,1988/05/16 00:00:00,98,
B40D0311,001,1988/05/31 00:00:00,101,
B40D0311,001,1988/06/14 00:00:00,114,
B40D0311,001,1988/06/28 00:00:00,114,
B40D0311,001,1988/08/29 00:00:00,105,
B40D0311,001,1988/09/14 00:00:00,114,
B40D0311,001,1988/09/28 00:00:00,93,
B40D0311,001,1988/10/14 00:00:00,88,
B40D0311,001,1988/10/31 00:00:00,106,
B40D0311,001,1988/11/15 00:00:00,121,
B40D0311,001,1988/11/28 00:00:00,127,
B40D0311,001,1988/12/14 00:00:00,98,
B40D0311,001,1988/12/29 00:00:00,97,
B40D0311,001,1989/01/13 00:00:00,93,
B40D0311,001,1989/01/30 00:00:00,108,
B40D0311,001,1989/02/14 00:00:00,108,
B40D0311,001,1989/03/02 00:00:00,104,
B40D0311,001,1989/03/14 00:00:00,101,
B40D0311,001,1989/03/28 00:00:00,87,
B40D0311,001,1989/04/14 00:00:00,84,
B40D0311,001,1989/04/28 00:00:00,100,
B40D0311,001,1989/05/11 00:00:00,101,
B40D0311,001,1989/05/30 00:00:00,116,
B40D0311,001,1989/06/15 00:00:00,111,
B40D0311,001,1989/06/28 00:00:00,128,
B40D0311,001,1989/07/17 00:00:00,137,
B40D0311,001,1989/08/01 00:00:00,139,
B40D0311,001,1989/09/14 00:00:00,147,
B40D0311,001,1989/10/13 00:00:00,155,
B40D0311,001,1989/11/14 00:00:00,156,
B40D0311,001,1989/12/14 00:00:00,138,
B40D0311,001,1989/12/28 00:00:00,115,
B40D0311,001,1990/01/16 00:00:00,138,
B40D0311,001,1990/01/31 00:00:00,110,
B40D0311,001,1990/03/28 00:00:00,104,
B40D0311,001,1990/04/12 00:00:00,109,
B40D0311,001,1990/04/26 00:00:00,109,
B40D0311,001,1990/05/14 00:00:00,114,
B40D0311,001,1990/05/28 00:00:00,120,
B40D0311,001,1990/06/29 00:00:00,128,
B40D0311,001,1990/08/22 00:00:00,156,
B40D0311,001,1990/08/29 00:00:00,161,
B40D0311,001,1990/10/29 00:00:00,158,
B40D0311,001,1990/11/14 00:00:00,142,
B40D0311,001,1990/11/30 00:00:00,118,
B40D0311,001,1990/12/13 00:00:00,98,
B40D0311,001,1991/01/15 00:00:00,83,
B40D0311,001,1991/01/28 00:00:00,97,
B40D0311,001,1991/03/28 00:00:00,117,
B40D0311,001,1991/04/15 00:00:00,121,
B40D0311,001,1991/05/01 00:00:00,128,
B40D0311,001,1991/05/15 00:00:00,130,
B40D0311,001,1991/05/28 00:00:00,130,
B40D0311,001,1991/06/26 00:00:00,125,
B40D0311,001,1991/07/29 00:00:00,127,
B40D0311,001,1991/09/02 00:00:00,163,
B40D0311,001,1991/09/16 00:00:00,166,
B40D0311,001,1991/09/30 00:00:00,155,
B40D0311,001,1991/10/14 00:00:00,158,
B40D0311,001,1991/10/28 00:00:00,158,
B40D0311,001,1991/11/15 00:00:00,108,
B40D0311,001,1991/12/13 00:00:00,135,
B40D0311,001,1991/12/30 00:00:00,101,
B40D0311,001,1992/01/14 00:00:00,98,
B40D0311,001,1992/01/30 00:00:00,121,
B40D0311,001,1992/02/20 00:00:00,104,
B40D0311,001,1992/03/03 00:00:00,114,
B40D0311,001,1992/03/16 00:00:00,82,
B40D0311,001,1992/03/30 00:00:00,90,
B40D0311,001,1992/04/15 00:00:00,95,
B40D0311,001,1992/04/28 00:00:00,90,
B40D0311,001,1992/05/18 00:00:00,99,
B40D0311,001,1992/06/29 00:00:00,121,
B40D0311,001,1992/07/28 00:00:00,129,
B40D0311,001,1992/08/31 00:00:00,122,
B40D0311,001,1992/09/14 00:00:00,123,
B40D0311,001,1992/10/01 00:00:00,142,
B40D0311,001,1992/10/14 00:00:00,149,
B40D0311,001,1992/10/28 00:00:00,133,
B40D0311,001,1992/11/16 00:00:00,104,
B40D0311,001,1992/12/14 00:00:00,82,
B40D0311,001,1993/01/14 00:00:00,80,
B40D0311,001,1993/02/15 00:00:00,101,
B40D0311,001,1993/03/03 00:00:00,103,
B40D0311,001,1993/03/17 00:00:00,112,
B40D0311,001,1993/04/05 00:00:00,138,
B40D0311,001,1993/04/14 00:00:00,113,
B40D0311,001,1993/05/07 00:00:00,121,
B40D0311,001,1993/05/14 00:00:00,119,
B40D0311,001,1993/06/02 00:00:00,130,
B40D0311,001,1993/06/28 00:00:00,139,
B40D0311,001,1993/07/29 00:00:00,111,
B40D0311,001,1993/08/31 00:00:00,127,
B40D0311,001,1993/09/14 00:00:00,115,
B40D0311,001,1993/09/29 00:00:00,76,
B40D0311,001,1993/10/14 00:00:00,57,
B40D0311,001,1993/11/15 00:00:00,68,
B40D0311,001,1993/11/29 00:00:00,107,
B40D0311,001,1993/12/14 00:00:00,79,
B40D0311,001,1993/12/28 00:00:00,59,
B40D0311,001,1994/01/14 00:00:00,64,
B40D0311,001,1994/01/28 00:00:00,48,
B40D0311,001,1994/02/28 00:00:00,92,
B40D0311,001,1994/03/14 00:00:00,95,
B40D0311,001,1994/03/28 00:00:00,79,
B40D0311,001,1994/04/14 00:00:00,86,
B40D0311,001,1994/04/28 00:00:00,98,
B40D0311,001,1994/05/16 00:00:00,97,
B40D0311,001,1994/05/31 00:00:00,97,
B40D0311,001,1994/06/28 00:00:00,107,
B40D0311,001,1994/07/28 00:00:00,144,
B40D0311,001,1994/08/29 00:00:00,147,
B40D0311,001,1994/09/28 00:00:00,137,
B40D0311,001,1994/10/14 00:00:00,127,
B40D0311,001,1994/10/28 00:00:00,148,
B40D0311,001,1994/11/14 00:00:00,108,
B40D0311,001,1994/12/14 00:00:00,98,
B40D0311,001,1994/12/27 00:00:00,82,
B40D0311,001,1995/01/16 00:00:00,83,
B40D0311,001,1995/01/31 00:00:00,56,
B40D0311,001,1995/02/14 00:00:00,73,
B40D0311,001,1995/02/28 00:00:00,75,
B40D0311,001,1995/03/14 00:00:00,81,
B40D0311,001,1995/03/28 00:00:00,84,
B40D0311,001,1995/04/27 00:00:00,94,
B40D0311,001,1995/05/13 00:00:00,135,
B40D0311,001,1995/05/15 00:00:00,103,
B40D0311,001,1995/06/14 00:00:00,92,
B40D0311,001,1995/06/28 00:00:00,108,
B40D0311,001,1995/08/28 00:00:00,143,
B40D0311,001,1995/09/14 00:00:00,144,
B40D0311,001,1995/09/28 00:00:00,137,
B40D0311,001,1995/10/30 00:00:00,150,
B40D0311,001,1995/11/14 00:00:00,148,
B40D0311,001,1995/11/28 00:00:00,149,
B40D0311,001,1995/12/14 00:00:00,155,
B40D0311,001,1996/01/15 00:00:00,142,
B40D0311,001,1996/01/30 00:00:00,146,
B40D0311,001,1996/02/14 00:00:00,141,
B40D0311,001,1996/02/28 00:00:00,121,
B40D0311,001,1996/04/15 00:00:00,144,
B40D0311,001,1996/04/29 00:00:00,139,
B40D0311,001,1996/05/20 00:00:00,144,
B40D0311,001,1996/05/28 00:00:00,129,
B40D0311,001,1996/06/17 00:00:00,138,
B40D0311,001,1996/09/17 00:00:00,147,
B40D0311,001,1996/09/30 00:00:00,146,
B40D0311,001,1996/10/14 00:00:00,143,
B40D0311,001,1996/10/28 00:00:00,134,
B40D0311,001,1996/11/14 00:00:00,142,
B40D0311,001,1996/11/28 00:00:00,90,
B40D0311,001,1996/12/16 00:00:00,98,
B40D0311,001,1997/03/26 00:00:00,97,
B40D0311,001,1997/04/14 00:00:00,105,
B40D0311,001,1997/04/28 00:00:00,113,
B40D0311,001,1997/05/14 00:00:00,113,
B40D0311,001,1997/05/28 00:00:00,118,
B40D0311,001,1997/06/16 00:00:00,122,
B40D0311,001,1997/06/30 00:00:00,103,
B40D0311,001,1997/07/29 00:00:00,117,
B40D0311,001,1997/09/01 00:00:00,140,
B40D0311,001,1997/09/15 00:00:00,137,
B40D0311,001,1997/09/29 00:00:00,141,
B40D0311,001,1997/10/14 00:00:00,123,
B40D0311,001,1997/10/28 00:00:00,138,
B40D0311,001,1997/11/14 00:00:00,151,
