Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0317,001,40DL0029,196320,433140,1091,,1089,,,1952/10/13,1955/04/26
B40D0317,001,40DL0029,196320,433140,1091,,1085,,,1955/04/26,1957/08/28
B40D0317,001,40DL0029,196320,433140,1091,,,,,1957/08/28,1964/04/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0317,001,1952/10/13 00:00:00,,D
B40D0317,001,1952/12/17 00:00:00,78,
B40D0317,001,1953/04/27 00:00:00,152,
B40D0317,001,1953/08/28 00:00:00,177,
B40D0317,001,1953/10/14 00:00:00,,D
B40D0317,001,1953/12/15 00:00:00,,D
B40D0317,001,1954/04/28 00:00:00,188,D
B40D0317,001,1954/08/26 00:00:00,115,
B40D0317,001,1954/10/12 00:00:00,89,
B40D0317,001,1954/12/10 00:00:00,136,
B40D0317,001,1955/04/26 00:00:00,127,
B40D0317,001,1955/05/10 00:00:00,140,
B40D0317,001,1955/08/26 00:00:00,164,
B40D0317,001,1955/10/14 00:00:00,202,
B40D0317,001,1957/08/28 00:00:00,180,
B40D0317,001,1957/10/14 00:00:00,123,
B40D0317,001,1957/12/14 00:00:00,206,
B40D0317,001,1958/04/28 00:00:00,127,
B40D0317,001,1958/08/28 00:00:00,135,
B40D0317,001,1958/10/14 00:00:00,182,
B40D0317,001,1958/12/15 00:00:00,166,
B40D0317,001,1959/04/28 00:00:00,145,
B40D0317,001,1959/08/28 00:00:00,,D
B40D0317,001,1959/10/14 00:00:00,,D
B40D0317,001,1959/12/14 00:00:00,,D
B40D0317,001,1960/04/14 00:00:00,,D
B40D0317,001,1960/08/29 00:00:00,153,
B40D0317,001,1960/10/14 00:00:00,83,
B40D0317,001,1960/12/14 00:00:00,78,
B40D0317,001,1961/04/28 00:00:00,133,
B40D0317,001,1961/08/28 00:00:00,123,
B40D0317,001,1961/10/13 00:00:00,183,
B40D0317,001,1961/12/14 00:00:00,62,
B40D0317,001,1962/04/27 00:00:00,81,
B40D0317,001,1962/08/28 00:00:00,182,
B40D0317,001,1962/10/15 00:00:00,206,
B40D0317,001,1962/12/14 00:00:00,208,
B40D0317,001,1963/08/28 00:00:00,98,
