Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0318,001,40DL0029,196230,433090,1107,,1102,952,902,1964/04/28,1965/04/28
B40D0318,001,40DL0029,196230,433090,1107,,1102,852,802,1965/04/28,1975/08/28
B40D0318,001,40DL0029,196230,433090,1107,,1088,838,788,1975/08/28,1985/10/25

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0318,001,1964/04/28 00:00:00,205,D
B40D0318,001,1964/08/28 00:00:00,202,D
B40D0318,001,1964/10/14 00:00:00,195,
B40D0318,001,1964/12/14 00:00:00,198,
B40D0318,001,1965/04/28 00:00:00,81,
B40D0318,001,1965/08/27 00:00:00,122,
B40D0318,001,1965/10/14 00:00:00,143,
B40D0318,001,1965/12/14 00:00:00,45,
B40D0318,001,1966/04/28 00:00:00,77,
B40D0318,001,1966/08/29 00:00:00,110,
B40D0318,001,1966/10/14 00:00:00,166,
B40D0318,001,1966/12/14 00:00:00,65,
B40D0318,001,1967/04/28 00:00:00,126,
B40D0318,001,1967/08/28 00:00:00,177,
B40D0318,001,1967/10/13 00:00:00,193,
B40D0318,001,1967/12/14 00:00:00,183,
B40D0318,001,1968/04/29 00:00:00,129,
B40D0318,001,1968/08/28 00:00:00,137,
B40D0318,001,1968/10/14 00:00:00,70,
B40D0318,001,1968/12/13 00:00:00,142,
B40D0318,001,1969/04/28 00:00:00,86,
B40D0318,001,1969/08/28 00:00:00,171,
B40D0318,001,1969/10/14 00:00:00,182,
B40D0318,001,1969/12/15 00:00:00,124,
B40D0318,001,1970/04/28 00:00:00,84,
B40D0318,001,1970/09/14 00:00:00,129,
B40D0318,001,1970/10/14 00:00:00,171,
B40D0318,001,1970/12/14 00:00:00,126,
B40D0318,001,1971/10/14 00:00:00,255,
B40D0318,001,1971/12/14 00:00:00,,D
B40D0318,001,1972/04/28 00:00:00,197,
B40D0318,001,1972/08/28 00:00:00,194,
B40D0318,001,1972/10/13 00:00:00,243,
B40D0318,001,1972/12/14 00:00:00,165,
B40D0318,001,1973/04/27 00:00:00,163,
B40D0318,001,1973/08/28 00:00:00,213,
B40D0318,001,1973/10/15 00:00:00,251,
B40D0318,001,1974/01/30 00:00:00,118,
B40D0318,001,1974/04/29 00:00:00,190,
B40D0318,001,1974/08/28 00:00:00,210,
B40D0318,001,1974/10/14 00:00:00,186,
B40D0318,001,1974/12/13 00:00:00,84,
B40D0318,001,1975/04/28 00:00:00,59,
B40D0318,001,1975/08/28 00:00:00,169,
B40D0318,001,1975/10/14 00:00:00,183,
B40D0318,001,1975/12/15 00:00:00,228,
B40D0318,001,1976/04/28 00:00:00,233,
B40D0318,001,1976/08/27 00:00:00,,D
B40D0318,001,1976/10/14 00:00:00,,D
B40D0318,001,1976/12/14 00:00:00,,D
B40D0318,001,1977/04/28 00:00:00,145,
B40D0318,001,1977/08/29 00:00:00,163,
B40D0318,001,1977/10/14 00:00:00,229,
B40D0318,001,1977/12/14 00:00:00,148,
B40D0318,001,1978/04/28 00:00:00,140,
B40D0318,001,1978/08/28 00:00:00,156,
B40D0318,001,1978/10/13 00:00:00,196,
B40D0318,001,1978/12/14 00:00:00,249,
B40D0318,001,1979/05/28 00:00:00,131,
B40D0318,001,1979/08/28 00:00:00,208,
B40D0318,001,1979/10/15 00:00:00,236,
B40D0318,001,1979/12/14 00:00:00,174,
B40D0318,001,1980/04/28 00:00:00,153,
B40D0318,001,1980/08/28 00:00:00,136,
B40D0318,001,1980/10/14 00:00:00,201,
B40D0318,001,1981/01/19 00:00:00,76,
B40D0318,001,1981/04/28 00:00:00,132,
B40D0318,001,1981/08/28 00:00:00,174,
B40D0318,001,1981/10/14 00:00:00,147,
B40D0318,001,1981/12/14 00:00:00,84,
B40D0318,001,1982/04/28 00:00:00,147,
B40D0318,001,1982/08/27 00:00:00,198,
B40D0318,001,1982/10/14 00:00:00,215,
B40D0318,001,1982/12/14 00:00:00,145,
B40D0318,001,1983/04/28 00:00:00,81,
B40D0318,001,1983/08/29 00:00:00,171,
B40D0318,001,1983/10/14 00:00:00,234,
B40D0318,001,1983/12/14 00:00:00,192,
B40D0318,001,1984/04/27 00:00:00,179,
B40D0318,001,1984/08/28 00:00:00,225,
B40D0318,001,1984/10/15 00:00:00,102,
B40D0318,001,1984/12/14 00:00:00,177,
B40D0318,001,1985/04/26 00:00:00,123,
B40D0318,001,1985/08/28 00:00:00,224,
B40D0318,001,1985/10/14 00:00:00,237,D
