Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0319,001,40DL0029,196200,433070,,,,,,1985/10/25,2007/07/12

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0319,001,1985/12/13 00:00:00,297,
B40D0319,001,1986/04/28 00:00:00,123,
B40D0319,001,1986/08/28 00:00:00,253,
B40D0319,001,1986/10/14 00:00:00,253,
B40D0319,001,1986/12/15 00:00:00,235,
B40D0319,001,1987/04/28 00:00:00,153,
B40D0319,001,1987/08/28 00:00:00,133,
B40D0319,001,1987/10/14 00:00:00,143,
B40D0319,001,1988/01/06 00:00:00,97,
B40D0319,001,1988/01/14 00:00:00,118,
B40D0319,001,1988/04/28 00:00:00,117,
B40D0319,001,1988/08/29 00:00:00,228,
B40D0319,001,1988/10/14 00:00:00,208,
B40D0319,001,1988/12/14 15:30:00,144,
B40D0319,001,1989/04/28 11:45:00,130,
B40D0319,001,1989/08/28 00:00:00,265,
B40D0319,001,1989/10/13 00:00:00,298,D
B40D0319,001,1989/12/14 00:00:00,295,
B40D0319,001,1990/04/27 00:00:00,233,
B40D0319,001,1990/08/28 00:00:00,298,
B40D0319,001,1990/10/15 00:00:00,,D
B40D0319,001,1990/12/28 00:00:00,173,
B40D0319,001,1991/04/29 00:00:00,275,
B40D0319,001,1991/08/28 00:00:00,293,
B40D0319,001,1991/10/14 00:00:00,298,
B40D0319,001,1991/12/16 12:00:00,303,D
B40D0319,001,1992/04/28 00:00:00,188,
B40D0319,001,1992/08/28 00:00:00,288,
B40D0319,001,1992/09/14 00:00:00,290,
B40D0319,001,1992/10/14 00:00:00,298,D
B40D0319,001,1992/12/15 00:00:00,125,
B40D0319,001,1993/04/28 00:00:00,259,
B40D0319,001,1993/08/27 00:00:00,259,
B40D0319,001,1993/10/14 00:00:00,217,
B40D0319,001,1993/10/28 00:00:00,187,
B40D0319,001,1993/12/14 00:00:00,223,
B40D0319,001,1994/04/28 00:00:00,149,
B40D0319,001,1994/08/29 00:00:00,268,
B40D0319,001,1994/10/14 00:00:00,258,
B40D0319,001,1994/12/14 00:00:00,237,
B40D0319,001,1995/04/28 00:00:00,155,
B40D0319,001,1995/08/28 00:00:00,269,
B40D0319,001,1995/10/13 00:00:00,255,
B40D0319,001,1995/12/14 00:00:00,298,
B40D0319,001,1996/04/29 00:00:00,,D
B40D0319,001,1996/08/28 00:00:00,298,
B40D0319,001,1996/10/14 00:00:00,303,
B40D0319,001,1996/12/20 12:45:00,147,
B40D0319,001,1997/04/28 00:00:00,145,
B40D0319,001,1997/08/28 00:00:00,250,
B40D0319,001,1997/10/14 00:00:00,,D
B40D0319,001,1997/12/15 00:00:00,200,
B40D0319,001,1998/04/28 00:00:00,206,
B40D0319,001,1998/08/31 00:00:00,293,D
B40D0319,001,1998/10/14 00:00:00,239,
B40D0319,001,1998/12/14 15:00:00,166,
B40D0319,001,1999/04/28 00:00:00,173,
B40D0319,001,1999/05/06 11:55:00,163,
B40D0319,001,1999/08/24 10:10:00,241,
B40D0319,001,1999/10/14 16:00:00,276,
B40D0319,001,1999/12/17 10:45:00,251,
B40D0319,001,2000/12/14 00:00:00,167,
B40D0319,001,2001/05/28 00:00:00,169,
B40D0319,001,2001/06/14 00:00:00,202,
B40D0319,001,2001/06/28 00:00:00,195,
B40D0319,001,2001/07/27 00:00:00,210,
B40D0319,001,2001/08/28 00:00:00,241,
B40D0319,001,2001/09/14 00:00:00,222,
B40D0319,001,2001/10/15 00:00:00,204,
B40D0319,001,2001/10/29 00:00:00,236,
B40D0319,001,2001/11/14 00:00:00,249,
B40D0319,001,2001/11/28 00:00:00,234,
B40D0319,001,2001/12/14 00:00:00,232,
B40D0319,001,2002/01/14 00:00:00,184,
B40D0319,001,2002/01/28 00:00:00,114,
B40D0319,001,2002/02/14 00:00:00,122,
B40D0319,001,2002/03/01 00:00:00,86,
B40D0319,001,2002/03/14 00:00:00,127,
B40D0319,001,2002/03/28 00:00:00,120,
B40D0319,001,2002/04/12 00:00:00,164,
B40D0319,001,2002/05/14 00:00:00,187,
B40D0319,001,2002/06/14 00:00:00,214,
B40D0319,001,2002/07/29 00:00:00,241,
B40D0319,001,2002/08/15 00:00:00,254,
B40D0319,001,2002/08/29 00:00:00,237,
B40D0319,001,2002/10/28 00:00:00,247,
B40D0319,001,2002/11/14 00:00:00,127,
B40D0319,001,2003/01/14 00:00:00,120,
B40D0319,001,2003/01/28 00:00:00,140,
B40D0319,001,2003/02/13 00:00:00,130,
B40D0319,001,2003/02/28 00:00:00,194,
B40D0319,001,2003/03/14 00:00:00,175,
B40D0319,001,2003/03/28 00:00:00,221,
B40D0319,001,2003/04/15 00:00:00,233,
B40D0319,001,2003/04/28 00:00:00,253,
B40D0319,001,2003/05/14 00:00:00,267,
B40D0319,001,2003/06/28 00:00:00,258,
B40D0319,001,2003/07/28 00:00:00,286,D
B40D0319,001,2003/09/29 00:00:00,,D
B40D0319,001,2003/10/28 00:00:00,288,D
B40D0319,001,2003/11/14 00:00:00,,D
B40D0319,001,2003/11/28 00:00:00,,D
B40D0319,001,2004/01/16 00:00:00,,D
B40D0319,001,2004/02/13 00:00:00,132,
B40D0319,001,2004/03/15 00:00:00,228,
B40D0319,001,2004/04/14 00:00:00,234,
B40D0319,001,2004/04/29 00:00:00,248,
B40D0319,001,2004/05/28 00:00:00,257,
B40D0319,001,2004/06/14 00:00:00,289,
B40D0319,001,2004/06/28 00:00:00,259,
B40D0319,001,2004/07/28 00:00:00,268,
B40D0319,001,2004/08/13 00:00:00,286,D
B40D0319,001,2004/09/14 00:00:00,,D
B40D0319,001,2004/11/29 00:00:00,264,
B40D0319,001,2004/12/14 00:00:00,281,
B40D0319,001,2004/12/28 00:00:00,271,
B40D0319,001,2005/02/15 00:00:00,170,
B40D0319,001,2005/06/16 00:00:00,225,
B40D0319,001,2005/08/22 00:00:00,278,
B40D0319,001,2005/09/19 00:00:00,235,
B40D0319,001,2005/11/11 00:00:00,281,
B40D0319,001,2006/01/04 00:00:00,273,
B40D0319,001,2006/02/14 00:00:00,282,
B40D0319,001,2006/05/18 00:00:00,185,
B40D0319,001,2006/08/16 00:00:00,,D
B40D0319,001,2006/09/07 00:00:00,253,
B40D0319,001,2006/09/29 00:00:00,253,
B40D0319,001,2006/10/19 00:00:00,237,
B40D0319,001,2006/11/28 00:00:00,252,
B40D0319,001,2007/01/24 00:00:00,133,
B40D0319,001,2007/03/23 00:00:00,135,
B40D0319,001,2007/04/10 00:00:00,166,
B40D0319,001,2007/06/01 00:00:00,153,
B40D0319,001,2007/07/12 00:00:00,146,
