Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0323,001,40DL0039,193900,432780,962,,942,642,542,1979/08/27,1990/06/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0323,001,1979/08/27 00:00:00,100,
B40D0323,001,1979/09/14 00:00:00,105,
B40D0323,001,1979/09/28 00:00:00,116,
B40D0323,001,1979/10/16 00:00:00,120,
B40D0323,001,1979/10/28 00:00:00,126,
B40D0323,001,1979/11/14 00:00:00,116,
B40D0323,001,1979/11/29 00:00:00,107,
B40D0323,001,1979/12/14 00:00:00,88,
B40D0323,001,1979/12/28 00:00:00,74,
B40D0323,001,1980/01/14 00:00:00,87,
B40D0323,001,1980/01/28 00:00:00,100,
B40D0323,001,1980/02/14 00:00:00,60,
B40D0323,001,1980/02/29 00:00:00,90,
B40D0323,001,1980/03/14 00:00:00,108,
B40D0323,001,1980/03/28 00:00:00,98,
B40D0323,001,1980/04/15 00:00:00,87,
B40D0323,001,1980/04/28 00:00:00,78,
B40D0323,001,1980/05/14 00:00:00,74,
B40D0323,001,1980/05/28 00:00:00,85,
B40D0323,001,1980/06/16 00:00:00,91,
B40D0323,001,1980/06/30 00:00:00,76,
B40D0323,001,1980/07/28 00:00:00,40,
B40D0323,001,1980/08/14 00:00:00,58,
B40D0323,001,1980/08/29 00:00:00,70,
B40D0323,001,1980/09/15 00:00:00,76,
B40D0323,001,1980/09/29 00:00:00,116,
B40D0323,001,1980/10/14 00:00:00,87,
B40D0323,001,1980/10/28 00:00:00,87,
B40D0323,001,1980/11/14 00:00:00,98,
B40D0323,001,1980/11/28 00:00:00,91,
