Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0326,001,40DL0049,199380,431230,,,,,,1953/08/27,1959/04/28
B40D0326,001,40DL0049,199380,431230,,,,,,1959/04/28,1963/10/14
B40D0326,001,40DL0049,199380,431230,,,,,,1963/10/14,1966/12/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0326,001,1953/08/27 00:00:00,,
B40D0326,001,1953/10/15 00:00:00,,D
B40D0326,001,1954/04/29 00:00:00,,D
B40D0326,001,1954/08/28 00:00:00,,D
B40D0326,001,1954/10/16 00:00:00,,
B40D0326,001,1954/12/14 00:00:00,,
B40D0326,001,1955/04/26 00:00:00,,
B40D0326,001,1955/08/30 00:00:00,,
B40D0326,001,1955/10/12 00:00:00,,D
B40D0326,001,1959/04/28 00:00:00,154,
B40D0326,001,1959/08/28 00:00:00,139,D
B40D0326,001,1959/10/14 00:00:00,134,
B40D0326,001,1959/12/14 00:00:00,186,D
B40D0326,001,1960/04/28 00:00:00,201,D
B40D0326,001,1960/08/29 00:00:00,171,
B40D0326,001,1960/10/14 00:00:00,162,
B40D0326,001,1960/12/14 00:00:00,14,
B40D0326,001,1961/04/28 00:00:00,122,
B40D0326,001,1961/08/28 00:00:00,120,
B40D0326,001,1961/10/13 00:00:00,177,
B40D0326,001,1961/12/14 00:00:00,84,
B40D0326,001,1962/04/27 00:00:00,29,
B40D0326,001,1962/08/28 00:00:00,172,D
B40D0326,001,1962/10/15 00:00:00,169,D
B40D0326,001,1962/12/14 00:00:00,179,D
B40D0326,001,1963/04/29 00:00:00,159,
B40D0326,001,1963/08/28 00:00:00,187,D
B40D0326,001,1963/10/14 00:00:00,204,D
B40D0326,001,1963/12/13 00:00:00,134,
B40D0326,001,1964/08/28 00:00:00,279,
B40D0326,001,1964/10/14 00:00:00,264,
B40D0326,001,1964/12/14 00:00:00,268,
B40D0326,001,1965/04/28 00:00:00,31,
B40D0326,001,1965/08/27 00:00:00,103,
B40D0326,001,1965/10/14 00:00:00,111,
B40D0326,001,1965/12/14 00:00:00,,O
B40D0326,001,1966/04/28 00:00:00,14,
B40D0326,001,1966/08/29 00:00:00,83,
B40D0326,001,1966/10/14 00:00:00,179,
