Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0327,001,40DL0049,199340,431220,1191,,,,,1966/12/14,1968/04/29
B40D0327,001,40DL0049,199340,431220,1191,,1187,1037,987,1968/04/29,1970/10/14
B40D0327,001,40DL0049,199340,431220,1191,,1196,1046,996,1970/10/14,1972/04/28
B40D0327,001,40DL0049,199340,431220,1191,,1186,846,796,1972/04/28,1977/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0327,001,1966/12/14 00:00:00,40,
B40D0327,001,1967/04/28 00:00:00,123,
B40D0327,001,1967/08/28 00:00:00,188,D
B40D0327,001,1967/10/13 00:00:00,176,D
B40D0327,001,1967/12/14 00:00:00,175,D
B40D0327,001,1968/04/29 00:00:00,142,
B40D0327,001,1968/08/28 00:00:00,154,
B40D0327,001,1968/10/14 00:00:00,46,
B40D0327,001,1968/12/13 00:00:00,197,
B40D0327,001,1969/04/28 00:00:00,89,
B40D0327,001,1969/08/28 00:00:00,197,D
B40D0327,001,1969/10/14 00:00:00,197,D
B40D0327,001,1969/12/15 00:00:00,197,D
B40D0327,001,1970/04/28 00:00:00,52,
B40D0327,001,1970/08/28 00:00:00,154,
B40D0327,001,1970/10/14 00:00:00,185,
B40D0327,001,1970/12/14 00:00:00,139,
B40D0327,001,1971/04/28 00:00:00,186,D
B40D0327,001,1971/08/27 00:00:00,186,D
B40D0327,001,1971/10/14 00:00:00,186,D
B40D0327,001,1971/12/14 00:00:00,186,D
B40D0327,001,1972/04/28 00:00:00,301,
B40D0327,001,1972/08/28 00:00:00,242,
B40D0327,001,1972/10/13 00:00:00,282,
B40D0327,001,1972/12/14 00:00:00,215,
B40D0327,001,1973/04/27 00:00:00,200,
B40D0327,001,1973/08/28 00:00:00,246,
B40D0327,001,1973/10/15 00:00:00,292,
B40D0327,001,1973/12/14 00:00:00,250,
B40D0327,001,1974/04/29 00:00:00,215,
B40D0327,001,1974/08/28 00:00:00,250,
B40D0327,001,1974/10/14 00:00:00,258,
B40D0327,001,1974/12/13 00:00:00,64,
B40D0327,001,1975/04/28 00:00:00,148,
B40D0327,001,1975/08/28 00:00:00,203,
B40D0327,001,1975/10/14 00:00:00,227,
B40D0327,001,1975/12/15 00:00:00,242,
B40D0327,001,1976/04/28 00:00:00,267,
B40D0327,001,1976/08/26 00:00:00,328,
B40D0327,001,1976/10/14 00:00:00,346,
B40D0327,001,1976/12/13 00:00:00,331,
B40D0327,001,1977/04/29 00:00:00,173,
