Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0328,001,40DL0049,199320,431240,,,,,,1977/10/14,1990/03/15
B40D0328,001,40DL0049,199320,431240,,,,,,1990/03/15,1991/12/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0328,001,1977/10/14 00:00:00,252,
B40D0328,001,1977/12/14 00:00:00,184,
B40D0328,001,1978/04/28 00:00:00,139,
B40D0328,001,1978/08/28 00:00:00,172,
B40D0328,001,1978/10/13 00:00:00,227,
B40D0328,001,1978/12/15 00:00:00,286,
B40D0328,001,1979/04/27 00:00:00,115,
B40D0328,001,1979/08/28 00:00:00,228,
B40D0328,001,1979/10/15 00:00:00,264,
B40D0328,001,1979/12/14 00:00:00,216,
B40D0328,001,1980/04/28 00:00:00,165,
B40D0328,001,1980/08/28 00:00:00,150,
B40D0328,001,1980/10/14 00:00:00,238,
B40D0328,001,1980/12/15 00:00:00,200,
B40D0328,001,1981/04/29 00:00:00,143,
B40D0328,001,1981/08/28 00:00:00,189,
B40D0328,001,1981/10/14 00:00:00,204,
B40D0328,001,1981/12/14 00:00:00,5,
B40D0328,001,1982/04/28 00:00:00,159,
B40D0328,001,1982/09/27 00:00:00,210,
B40D0328,001,1982/10/14 00:00:00,234,
B40D0328,001,1982/12/14 00:00:00,187,
B40D0328,001,1983/04/28 00:00:00,39,
B40D0328,001,1983/08/29 00:00:00,236,
B40D0328,001,1983/10/14 00:00:00,261,
B40D0328,001,1983/12/14 00:00:00,276,
B40D0328,001,1984/04/27 00:00:00,182,
B40D0328,001,1984/08/28 00:00:00,241,
B40D0328,001,1984/10/16 00:00:00,139,
B40D0328,001,1984/12/13 00:00:00,180,
B40D0328,001,1985/04/26 00:00:00,141,
B40D0328,001,1985/08/29 00:00:00,221,
B40D0328,001,1985/10/15 00:00:00,266,
B40D0328,001,1985/12/12 00:00:00,296,
B40D0328,001,1986/04/28 00:00:00,70,
B40D0328,001,1986/08/28 00:00:00,234,
B40D0328,001,1986/10/14 00:00:00,268,
B40D0328,001,1986/12/16 00:00:00,253,
B40D0328,001,1987/04/28 00:00:00,134,
B40D0328,001,1987/08/27 00:00:00,132,
B40D0328,001,1987/10/14 00:00:00,173,
B40D0328,001,1987/12/15 09:00:00,172,
B40D0328,001,1988/04/27 00:00:00,72,
B40D0328,001,1988/08/29 00:00:00,235,
B40D0328,001,1988/10/17 00:00:00,228,
B40D0328,001,1988/12/15 00:00:00,154,
B40D0328,001,1989/04/28 00:00:00,105,
B40D0328,001,1989/08/29 00:00:00,273,
B40D0328,001,1989/10/12 00:00:00,307,
B40D0328,001,1989/12/14 00:00:00,310,
B40D0328,001,1990/04/27 00:00:00,236,
B40D0328,001,1990/08/28 09:00:00,312,
B40D0328,001,1990/12/14 00:00:00,283,
B40D0328,001,1991/04/29 00:00:00,276,
B40D0328,001,1991/08/28 00:00:00,308,
B40D0328,001,1991/10/14 00:00:00,355,D
B40D0328,001,1991/12/13 00:00:00,339,
