Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0333,001,40DL0059,192720,430720,,,,,,1954/04/29,1965/05/28
B40D0333,001,40DL0059,192720,430720,1112,,1104,854,804,1965/05/28,1978/10/14

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0333,001,1954/04/29 00:00:00,,D
B40D0333,001,1954/08/30 00:00:00,200,D
B40D0333,001,1954/10/18 00:00:00,116,
B40D0333,001,1954/12/14 00:00:00,,D
B40D0333,001,1955/04/30 00:00:00,,D
B40D0333,001,1955/08/30 00:00:00,200,D
B40D0333,001,1955/10/12 00:00:00,,D
B40D0333,001,1965/05/28 00:00:00,11,
B40D0333,001,1965/06/14 00:00:00,,O
B40D0333,001,1965/06/28 00:00:00,,O
B40D0333,001,1965/07/14 00:00:00,16,
B40D0333,001,1965/07/28 00:00:00,18,
B40D0333,001,1965/08/13 00:00:00,23,
B40D0333,001,1965/08/27 00:00:00,33,
B40D0333,001,1965/09/14 00:00:00,41,
B40D0333,001,1965/09/28 00:00:00,46,
B40D0333,001,1965/10/14 00:00:00,55,
B40D0333,001,1965/10/28 00:00:00,64,
B40D0333,001,1965/11/15 00:00:00,64,
B40D0333,001,1965/11/29 00:00:00,77,
B40D0333,001,1965/12/13 00:00:00,,O
B40D0333,001,1965/12/27 00:00:00,,O
B40D0333,001,1966/01/14 00:00:00,,O
B40D0333,001,1966/01/28 00:00:00,,O
B40D0333,001,1966/02/14 00:00:00,,O
B40D0333,001,1966/02/28 00:00:00,,O
B40D0333,001,1966/03/14 00:00:00,10,
B40D0333,001,1966/03/28 00:00:00,16,
B40D0333,001,1966/04/28 00:00:00,8,
B40D0333,001,1966/05/13 00:00:00,11,
B40D0333,001,1966/05/26 00:00:00,16,
B40D0333,001,1966/06/14 00:00:00,29,
