Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0334,001,40DL0060,193720,429780,,,,,,1952/10/13,1964/06/30
B40D0334,001,40DL0060,193720,429780,1016,,1004,854,804,1964/06/30,1965/05/28
B40D0334,001,40DL0060,193720,429780,1016,,1005,755,705,1965/05/28,1986/12/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0334,001,1952/10/13 00:00:00,207,
B40D0334,001,1952/12/17 00:00:00,40,
B40D0334,001,1953/04/28 00:00:00,158,
B40D0334,001,1953/08/28 00:00:00,167,
B40D0334,001,1953/10/12 00:00:00,206,D
B40D0334,001,1954/04/29 00:00:00,206,
B40D0334,001,1954/08/30 00:00:00,99,
B40D0334,001,1954/10/16 00:00:00,70,
B40D0334,001,1954/12/14 00:00:00,58,
B40D0334,001,1955/04/26 00:00:00,125,
B40D0334,001,1964/06/30 00:00:00,135,
B40D0334,001,1964/07/14 00:00:00,166,
B40D0334,001,1964/07/28 00:00:00,179,
B40D0334,001,1964/08/14 00:00:00,204,
B40D0334,001,1964/08/28 00:00:00,,D
B40D0334,001,1964/09/14 00:00:00,187,
B40D0334,001,1964/09/28 00:00:00,202,
B40D0334,001,1964/10/14 00:00:00,201,
B40D0334,001,1964/10/28 00:00:00,156,
B40D0334,001,1964/11/13 00:00:00,194,
B40D0334,001,1964/11/27 00:00:00,130,
B40D0334,001,1964/12/14 00:00:00,126,
B40D0334,001,1964/12/28 00:00:00,141,
B40D0334,001,1965/01/14 00:00:00,65,
B40D0334,001,1965/01/28 00:00:00,48,
B40D0334,001,1965/02/15 00:00:00,60,
B40D0334,001,1965/03/01 00:00:00,89,
B40D0334,001,1965/03/15 00:00:00,107,
B40D0334,001,1965/03/29 00:00:00,23,
B40D0334,001,1965/04/14 00:00:00,46,
B40D0334,001,1965/04/28 00:00:00,31,
B40D0334,001,1965/05/14 00:00:00,29,
B40D0334,001,1965/05/28 00:00:00,22,
B40D0334,001,1965/06/14 00:00:00,16,
B40D0334,001,1965/06/28 00:00:00,17,
B40D0334,001,1965/07/14 00:00:00,27,
B40D0334,001,1965/07/28 00:00:00,22,
B40D0334,001,1965/08/13 00:00:00,34,
B40D0334,001,1965/09/14 00:00:00,38,
B40D0334,001,1965/09/28 00:00:00,48,
B40D0334,001,1965/10/14 00:00:00,76,
B40D0334,001,1965/10/28 00:00:00,107,
B40D0334,001,1965/11/15 00:00:00,136,
B40D0334,001,1965/11/29 00:00:00,58,
B40D0334,001,1965/12/13 00:00:00,11,
B40D0334,001,1965/12/27 00:00:00,11,
B40D0334,001,1966/01/14 00:00:00,14,
B40D0334,001,1966/01/28 00:00:00,14,
B40D0334,001,1966/02/14 00:00:00,,O
B40D0334,001,1966/02/28 00:00:00,15,
B40D0334,001,1966/03/14 00:00:00,34,
B40D0334,001,1966/03/28 00:00:00,36,
B40D0334,001,1966/04/14 00:00:00,27,
B40D0334,001,1966/04/28 00:00:00,14,
B40D0334,001,1966/05/13 00:00:00,25,
B40D0334,001,1966/05/26 00:00:00,40,
B40D0334,001,1966/06/14 00:00:00,63,
B40D0334,001,1966/06/28 00:00:00,46,
B40D0334,001,1966/07/14 00:00:00,27,
B40D0334,001,1966/07/28 00:00:00,26,
B40D0334,001,1966/08/17 00:00:00,46,
B40D0334,001,1966/08/29 00:00:00,32,
B40D0334,001,1966/09/14 00:00:00,66,
B40D0334,001,1966/09/28 00:00:00,100,
B40D0334,001,1966/10/14 00:00:00,124,
B40D0334,001,1966/10/28 00:00:00,111,
B40D0334,001,1966/11/14 00:00:00,124,
B40D0334,001,1966/11/28 00:00:00,69,
B40D0334,001,1966/12/14 00:00:00,,O
B40D0334,001,1966/12/28 00:00:00,,O
B40D0334,001,1967/01/12 00:00:00,,O
B40D0334,001,1967/01/26 00:00:00,30,
B40D0334,001,1967/02/14 00:00:00,45,
B40D0334,001,1967/02/24 00:00:00,38,
B40D0334,001,1967/03/13 00:00:00,39,
B40D0334,001,1967/03/28 00:00:00,32,
B40D0334,001,1967/04/13 00:00:00,26,
B40D0334,001,1967/04/27 00:00:00,56,
B40D0334,001,1967/05/11 00:00:00,79,
B40D0334,001,1967/05/25 00:00:00,78,
B40D0334,001,1967/06/13 00:00:00,55,
B40D0334,001,1967/06/27 00:00:00,51,
B40D0334,001,1967/07/13 00:00:00,65,
B40D0334,001,1967/07/27 00:00:00,86,
B40D0334,001,1967/08/14 00:00:00,111,
B40D0334,001,1967/08/28 00:00:00,110,
B40D0334,001,1967/09/14 00:00:00,131,
B40D0334,001,1967/09/28 00:00:00,88,
B40D0334,001,1967/10/12 00:00:00,127,
B40D0334,001,1967/10/26 00:00:00,129,
B40D0334,001,1967/11/13 00:00:00,119,
B40D0334,001,1967/11/27 00:00:00,132,
B40D0334,001,1967/12/13 00:00:00,86,
B40D0334,001,1967/12/28 00:00:00,28,
B40D0334,001,1968/01/15 00:00:00,11,
B40D0334,001,1968/01/29 00:00:00,15,
B40D0334,001,1968/02/14 00:00:00,37,
B40D0334,001,1968/02/28 00:00:00,16,
B40D0334,001,1968/03/13 00:00:00,41,
B40D0334,001,1968/03/28 00:00:00,29,
B40D0334,001,1968/04/16 00:00:00,54,
B40D0334,001,1968/05/01 00:00:00,43,
B40D0334,001,1968/05/13 00:00:00,30,
B40D0334,001,1968/05/27 00:00:00,51,
B40D0334,001,1968/06/13 00:00:00,74,
B40D0334,001,1968/06/27 00:00:00,75,
B40D0334,001,1968/07/11 00:00:00,87,
B40D0334,001,1968/07/29 00:00:00,142,
B40D0334,001,1968/08/13 00:00:00,71,
B40D0334,001,1968/08/28 00:00:00,47,
