Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0337,001,40DL0062,191340,429030,990,,982,832,782,1964/08/14,1965/05/28
B40D0337,001,40DL0062,191340,429030,990,,983,733,683,1965/05/28,2000/02/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0337,001,1964/08/14 00:00:00,160,
B40D0337,001,1964/08/28 00:00:00,170,
B40D0337,001,1964/09/14 00:00:00,180,
B40D0337,001,1964/09/28 00:00:00,184,
B40D0337,001,1964/10/14 00:00:00,191,
B40D0337,001,1964/10/28 00:00:00,194,
B40D0337,001,1964/11/13 00:00:00,198,D
B40D0337,001,1964/11/27 00:00:00,188,
B40D0337,001,1964/12/24 00:00:00,172,
B40D0337,001,1964/12/28 00:00:00,159,
B40D0337,001,1965/01/14 00:00:00,91,
B40D0337,001,1965/01/28 00:00:00,83,
B40D0337,001,1965/02/15 00:00:00,89,
B40D0337,001,1965/03/01 00:00:00,93,
B40D0337,001,1965/03/15 00:00:00,103,
B40D0337,001,1965/03/29 00:00:00,80,
B40D0337,001,1965/04/14 00:00:00,83,
B40D0337,001,1965/04/28 00:00:00,62,
B40D0337,001,1965/05/14 00:00:00,44,
B40D0337,001,1965/05/28 00:00:00,57,
B40D0337,001,1965/06/14 00:00:00,57,
B40D0337,001,1965/06/28 00:00:00,34,
B40D0337,001,1965/07/14 00:00:00,39,
B40D0337,001,1965/07/28 00:00:00,23,
B40D0337,001,1965/08/13 00:00:00,27,
B40D0337,001,1965/08/27 00:00:00,33,
B40D0337,001,1965/09/14 00:00:00,43,
B40D0337,001,1965/09/28 00:00:00,48,
B40D0337,001,1965/10/14 00:00:00,57,
B40D0337,001,1965/10/28 00:00:00,62,
B40D0337,001,1965/11/15 00:00:00,70,
B40D0337,001,1965/11/29 00:00:00,52,
B40D0337,001,1965/12/13 00:00:00,44,
B40D0337,001,1965/12/27 00:00:00,42,
B40D0337,001,1966/01/14 00:00:00,52,
B40D0337,001,1966/01/28 00:00:00,57,
B40D0337,001,1966/02/14 00:00:00,55,
B40D0337,001,1966/02/28 00:00:00,57,
B40D0337,001,1966/03/14 00:00:00,57,
B40D0337,001,1966/03/28 00:00:00,57,
B40D0337,001,1966/04/14 00:00:00,57,
B40D0337,001,1966/04/28 00:00:00,58,
B40D0337,001,1966/05/13 00:00:00,57,
B40D0337,001,1966/05/26 00:00:00,63,
B40D0337,001,1966/06/14 00:00:00,67,
B40D0337,001,1966/06/28 00:00:00,75,
B40D0337,001,1966/07/14 00:00:00,75,
B40D0337,001,1966/07/28 00:00:00,70,
B40D0337,001,1966/08/17 00:00:00,75,
B40D0337,001,1966/08/29 00:00:00,81,
B40D0337,001,1966/09/14 00:00:00,81,
B40D0337,001,1966/09/28 00:00:00,85,
B40D0337,001,1966/10/14 00:00:00,89,
B40D0337,001,1966/10/28 00:00:00,82,
B40D0337,001,1966/11/14 00:00:00,96,
B40D0337,001,1966/11/28 00:00:00,61,
B40D0337,001,1966/12/14 00:00:00,10,
B40D0337,001,1966/12/28 00:00:00,11,
B40D0337,001,1967/01/12 00:00:00,12,
B40D0337,001,1967/01/26 00:00:00,11,
B40D0337,001,1967/02/14 00:00:00,19,
B40D0337,001,1967/02/24 00:00:00,14,
B40D0337,001,1967/03/13 00:00:00,10,
B40D0337,001,1967/03/28 00:00:00,11,
B40D0337,001,1967/04/13 00:00:00,11,
B40D0337,001,1967/04/27 00:00:00,22,
B40D0337,001,1967/05/11 00:00:00,30,
B40D0337,001,1967/05/25 00:00:00,34,
B40D0337,001,1967/06/13 00:00:00,43,
B40D0337,001,1967/06/27 00:00:00,48,
B40D0337,001,1967/07/13 00:00:00,56,
B40D0337,001,1967/07/27 00:00:00,61,
B40D0337,001,1967/08/14 00:00:00,69,
B40D0337,001,1967/08/28 00:00:00,74,
B40D0337,001,1967/09/14 00:00:00,77,
B40D0337,001,1967/09/28 00:00:00,85,
B40D0337,001,1967/10/12 00:00:00,85,
B40D0337,001,1967/10/26 00:00:00,97,
B40D0337,001,1967/11/13 00:00:00,97,
B40D0337,001,1967/11/27 00:00:00,102,
B40D0337,001,1967/12/13 00:00:00,91,
B40D0337,001,1967/12/28 00:00:00,77,
B40D0337,001,1968/01/15 00:00:00,65,
B40D0337,001,1968/01/29 00:00:00,77,
B40D0337,001,1968/02/14 00:00:00,74,
B40D0337,001,1968/02/28 00:00:00,78,
B40D0337,001,1968/03/13 00:00:00,78,
B40D0337,001,1968/03/28 00:00:00,78,
B40D0337,001,1968/04/16 00:00:00,82,
B40D0337,001,1968/05/01 00:00:00,84,
B40D0337,001,1968/05/13 00:00:00,83,
B40D0337,001,1968/05/27 00:00:00,87,
B40D0337,001,1968/06/13 00:00:00,87,
B40D0337,001,1968/06/27 00:00:00,91,
B40D0337,001,1968/07/11 00:00:00,92,
B40D0337,001,1968/07/29 00:00:00,89,
B40D0337,001,1968/08/13 00:00:00,84,
B40D0337,001,1968/08/28 00:00:00,52,
B40D0337,001,1968/09/12 00:00:00,12,
B40D0337,001,1968/09/26 00:00:00,13,
B40D0337,001,1968/10/15 00:00:00,13,
B40D0337,001,1968/10/28 00:00:00,17,
B40D0337,001,1968/11/12 00:00:00,15,
B40D0337,001,1968/11/27 00:00:00,17,
B40D0337,001,1968/12/12 00:00:00,82,
B40D0337,001,1968/12/27 00:00:00,65,
B40D0337,001,1969/01/13 00:00:00,80,
B40D0337,001,1969/01/27 00:00:00,76,
B40D0337,001,1969/02/13 00:00:00,80,
B40D0337,001,1969/02/27 00:00:00,62,
B40D0337,001,1969/03/13 00:00:00,35,
B40D0337,001,1969/03/26 00:00:00,75,
B40D0337,001,1969/04/15 00:00:00,69,
B40D0337,001,1969/04/29 00:00:00,75,
B40D0337,001,1969/05/13 00:00:00,80,
B40D0337,001,1969/05/27 00:00:00,79,
B40D0337,001,1969/06/12 00:00:00,84,
B40D0337,001,1969/06/26 00:00:00,74,
B40D0337,001,1969/07/14 00:00:00,82,
B40D0337,001,1969/07/28 00:00:00,87,
B40D0337,001,1969/08/14 00:00:00,93,
B40D0337,001,1969/08/29 00:00:00,74,
B40D0337,001,1969/09/15 00:00:00,93,
B40D0337,001,1969/09/29 00:00:00,102,
B40D0337,001,1969/10/13 00:00:00,107,
B40D0337,001,1969/10/27 00:00:00,119,
B40D0337,001,1969/11/13 00:00:00,112,
B40D0337,001,1969/11/27 00:00:00,117,
B40D0337,001,1969/12/16 00:00:00,116,
