Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0359,001,40DP7006,190860,430280,,,1083,733,683,1983/12/01,1985/05/15

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0359,001,1983/12/15 00:00:00,,
B40D0359,001,1983/12/27 00:00:00,,
B40D0359,001,1984/01/12 00:00:00,,
B40D0359,001,1984/01/26 00:00:00,,
B40D0359,001,1984/02/13 00:00:00,,O
B40D0359,001,1984/02/27 00:00:00,,
B40D0359,001,1984/03/16 00:00:00,,
B40D0359,001,1984/03/26 00:00:00,,
B40D0359,001,1984/04/12 00:00:00,,
B40D0359,001,1984/04/27 00:00:00,,
B40D0359,001,1984/05/17 00:00:00,,
