Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D0363,001,40DP7010,193510,429610,,,1020,670,620,1983/12/01,1998/01/01

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D0363,001,1983/12/15 00:00:00,,
B40D0363,001,1983/12/27 00:00:00,,
B40D0363,001,1984/01/12 00:00:00,,
B40D0363,001,1984/01/26 00:00:00,,
B40D0363,001,1984/02/13 00:00:00,,
B40D0363,001,1984/02/27 00:00:00,,
B40D0363,001,1984/03/16 00:00:00,,
B40D0363,001,1984/03/26 00:00:00,,
B40D0363,001,1984/04/12 00:00:00,,
B40D0363,001,1984/04/27 00:00:00,,
B40D0363,001,1984/05/17 00:00:00,,
B40D0363,001,1984/06/02 00:00:00,,
B40D0363,001,1984/07/02 00:00:00,,
B40D0363,001,1984/07/16 00:00:00,,
B40D0363,001,1984/07/30 00:00:00,,
B40D0363,001,1984/08/13 00:00:00,,
B40D0363,001,1984/08/27 00:00:00,,
B40D0363,001,1984/09/17 00:00:00,,
B40D0363,001,1984/10/15 00:00:00,,
B40D0363,001,1984/10/30 00:00:00,,
B40D0363,001,1984/11/13 00:00:00,,
B40D0363,001,1984/11/26 00:00:00,,
B40D0363,001,1984/12/17 00:00:00,,
B40D0363,001,1985/01/02 00:00:00,,
B40D0363,001,1985/01/07 00:00:00,,
B40D0363,001,1985/01/28 00:00:00,,
B40D0363,001,1985/02/12 00:00:00,,Y
B40D0363,001,1985/03/12 00:00:00,,
B40D0363,001,1985/03/26 00:00:00,,
B40D0363,001,1985/04/16 00:00:00,,
B40D0363,001,1985/05/01 00:00:00,,
B40D0363,001,1985/05/15 00:00:00,,
B40D0363,001,1985/06/04 00:00:00,,
B40D0363,001,1985/06/19 00:00:00,,
B40D0363,001,1985/06/26 00:00:00,,
B40D0363,001,1985/07/17 00:00:00,,
B40D0363,001,1985/07/31 00:00:00,,
B40D0363,001,1985/08/20 00:00:00,,
B40D0363,001,1985/09/03 00:00:00,,
B40D0363,001,1985/09/18 00:00:00,,
B40D0363,001,1985/10/01 00:00:00,,
B40D0363,001,1985/10/16 00:00:00,,
B40D0363,001,1985/11/06 00:00:00,,
B40D0363,001,1985/11/20 00:00:00,,
B40D0363,001,1985/12/04 00:00:00,,
B40D0363,001,1985/12/19 00:00:00,,
B40D0363,001,1986/01/02 00:00:00,,
B40D0363,001,1986/01/08 00:00:00,,
B40D0363,001,1986/01/29 00:00:00,,
B40D0363,001,1986/02/20 00:00:00,,
B40D0363,001,1986/03/05 00:00:00,,
B40D0363,001,1986/03/19 00:00:00,,
B40D0363,001,1986/04/03 00:00:00,,
B40D0363,001,1986/04/16 00:00:00,,
B40D0363,001,1986/05/01 00:00:00,,
B40D0363,001,1986/05/07 00:00:00,,
B40D0363,001,1986/06/04 00:00:00,,
B40D0363,001,1986/06/19 00:00:00,,
B40D0363,001,1986/06/25 00:00:00,,
B40D0363,001,1986/07/17 00:00:00,,
B40D0363,001,1986/08/03 00:00:00,,
B40D0363,001,1986/09/17 00:00:00,,
B40D0363,001,1986/09/28 00:00:00,,
B40D0363,001,1986/10/15 00:00:00,,
B40D0363,001,1986/10/28 00:00:00,,
B40D0363,001,1986/11/14 00:00:00,,
B40D0363,001,1986/11/28 00:00:00,,
B40D0363,001,1986/12/14 00:00:00,,
B40D0363,001,1986/12/31 00:00:00,,
