Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2082,001,,199543,433425,,,1165,640,540,1993/07/13,2008/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D2082,001,1993/07/14 00:00:00,,
B40D2082,001,1993/07/29 00:00:00,,
B40D2082,001,1993/08/16 00:00:00,,
B40D2082,001,1993/08/30 00:00:00,,
B40D2082,001,1993/09/14 00:00:00,,
B40D2082,001,1993/09/29 00:00:00,,
B40D2082,001,1993/10/14 00:00:00,,
B40D2082,001,1993/10/28 00:00:00,,
B40D2082,001,1993/11/15 00:00:00,,
B40D2082,001,1993/11/29 00:00:00,,
B40D2082,001,1993/12/14 00:00:00,,
B40D2082,001,1994/02/15 00:00:00,,
B40D2082,001,1994/02/28 00:00:00,,
B40D2082,001,1994/03/14 00:00:00,,
B40D2082,001,1994/03/30 00:00:00,,
B40D2082,001,1994/04/15 00:00:00,,
B40D2082,001,1994/04/28 00:00:00,,
B40D2082,001,1994/05/16 00:00:00,,
B40D2082,001,1994/05/27 00:00:00,,
B40D2082,001,1994/06/14 00:00:00,,
B40D2082,001,1994/06/30 00:00:00,,
B40D2082,001,1994/08/01 00:00:00,,
B40D2082,001,1994/08/15 00:00:00,,
B40D2082,001,1994/08/29 00:00:00,,
B40D2082,001,1994/09/14 00:00:00,,
B40D2082,001,1994/09/28 00:00:00,,
B40D2082,001,1994/10/14 00:00:00,,
B40D2082,001,1994/10/28 00:00:00,,
B40D2082,001,1994/11/17 00:00:00,,
B40D2082,001,1994/11/30 00:00:00,,
B40D2082,001,1994/12/16 00:00:00,,
B40D2082,001,1994/12/30 00:00:00,,
B40D2082,001,1995/01/16 00:00:00,,
B40D2082,001,1995/03/14 00:00:00,,
B40D2082,001,1995/03/28 00:00:00,,
B40D2082,001,1995/04/18 00:00:00,,
B40D2082,001,1995/04/28 00:00:00,,
B40D2082,001,1995/05/19 00:00:00,,
B40D2082,001,1995/05/30 00:00:00,,
B40D2082,001,1995/06/14 00:00:00,,
B40D2082,001,1995/07/18 00:00:00,,
B40D2082,001,1995/07/28 00:00:00,,
B40D2082,001,1995/08/11 00:00:00,,
B40D2082,001,1995/08/31 00:00:00,,
B40D2082,001,1995/09/14 00:00:00,,
B40D2082,001,1995/09/28 00:00:00,,
B40D2082,001,1995/10/16 00:00:00,,
B40D2082,001,1995/10/31 00:00:00,,
B40D2082,001,1995/11/14 00:00:00,,
B40D2082,001,1995/11/28 00:00:00,,
B40D2082,001,1995/12/14 00:00:00,,
B40D2082,001,1995/12/28 00:00:00,,
B40D2082,001,1996/01/15 00:00:00,,
B40D2082,001,1996/03/01 00:00:00,,
B40D2082,001,1996/03/14 00:00:00,,
B40D2082,001,1996/03/28 00:00:00,,
B40D2082,001,1996/04/15 00:00:00,,
B40D2082,001,1996/05/01 00:00:00,,
B40D2082,001,1996/05/14 00:00:00,,
B40D2082,001,1996/05/28 00:00:00,,
B40D2082,001,1996/06/14 00:00:00,,
B40D2082,001,1996/06/28 00:00:00,,
B40D2082,001,1996/07/15 00:00:00,,
B40D2082,001,1996/07/29 00:00:00,,
B40D2082,001,1996/09/14 00:00:00,,
B40D2082,001,1996/09/27 00:00:00,,
B40D2082,001,1996/10/14 00:00:00,,
B40D2082,001,1996/10/28 00:00:00,,
B40D2082,001,1996/11/14 00:00:00,,
B40D2082,001,1996/11/28 00:00:00,,
B40D2082,001,1996/12/16 00:00:00,,
B40D2082,001,1996/12/24 00:00:00,,
B40D2082,001,1997/01/14 00:00:00,,
B40D2082,001,1997/01/30 00:00:00,,
B40D2082,001,1997/02/14 00:00:00,,
B40D2082,001,1997/02/28 00:00:00,,
B40D2082,001,1997/03/14 00:00:00,,
B40D2082,001,1997/04/14 00:00:00,,
B40D2082,001,1997/04/28 00:00:00,,
B40D2082,001,1997/05/23 00:00:00,,
B40D2082,001,1997/06/26 00:00:00,,
B40D2082,001,1997/07/15 00:00:00,,
B40D2082,001,1997/07/29 00:00:00,,
B40D2082,001,1997/08/28 00:00:00,,
B40D2082,001,1997/09/15 00:00:00,,
B40D2082,001,1997/09/29 00:00:00,,
B40D2082,001,1997/10/16 00:00:00,,
B40D2082,001,1997/10/29 00:00:00,,
B40D2082,001,1997/11/15 00:00:00,,
B40D2082,001,1997/12/02 00:00:00,,
B40D2082,001,1997/12/16 00:00:00,,
B40D2082,001,1998/01/14 00:00:00,,
B40D2082,001,1998/01/28 00:00:00,,
B40D2082,001,1998/02/13 00:00:00,,
B40D2082,001,1998/03/02 00:00:00,,
B40D2082,001,1998/03/13 00:00:00,,
B40D2082,001,1998/03/31 00:00:00,,
B40D2082,001,1998/04/14 00:00:00,,
B40D2082,001,1998/04/24 00:00:00,,
B40D2082,001,1998/05/14 00:00:00,,
B40D2082,001,1998/06/03 00:00:00,,
B40D2082,001,1998/06/17 00:00:00,,
B40D2082,001,1998/07/01 00:00:00,,
B40D2082,001,1998/07/15 00:00:00,,
B40D2082,001,1998/08/17 00:00:00,,
B40D2082,001,1998/08/31 00:00:00,,
B40D2082,001,1998/09/16 00:00:00,,
B40D2082,001,1998/10/05 00:00:00,,
B40D2082,001,1998/10/16 00:00:00,,
B40D2082,001,1998/12/03 00:00:00,,
B40D2082,001,1998/12/22 00:00:00,,
B40D2082,001,1999/01/04 00:00:00,,
B40D2082,001,1999/01/20 00:00:00,,
B40D2082,001,1999/02/01 00:00:00,,
B40D2082,001,1999/02/15 00:00:00,,
B40D2082,001,1999/03/04 00:00:00,,
B40D2082,001,1999/05/20 00:00:00,,
B40D2082,001,1999/06/01 00:00:00,,
B40D2082,001,1999/06/28 00:00:00,,
B40D2082,001,1999/07/15 00:00:00,,
B40D2082,001,1999/08/16 00:00:00,,
B40D2082,001,1999/08/30 00:00:00,,
B40D2082,001,1999/09/16 00:00:00,,
B40D2082,001,1999/09/29 00:00:00,,
B40D2082,001,1999/10/19 00:00:00,,
B40D2082,001,1999/10/27 00:00:00,,
B40D2082,001,1999/11/18 00:00:00,,
B40D2082,001,1999/12/06 00:00:00,,
B40D2082,001,1999/12/15 00:00:00,,
B40D2082,001,1999/12/29 00:00:00,,
B40D2082,001,2000/01/20 00:00:00,,
B40D2082,001,2000/02/01 00:00:00,,
B40D2082,001,2000/02/14 00:00:00,,
B40D2082,001,2000/02/28 00:00:00,,
B40D2082,001,2000/03/18 00:00:00,,
B40D2082,001,2000/03/30 00:00:00,,
