Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2086,002,,196507,437349,1249,,,,,1993/07/13,2008/08/28

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D2086,002,1993/10/14 00:00:00,,
B40D2086,002,1993/10/28 00:00:00,,
B40D2086,002,1993/11/15 00:00:00,,
B40D2086,002,2000/01/20 00:00:00,,
B40D2086,002,2000/02/01 00:00:00,,
B40D2086,002,2000/02/14 00:00:00,,
B40D2086,002,2000/02/28 00:00:00,,
B40D2086,002,2000/03/18 00:00:00,,
B40D2086,002,2000/03/30 00:00:00,,
B40D2086,002,2000/04/17 00:00:00,,
B40D2086,002,2000/05/01 00:00:00,,
B40D2086,002,2000/05/12 00:00:00,,
B40D2086,002,2000/05/30 00:00:00,,
B40D2086,002,2000/06/14 00:00:00,,
B40D2086,002,2000/06/28 00:00:00,,
B40D2086,002,2000/08/16 00:00:00,,
B40D2086,002,2000/09/15 00:00:00,,
B40D2086,002,2000/11/15 00:00:00,,
B40D2086,002,2000/12/01 00:00:00,,
B40D2086,002,2000/12/18 00:00:00,,
B40D2086,002,2001/01/02 00:00:00,,
B40D2086,002,2001/01/16 00:00:00,,
B40D2086,002,2001/01/29 00:00:00,,
B40D2086,002,2001/02/16 00:00:00,,
B40D2086,002,2001/03/02 00:00:00,,
B40D2086,002,2001/03/14 00:00:00,,
B40D2086,002,2001/05/30 00:00:00,,
B40D2086,002,2001/06/14 00:00:00,,
B40D2086,002,2001/06/29 00:00:00,,
B40D2086,002,2001/07/16 00:00:00,,
B40D2086,002,2001/10/02 00:00:00,,
B40D2086,002,2001/10/16 00:00:00,,
B40D2086,002,2001/11/14 00:00:00,,
B40D2086,002,2001/12/17 00:00:00,,
B40D2086,002,2002/01/02 00:00:00,,
B40D2086,002,2002/01/14 00:00:00,,
B40D2086,002,2002/01/29 00:00:00,,
B40D2086,002,2002/02/04 00:00:00,,
B40D2086,002,2002/02/08 00:00:00,,
B40D2086,002,2002/02/12 00:00:00,,
B40D2086,002,2002/02/15 00:00:00,,
B40D2086,002,2002/02/19 00:00:00,,
B40D2086,002,2002/02/22 00:00:00,,
B40D2086,002,2002/03/04 00:00:00,,
B40D2086,002,2002/03/08 00:00:00,,
B40D2086,002,2002/03/12 00:00:00,,
B40D2086,002,2002/03/15 00:00:00,,
B40D2086,002,2002/03/21 00:00:00,,
B40D2086,002,2002/03/25 00:00:00,,
B40D2086,002,2002/03/28 00:00:00,,
B40D2086,002,2002/04/02 00:00:00,,
B40D2086,002,2002/04/05 00:00:00,,
B40D2086,002,2002/04/08 00:00:00,,
B40D2086,002,2002/04/11 00:00:00,,
B40D2086,002,2002/04/15 00:00:00,,
B40D2086,002,2002/05/01 00:00:00,,
B40D2086,002,2002/05/08 00:00:00,,
B40D2086,002,2002/05/22 00:00:00,,
B40D2086,002,2002/05/30 00:00:00,,
B40D2086,002,2002/06/17 00:00:00,,
B40D2086,002,2002/07/16 00:00:00,,
B40D2086,002,2002/07/31 00:00:00,,
B40D2086,002,2002/08/19 00:00:00,,
B40D2086,002,2002/09/03 00:00:00,,
B40D2086,002,2002/10/29 00:00:00,,
B40D2086,002,2002/11/12 00:00:00,,
B40D2086,002,2002/11/15 00:00:00,,
B40D2086,002,2002/11/18 00:00:00,,
B40D2086,002,2002/11/22 00:00:00,,
B40D2086,002,2002/11/25 00:00:00,,
B40D2086,002,2002/11/29 00:00:00,,
B40D2086,002,2002/12/02 00:00:00,,
B40D2086,002,2002/12/06 00:00:00,,
B40D2086,002,2002/12/11 00:00:00,,
B40D2086,002,2002/12/13 00:00:00,,
B40D2086,002,2002/12/16 00:00:00,,
B40D2086,002,2002/12/20 00:00:00,,
B40D2086,002,2003/01/03 00:00:00,,
B40D2086,002,2003/01/10 00:00:00,,
B40D2086,002,2003/01/14 00:00:00,,
B40D2086,002,2003/01/17 00:00:00,,
B40D2086,002,2003/01/21 00:00:00,,
B40D2086,002,2003/01/24 00:00:00,,
B40D2086,002,2003/01/28 00:00:00,,
B40D2086,002,2003/01/31 00:00:00,,
B40D2086,002,2003/02/06 00:00:00,,
B40D2086,002,2003/02/10 00:00:00,,
B40D2086,002,2003/02/13 00:00:00,,
B40D2086,002,2003/02/25 00:00:00,,
B40D2086,002,2003/03/14 00:00:00,,
B40D2086,002,2003/04/01 00:00:00,,
B40D2086,002,2003/04/14 00:00:00,,
B40D2086,002,2003/04/28 00:00:00,,
B40D2086,002,2003/05/20 00:00:00,,
B40D2086,002,2003/06/02 00:00:00,,
B40D2086,002,2003/06/17 00:00:00,,
B40D2086,002,2003/08/18 00:00:00,,
B40D2086,002,2004/01/27 00:00:00,,
B40D2086,002,2004/02/12 00:00:00,,
B40D2086,002,2004/04/13 00:00:00,,
B40D2086,002,2005/01/18 00:00:00,,
B40D2086,002,2005/02/01 00:00:00,,
B40D2086,002,2005/02/15 00:00:00,,
B40D2086,002,2005/03/01 00:00:00,,
B40D2086,002,2005/03/15 00:00:00,,
B40D2086,002,2005/03/29 00:00:00,,
B40D2086,002,2005/04/14 00:00:00,,
B40D2086,002,2005/04/28 00:00:00,,
B40D2086,002,2005/05/18 00:00:00,,
B40D2086,002,2005/06/01 00:00:00,,
B40D2086,002,2005/06/14 00:00:00,,
B40D2086,002,2005/07/28 00:00:00,,
