Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-02/11/2021
Datum: 02/11/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40D2278,001,,199379,431298,1211,,1286,1146,1046,2012/02/29,2017/06/22

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B40D2278,001,2012/03/13 12:00:00,,D
B40D2278,001,2012/03/14 12:00:00,,D
B40D2278,001,2012/03/15 12:00:00,,D
B40D2278,001,2012/03/16 12:00:00,,D
B40D2278,001,2012/03/17 12:00:00,,D
B40D2278,001,2012/03/18 12:00:00,,D
B40D2278,001,2012/03/19 12:00:00,,D
B40D2278,001,2012/03/20 12:00:00,,D
B40D2278,001,2012/03/21 12:00:00,,D
B40D2278,001,2012/03/22 12:00:00,,D
B40D2278,001,2012/03/23 12:00:00,,D
B40D2278,001,2012/03/24 12:00:00,,D
B40D2278,001,2012/03/25 12:00:00,,D
B40D2278,001,2012/03/26 12:00:00,,D
B40D2278,001,2012/03/27 12:00:00,,D
B40D2278,001,2012/03/28 12:00:00,,D
B40D2278,001,2012/03/29 12:00:00,,D
B40D2278,001,2012/03/30 12:00:00,,D
B40D2278,001,2012/03/31 12:00:00,,D
B40D2278,001,2012/04/01 12:00:00,,D
B40D2278,001,2012/04/02 12:00:00,,D
B40D2278,001,2012/04/03 12:00:00,,D
B40D2278,001,2012/04/04 12:00:00,,D
B40D2278,001,2012/04/05 12:00:00,,D
B40D2278,001,2012/04/06 12:00:00,,D
B40D2278,001,2012/04/07 12:00:00,,D
B40D2278,001,2012/04/08 12:00:00,,D
B40D2278,001,2012/04/09 12:00:00,,D
B40D2278,001,2012/04/10 12:00:00,,D
B40D2278,001,2012/04/11 12:00:00,,D
B40D2278,001,2012/04/12 12:00:00,,D
B40D2278,001,2012/04/13 12:00:00,,D
B40D2278,001,2012/04/14 12:00:00,,D
B40D2278,001,2012/04/15 12:00:00,,D
B40D2278,001,2012/04/16 12:00:00,,D
B40D2278,001,2012/04/17 12:00:00,,D
B40D2278,001,2012/04/18 12:00:00,,D
B40D2278,001,2012/04/19 12:00:00,,D
B40D2278,001,2012/04/20 12:00:00,,D
B40D2278,001,2012/04/21 12:00:00,,D
B40D2278,001,2012/04/22 12:00:00,,D
B40D2278,001,2012/04/23 12:00:00,,D
B40D2278,001,2012/04/24 12:00:00,,D
B40D2278,001,2012/04/25 12:00:00,,D
B40D2278,001,2012/04/26 12:00:00,,D
B40D2278,001,2012/04/27 12:00:00,,D
B40D2278,001,2012/04/28 12:00:00,,D
B40D2278,001,2012/04/29 12:00:00,,D
B40D2278,001,2012/04/30 12:00:00,,D
B40D2278,001,2012/05/01 12:00:00,,D
B40D2278,001,2012/05/02 12:00:00,,D
B40D2278,001,2012/05/03 12:00:00,,D
B40D2278,001,2012/05/04 12:00:00,,D
B40D2278,001,2012/05/05 12:00:00,,D
B40D2278,001,2012/05/06 12:00:00,,D
B40D2278,001,2012/05/07 12:00:00,,D
B40D2278,001,2012/05/08 12:00:00,,D
B40D2278,001,2012/05/09 12:00:00,,D
B40D2278,001,2012/05/10 12:00:00,,D
B40D2278,001,2012/05/11 12:00:00,,D
B40D2278,001,2012/05/12 12:00:00,,D
B40D2278,001,2012/05/13 12:00:00,,D
B40D2278,001,2012/05/14 12:00:00,,D
B40D2278,001,2012/05/15 12:00:00,,D
B40D2278,001,2012/05/16 12:00:00,,D
B40D2278,001,2012/05/17 12:00:00,,D
B40D2278,001,2012/05/18 12:00:00,,D
B40D2278,001,2012/05/19 12:00:00,,D
B40D2278,001,2012/05/20 12:00:00,,D
B40D2278,001,2012/05/21 12:00:00,,D
B40D2278,001,2012/05/22 12:00:00,,D
B40D2278,001,2012/05/23 12:00:00,,D
B40D2278,001,2012/05/24 12:00:00,,D
B40D2278,001,2012/05/25 12:00:00,,D
B40D2278,001,2012/05/26 12:00:00,,D
B40D2278,001,2012/05/27 12:00:00,,D
B40D2278,001,2012/05/28 12:00:00,,D
B40D2278,001,2012/05/29 12:00:00,,D
B40D2278,001,2012/05/30 12:00:00,,D
B40D2278,001,2012/05/31 12:00:00,,D
B40D2278,001,2012/06/01 12:00:00,,D
B40D2278,001,2012/06/02 12:00:00,,D
B40D2278,001,2012/06/03 12:00:00,,D
B40D2278,001,2012/06/04 12:00:00,,D
B40D2278,001,2012/06/05 12:00:00,,D
B40D2278,001,2012/06/06 12:00:00,,D
B40D2278,001,2012/06/07 12:00:00,,D
B40D2278,001,2012/06/08 12:00:00,,D
B40D2278,001,2012/06/09 12:00:00,,D
B40D2278,001,2012/06/10 12:00:00,,D
B40D2278,001,2012/06/11 12:00:00,,D
B40D2278,001,2012/06/12 12:00:00,,D
B40D2278,001,2012/06/13 12:00:00,,D
B40D2278,001,2012/06/14 12:00:00,,D
B40D2278,001,2012/06/15 12:00:00,,D
B40D2278,001,2012/06/16 12:00:00,,D
B40D2278,001,2012/06/17 12:00:00,,D
B40D2278,001,2012/06/18 12:00:00,,D
B40D2278,001,2012/06/19 12:00:00,,D
B40D2278,001,2012/06/20 12:00:00,,D
B40D2278,001,2012/06/21 12:00:00,,D
B40D2278,001,2012/06/22 12:00:00,,D
B40D2278,001,2012/06/23 12:00:00,,D
B40D2278,001,2012/06/24 12:00:00,,D
B40D2278,001,2012/06/25 12:00:00,,D
B40D2278,001,2012/06/26 12:00:00,,D
B40D2278,001,2012/06/27 12:00:00,,D
B40D2278,001,2012/06/28 12:00:00,,D
B40D2278,001,2012/06/29 12:00:00,,D
B40D2278,001,2012/06/30 12:00:00,,D
B40D2278,001,2012/07/01 12:00:00,,D
B40D2278,001,2012/07/02 12:00:00,,D
B40D2278,001,2012/07/03 12:00:00,,D
B40D2278,001,2012/07/04 12:00:00,,D
B40D2278,001,2012/07/05 12:00:00,,D
B40D2278,001,2012/07/06 12:00:00,,D
B40D2278,001,2012/07/07 12:00:00,,D
B40D2278,001,2012/07/08 12:00:00,,D
B40D2278,001,2012/07/09 12:00:00,,D
B40D2278,001,2012/07/10 12:00:00,,D
B40D2278,001,2012/07/11 12:00:00,,D
B40D2278,001,2012/07/12 12:00:00,,D
B40D2278,001,2012/07/13 12:00:00,,D
B40D2278,001,2012/07/14 12:00:00,,D
B40D2278,001,2012/07/15 12:00:00,,D
B40D2278,001,2012/07/16 12:00:00,,D
B40D2278,001,2012/07/17 12:00:00,,D
B40D2278,001,2012/07/18 12:00:00,,D
B40D2278,001,2012/07/19 12:00:00,,D
B40D2278,001,2012/07/20 12:00:00,,D
B40D2278,001,2012/07/21 12:00:00,,D
B40D2278,001,2012/07/22 12:00:00,,D
B40D2278,001,2012/07/23 12:00:00,,D
