Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:25:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0579,002,39FP0579002,176116.4,438721,800,,829,,-3000,-5000,1996/12/03,1999/04/01
B39F0579,002,39FP0579002,176116.4,438721,800,,820,,-3000,-5000,1999/04/01,2007/02/09
B39F0579,002,39FP0579002,176116.4,438721,800,,820,515,-3000,-5000,2007/02/09,2019/11/25
B39F0579,002,39FP0579002,176116.4,438721,800,,820,400,-3000,-5000,2019/11/25,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39F0579,002,2007/02/08 10:50:00,  563,reliable   
B39F0579,002,2007/02/09 12:00:00,589.1,reliable   
B39F0579,002,2007/02/09 12:15:00,586.1,reliable   
B39F0579,002,2007/02/09 12:30:00,582.8,reliable   
B39F0579,002,2007/02/09 12:45:00,579.3,reliable   
B39F0579,002,2007/02/09 13:00:00,576.4,reliable   
B39F0579,002,2007/02/09 13:15:00,  574,reliable   
B39F0579,002,2007/02/09 13:30:00,575.8,reliable   
B39F0579,002,2007/02/09 13:45:00,579.5,reliable   
B39F0579,002,2007/02/09 14:00:00,583.4,reliable   
B39F0579,002,2007/02/09 14:15:00,586.3,reliable   
B39F0579,002,2007/02/09 14:30:00,586.8,reliable   
B39F0579,002,2007/02/09 14:45:00,589.3,reliable   
B39F0579,002,2007/02/09 15:00:00,589.2,reliable   
B39F0579,002,2007/02/09 15:15:00,587.6,reliable   
B39F0579,002,2007/02/09 15:30:00,589.2,reliable   
B39F0579,002,2007/02/09 15:45:00,589.6,reliable   
B39F0579,002,2007/02/09 16:00:00,591.5,reliable   
B39F0579,002,2007/02/09 16:15:00,593.8,reliable   
B39F0579,002,2007/02/09 16:30:00,595.9,reliable   
B39F0579,002,2007/02/09 16:45:00,598.4,reliable   
B39F0579,002,2007/02/09 17:00:00,  600,reliable   
B39F0579,002,2007/02/09 17:15:00,601.6,reliable   
B39F0579,002,2007/02/09 17:30:00,603.2,reliable   
B39F0579,002,2007/02/09 17:45:00,604.2,reliable   
B39F0579,002,2007/02/09 18:00:00,605.6,reliable   
B39F0579,002,2007/02/09 18:15:00,604.8,reliable   
B39F0579,002,2007/02/09 18:30:00,601.7,reliable   
B39F0579,002,2007/02/09 18:45:00,597.4,reliable   
B39F0579,002,2007/02/09 19:00:00,592.2,reliable   
B39F0579,002,2007/02/09 19:15:00,588.4,reliable   
B39F0579,002,2007/02/09 19:30:00,585.3,reliable   
B39F0579,002,2007/02/09 19:45:00,582.8,reliable   
B39F0579,002,2007/02/09 20:00:00,  582,reliable   
B39F0579,002,2007/02/09 20:15:00,584.5,reliable   
B39F0579,002,2007/02/09 20:30:00,588.4,reliable   
B39F0579,002,2007/02/09 20:45:00,590.1,reliable   
B39F0579,002,2007/02/09 21:00:00,  590,reliable   
B39F0579,002,2007/02/09 21:15:00,587.7,reliable   
B39F0579,002,2007/02/09 21:30:00,584.5,reliable   
B39F0579,002,2007/02/09 21:45:00,580.9,reliable   
B39F0579,002,2007/02/09 22:00:00,578.3,reliable   
B39F0579,002,2007/02/09 22:15:00,576.6,reliable   
B39F0579,002,2007/02/09 22:30:00,  574,reliable   
B39F0579,002,2007/02/09 22:45:00,573.4,reliable   
B39F0579,002,2007/02/09 23:00:00,  577,reliable   
B39F0579,002,2007/02/09 23:15:00,581.9,reliable   
B39F0579,002,2007/02/09 23:30:00,585.7,reliable   
B39F0579,002,2007/02/09 23:45:00,587.7,reliable   
B39F0579,002,2007/02/10 00:00:00,588.5,reliable   
B39F0579,002,2007/02/10 00:15:00,587.8,reliable   
B39F0579,002,2007/02/10 00:30:00,584.5,reliable   
B39F0579,002,2007/02/10 00:45:00,581.7,reliable   
B39F0579,002,2007/02/10 01:00:00,578.6,reliable   
B39F0579,002,2007/02/10 01:15:00,576.4,reliable   
B39F0579,002,2007/02/10 01:30:00,  574,reliable   
B39F0579,002,2007/02/10 01:45:00,572.1,reliable   
B39F0579,002,2007/02/10 02:00:00,571.1,reliable   
B39F0579,002,2007/02/10 02:15:00,569.5,reliable   
B39F0579,002,2007/02/10 02:30:00,568.2,reliable   
B39F0579,002,2007/02/10 02:45:00,566.4,reliable   
B39F0579,002,2007/02/10 03:00:00,565.6,reliable   
B39F0579,002,2007/02/10 03:15:00,564.9,reliable   
B39F0579,002,2007/02/10 03:30:00,569.1,reliable   
B39F0579,002,2007/02/10 03:45:00,573.5,reliable   
B39F0579,002,2007/02/10 04:00:00,578.5,reliable   
B39F0579,002,2007/02/10 04:15:00,582.2,reliable   
B39F0579,002,2007/02/10 04:30:00,585.7,reliable   
B39F0579,002,2007/02/10 04:45:00,588.8,reliable   
B39F0579,002,2007/02/10 05:00:00,591.6,reliable   
B39F0579,002,2007/02/10 05:15:00,594.7,reliable   
B39F0579,002,2007/02/10 05:30:00,596.3,reliable   
B39F0579,002,2007/02/10 05:45:00,598.5,reliable   
B39F0579,002,2007/02/10 06:00:00,600.5,reliable   
B39F0579,002,2007/02/10 06:15:00,601.5,reliable   
B39F0579,002,2007/02/10 06:30:00,602.3,reliable   
B39F0579,002,2007/02/10 06:45:00,601.4,reliable   
B39F0579,002,2007/02/10 07:00:00,600.1,reliable   
B39F0579,002,2007/02/10 07:15:00,  599,reliable   
B39F0579,002,2007/02/10 07:30:00,597.6,reliable   
B39F0579,002,2007/02/10 07:45:00,596.5,reliable   
B39F0579,002,2007/02/10 08:00:00,595.8,reliable   
B39F0579,002,2007/02/10 08:15:00,592.8,reliable   
B39F0579,002,2007/02/10 08:30:00,589.4,reliable   
B39F0579,002,2007/02/10 08:45:00,  586,reliable   
B39F0579,002,2007/02/10 09:00:00,583.2,reliable   
B39F0579,002,2007/02/10 09:15:00,580.3,reliable   
B39F0579,002,2007/02/10 09:30:00,578.1,reliable   
B39F0579,002,2007/02/10 09:45:00,576.2,reliable   
B39F0579,002,2007/02/10 10:00:00,574.6,reliable   
B39F0579,002,2007/02/10 10:15:00,572.4,reliable   
B39F0579,002,2007/02/10 10:30:00,570.9,reliable   
B39F0579,002,2007/02/10 10:45:00,569.7,reliable   
B39F0579,002,2007/02/10 11:00:00,568.1,reliable   
B39F0579,002,2007/02/10 11:15:00,567.1,reliable   
B39F0579,002,2007/02/10 11:30:00,565.5,reliable   
B39F0579,002,2007/02/10 11:45:00,  565,reliable   
B39F0579,002,2007/02/10 12:00:00,564.8,reliable   
B39F0579,002,2007/02/10 12:15:00,567.5,reliable   
B39F0579,002,2007/02/10 12:30:00,572.1,reliable   
B39F0579,002,2007/02/10 12:45:00,574.8,reliable   
B39F0579,002,2007/02/10 13:00:00,574.9,reliable   
B39F0579,002,2007/02/10 13:15:00,572.6,reliable   
B39F0579,002,2007/02/10 13:30:00,570.5,reliable   
B39F0579,002,2007/02/10 13:45:00,568.8,reliable   
B39F0579,002,2007/02/10 14:00:00,567.3,reliable   
B39F0579,002,2007/02/10 14:15:00,566.1,reliable   
B39F0579,002,2007/02/10 14:30:00,564.9,reliable   
B39F0579,002,2007/02/10 14:45:00,563.5,reliable   
B39F0579,002,2007/02/10 15:00:00,566.4,reliable   
B39F0579,002,2007/02/10 15:15:00,571.3,reliable   
B39F0579,002,2007/02/10 15:30:00,575.2,reliable   
B39F0579,002,2007/02/10 15:45:00,576.9,reliable   
B39F0579,002,2007/02/10 16:00:00,576.2,reliable   
B39F0579,002,2007/02/10 16:15:00,574.2,reliable   
B39F0579,002,2007/02/10 16:30:00,571.6,reliable   
B39F0579,002,2007/02/10 16:45:00,569.5,reliable   
B39F0579,002,2007/02/10 17:00:00,567.6,reliable   
B39F0579,002,2007/02/10 17:15:00,565.7,reliable   
B39F0579,002,2007/02/10 17:30:00,564.6,reliable   
B39F0579,002,2007/02/10 17:45:00,566.4,reliable   
B39F0579,002,2007/02/10 18:00:00,  571,reliable   
B39F0579,002,2007/02/10 18:15:00,575.4,reliable   
