Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:22:30
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0742,002,39F-0742002,178041.4,438183.6,812,,863,,-3543,-3743,2002/01/01,2003/03/03
B39F0742,002,39F-0742002,178041.4,438183.6,812,,863,500,-3543,-3743,2003/03/03,2003/11/25
B39F0742,002,39F-0742002,178041.4,438183.6,812,,807,500,-3543,-3743,2003/11/25,2007/03/21
B39F0742,002,39F-0742002,178041.4,438183.6,812,,807,472,-3543,-3743,2007/03/21,2007/07/03
B39F0742,002,39F-0742002,178041.4,438183.6,812,,807,500,-3543,-3743,2007/07/03,2009/01/01
B39F0742,002,39F-0742002,178041.4,438183.6,812,,807,700,-3543,-3743,2009/01/01,2010/05/10
B39F0742,002,39F-0742002,178041.4,438183.6,812,,807,600,-3543,-3743,2010/05/10,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39F0742,002,2003/05/08 15:00:00,668.1,unreliable 
B39F0742,002,2003/05/08 18:00:00,667.5,unreliable 
B39F0742,002,2003/05/08 21:00:00,667.5,unreliable 
B39F0742,002,2003/05/09 00:00:00,666.6,unreliable 
B39F0742,002,2003/05/09 03:00:00,666.4,unreliable 
B39F0742,002,2003/05/09 06:00:00,666.4,unreliable 
B39F0742,002,2003/05/09 09:00:00,666.1,unreliable 
B39F0742,002,2003/05/09 12:00:00,665.8,unreliable 
B39F0742,002,2003/05/09 15:00:00,665.1,unreliable 
B39F0742,002,2003/05/09 18:00:00,665.2,unreliable 
B39F0742,002,2003/05/09 21:00:00,664.5,unreliable 
B39F0742,002,2003/05/10 00:00:00,664.6,unreliable 
B39F0742,002,2003/05/10 03:00:00,664.2,unreliable 
B39F0742,002,2003/05/10 06:00:00,664.2,unreliable 
B39F0742,002,2003/05/10 09:00:00,663.9,unreliable 
B39F0742,002,2003/05/10 12:00:00,663.6,unreliable 
B39F0742,002,2003/05/10 15:00:00,662.9,unreliable 
B39F0742,002,2003/05/10 18:00:00,662.6,unreliable 
B39F0742,002,2003/05/10 21:00:00,661.2,unreliable 
B39F0742,002,2003/05/11 00:00:00,662.4,unreliable 
