Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:23:07
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F0745,004,39F-0745-4,179250,438060,765.8,,824,,-6927.2,-7227.2,2003/01/01,2007/02/09
B39F0745,004,39F-0745-4,179250,438060,765.8,,824,905,-6927.2,-7227.2,2007/02/09,2007/06/14
B39F0745,004,39F-0745-4,179250,438060,765.8,,824,1000,-6927.2,-7227.2,2007/06/14,2015/10/02
B39F0745,004,39F-0745-4,179250,438060,765.8,,822.8,1000,-6927.2,-7227.2,2015/10/02,2016/10/18
B39F0745,004,39F-0745-4,179250,438060,765.8,,822.8,1000,-6927.2,-7227.2,2016/10/18,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39F0745,004,2004/01/15 12:00:00,  676,reliable   
B39F0745,004,2004/04/20 12:00:00,  669,reliable   
B39F0745,004,2004/07/05 12:00:00,  655,reliable   
B39F0745,004,2004/11/02 13:30:00,  652,reliable   
B39F0745,004,2005/01/27 09:04:00,  679,reliable   
B39F0745,004,2005/04/19 11:58:00,  672,reliable   
B39F0745,004,2005/08/23 13:28:00,  663,reliable   
B39F0745,004,2005/12/07 10:18:00,  659,reliable   
B39F0745,004,2006/04/25 10:03:00,  683,reliable   
B39F0745,004,2006/09/28 07:34:00,  649,reliable   
B39F0745,004,2007/02/08 13:35:00,  521,reliable   
B39F0745,004,2007/03/16 12:00:00,687.7,reliable   
B39F0745,004,2007/03/16 12:01:00,685.5,reliable   
B39F0745,004,2007/03/16 12:02:00,685.3,reliable   
B39F0745,004,2007/03/16 12:03:00,684.9,reliable   
B39F0745,004,2007/03/16 12:04:00,684.7,reliable   
B39F0745,004,2007/03/16 12:05:00,684.5,reliable   
B39F0745,004,2007/03/16 12:06:00,684.5,reliable   
B39F0745,004,2007/03/16 12:07:00,684.2,reliable   
B39F0745,004,2007/03/16 12:08:00,683.8,reliable   
B39F0745,004,2007/03/16 12:09:00,684.1,reliable   
B39F0745,004,2007/03/16 12:10:00,683.8,reliable   
B39F0745,004,2007/03/16 12:11:00,683.8,reliable   
B39F0745,004,2007/03/16 12:12:00,683.8,reliable   
B39F0745,004,2007/03/16 12:13:00,683.3,reliable   
B39F0745,004,2007/03/16 12:14:00,683.7,reliable   
B39F0745,004,2007/03/16 12:15:00,683.4,reliable   
B39F0745,004,2007/03/16 12:16:00,683.3,reliable   
B39F0745,004,2007/03/16 12:17:00,683.4,reliable   
B39F0745,004,2007/03/16 12:18:00,  683,reliable   
