Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:24:08
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F2948,001,39F-2948001,176989,440582,843,,922,,749,649,2012/02/01,2012/07/31
B39F2948,001,39F-2948001,176989,440582,843,,922,250,749,649,2012/07/31,2017/06/15
B39F2948,001,39F-2948001,176989,440582,843,,922,250,749,649,2017/06/15,2018/05/15
B39F2948,001,39F-2948001,176989,440582,843,,922,204,749,649,2018/05/15,2019/02/05
B39F2948,001,39F-2948001,176989,440582,843,,922,274,749,649,2019/02/05,2019/10/29
B39F2948,001,39F-2948001,176989,440582,843,,922,274,749,649,2019/10/29,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39F2948,001,2012/02/28 12:00:00,  657,reliable   
B39F2948,001,2012/05/02 10:48:00,  672,reliable   
B39F2948,001,2012/07/26 06:51:00,  649,reliable   
B39F2948,001,2012/07/31 09:36:00,  649,reliable   
B39F2948,001,2012/12/09 15:00:00,685.2,unreliable 
B39F2948,001,2012/12/09 18:00:00,693.9,unreliable 
B39F2948,001,2012/12/09 21:00:00,698.7,unreliable 
B39F2948,001,2012/12/10 00:00:00,701.2,unreliable 
B39F2948,001,2012/12/10 03:00:00,  703,unreliable 
B39F2948,001,2012/12/10 06:00:00,  704,unreliable 
B39F2948,001,2012/12/10 09:00:00,703.7,unreliable 
B39F2948,001,2012/12/10 12:00:00,703.3,unreliable 
B39F2948,001,2012/12/10 15:00:00,702.7,unreliable 
B39F2948,001,2012/12/10 18:00:00,702.2,unreliable 
B39F2948,001,2012/12/10 21:00:00,701.7,unreliable 
B39F2948,001,2012/12/11 00:00:00,701.3,unreliable 
B39F2948,001,2012/12/11 03:00:00,700.8,unreliable 
B39F2948,001,2012/12/11 06:00:00,700.2,unreliable 
B39F2948,001,2012/12/11 09:00:00,699.3,unreliable 
B39F2948,001,2012/12/11 12:00:00,698.7,unreliable 
B39F2948,001,2012/12/11 15:00:00,698.4,unreliable 
B39F2948,001,2012/12/11 18:00:00,698.1,unreliable 
B39F2948,001,2012/12/11 21:00:00,697.9,unreliable 
B39F2948,001,2012/12/12 00:00:00,697.8,unreliable 
B39F2948,001,2012/12/12 03:00:00,697.8,unreliable 
B39F2948,001,2012/12/12 06:00:00,697.2,unreliable 
B39F2948,001,2012/12/12 09:00:00,696.5,unreliable 
B39F2948,001,2012/12/12 12:00:00,695.9,unreliable 
B39F2948,001,2012/12/12 15:00:00,695.7,unreliable 
B39F2948,001,2012/12/12 18:00:00,695.1,unreliable 
B39F2948,001,2012/12/12 21:00:00,694.9,unreliable 
B39F2948,001,2012/12/13 00:00:00,694.6,unreliable 
B39F2948,001,2012/12/13 03:00:00,694.3,unreliable 
B39F2948,001,2012/12/13 06:00:00,694.2,unreliable 
B39F2948,001,2012/12/13 09:00:00,693.9,unreliable 
B39F2948,001,2012/12/13 12:00:00,693.6,unreliable 
B39F2948,001,2012/12/13 15:00:00,693.3,unreliable 
B39F2948,001,2012/12/13 18:00:00,693.1,unreliable 
B39F2948,001,2012/12/13 21:00:00,692.3,unreliable 
B39F2948,001,2012/12/14 00:00:00,692.2,unreliable 
