Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:24:20
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39F2951,002,39F-2951002,179737,441252,796,,865,,412,312,2012/02/01,2012/03/01
B39F2951,002,39F-2951002,179737,441252,796,,865,400,412,312,2012/03/01,2019/10/29
B39F2951,002,39F-2951002,179737,441252,796,,865,406,412,312,2019/10/29,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39F2951,002,2012/03/01 12:00:00,643.8,reliable   
B39F2951,002,2012/03/01 15:00:00,  644,reliable   
B39F2951,002,2012/03/01 18:00:00,643.9,reliable   
B39F2951,002,2012/03/01 21:00:00,643.7,reliable   
B39F2951,002,2012/03/02 00:00:00,643.8,reliable   
B39F2951,002,2012/03/02 03:00:00,  644,reliable   
B39F2951,002,2012/03/02 06:00:00,643.9,reliable   
B39F2951,002,2012/03/02 09:00:00,643.5,reliable   
B39F2951,002,2012/03/02 12:00:00,643.7,reliable   
B39F2951,002,2012/03/02 15:00:00,643.8,reliable   
B39F2951,002,2012/03/02 18:00:00,643.7,reliable   
B39F2951,002,2012/03/02 21:00:00,643.6,reliable   
B39F2951,002,2012/03/03 00:00:00,643.5,reliable   
B39F2951,002,2012/03/03 03:00:00,643.5,reliable   
B39F2951,002,2012/03/03 06:00:00,643.2,reliable   
B39F2951,002,2012/03/03 09:00:00,  643,reliable   
B39F2951,002,2012/03/03 12:00:00,642.8,reliable   
B39F2951,002,2012/03/03 15:00:00,642.6,reliable   
B39F2951,002,2012/03/03 18:00:00,642.3,reliable   
B39F2951,002,2012/03/03 21:00:00,642.4,reliable   
B39F2951,002,2012/03/04 00:00:00,  642,reliable   
B39F2951,002,2012/03/04 03:00:00,642.2,reliable   
B39F2951,002,2012/03/04 06:00:00,642.3,reliable   
B39F2951,002,2012/03/04 09:00:00,641.7,reliable   
B39F2951,002,2012/03/04 12:00:00,641.6,reliable   
B39F2951,002,2012/03/04 15:00:00,641.6,reliable   
B39F2951,002,2012/03/04 18:00:00,641.3,reliable   
B39F2951,002,2012/03/04 21:00:00,641.4,reliable   
B39F2951,002,2012/03/05 00:00:00,641.3,reliable   
B39F2951,002,2012/03/05 03:00:00,641.5,reliable   
B39F2951,002,2012/03/05 06:00:00,  642,reliable   
B39F2951,002,2012/03/05 09:00:00,641.8,reliable   
B39F2951,002,2012/03/05 12:00:00,641.6,reliable   
B39F2951,002,2012/03/05 15:00:00,641.2,reliable   
B39F2951,002,2012/03/05 18:00:00,641.3,reliable   
B39F2951,002,2012/03/05 21:00:00,640.7,reliable   
B39F2951,002,2012/03/06 00:00:00,640.6,reliable   
B39F2951,002,2012/03/06 03:00:00,640.6,reliable   
B39F2951,002,2012/03/06 06:00:00,640.4,reliable   
B39F2951,002,2012/03/06 09:00:00,640.1,reliable   
B39F2951,002,2012/03/06 12:00:00,640.3,reliable   
B39F2951,002,2012/03/06 15:00:00,640.3,reliable   
B39F2951,002,2012/03/06 18:00:00,640.5,reliable   
B39F2951,002,2012/03/06 21:00:00,640.3,reliable   
B39F2951,002,2012/03/07 00:00:00,640.4,reliable   
B39F2951,002,2012/03/07 03:00:00,640.7,reliable   
B39F2951,002,2012/03/07 06:00:00,641.2,reliable   
B39F2951,002,2012/03/07 09:00:00,641.2,reliable   
B39F2951,002,2012/03/07 12:00:00,  642,reliable   
B39F2951,002,2012/03/07 15:00:00,642.4,reliable   
B39F2951,002,2012/03/07 18:00:00,642.8,reliable   
B39F2951,002,2012/03/07 21:00:00,643.9,reliable   
B39F2951,002,2012/03/08 00:00:00,  644,reliable   
B39F2951,002,2012/03/08 03:00:00,643.9,reliable   
B39F2951,002,2012/03/08 06:00:00,643.7,reliable   
B39F2951,002,2012/03/08 09:00:00,643.7,reliable   
B39F2951,002,2012/03/08 12:00:00,643.4,reliable   
B39F2951,002,2012/03/08 15:00:00,643.8,reliable   
B39F2951,002,2012/03/08 18:00:00,643.6,reliable   
B39F2951,002,2012/03/08 21:00:00,643.9,reliable   
B39F2951,002,2012/03/09 00:00:00,643.8,reliable   
B39F2951,002,2012/03/09 03:00:00,644.3,reliable   
B39F2951,002,2012/03/09 06:00:00,644.5,reliable   
B39F2951,002,2012/03/09 09:00:00,644.5,reliable   
B39F2951,002,2012/03/09 12:00:00,644.7,reliable   
B39F2951,002,2012/03/09 15:00:00,644.8,reliable   
B39F2951,002,2012/03/09 18:00:00,645.3,reliable   
B39F2951,002,2012/03/09 21:00:00,  645,reliable   
B39F2951,002,2012/03/10 00:00:00,645.3,reliable   
B39F2951,002,2012/03/10 03:00:00,645.4,reliable   
B39F2951,002,2012/03/10 06:00:00,645.1,reliable   
B39F2951,002,2012/03/10 09:00:00,644.8,reliable   
B39F2951,002,2012/03/10 12:00:00,644.8,reliable   
B39F2951,002,2012/03/10 15:00:00,  645,reliable   
B39F2951,002,2012/03/10 18:00:00,644.7,reliable   
B39F2951,002,2012/03/10 21:00:00,644.2,reliable   
B39F2951,002,2012/03/11 00:00:00,644.1,reliable   
B39F2951,002,2012/03/11 03:00:00,643.8,reliable   
B39F2951,002,2012/03/11 06:00:00,643.9,reliable   
B39F2951,002,2012/03/11 09:00:00,643.5,reliable   
B39F2951,002,2012/03/11 12:00:00,643.2,reliable   
B39F2951,002,2012/03/11 15:00:00,642.9,reliable   
B39F2951,002,2012/03/11 18:00:00,642.8,reliable   
B39F2951,002,2012/03/11 21:00:00,642.6,reliable   
B39F2951,002,2012/03/12 00:00:00,642.6,reliable   
B39F2951,002,2012/03/12 03:00:00,642.6,reliable   
B39F2951,002,2012/03/12 06:00:00,642.3,reliable   
B39F2951,002,2012/03/12 09:00:00,  642,reliable   
B39F2951,002,2012/03/12 12:00:00,641.6,reliable   
B39F2951,002,2012/03/12 15:00:00,641.3,reliable   
B39F2951,002,2012/03/12 18:00:00,641.2,reliable   
B39F2951,002,2012/03/12 21:00:00,640.9,reliable   
B39F2951,002,2012/03/13 00:00:00,640.5,reliable   
B39F2951,002,2012/03/13 03:00:00,640.5,reliable   
B39F2951,002,2012/03/13 06:00:00,640.5,reliable   
B39F2951,002,2012/03/13 09:00:00,640.2,reliable   
B39F2951,002,2012/03/13 12:00:00,639.7,reliable   
B39F2951,002,2012/03/13 15:00:00,  640,reliable   
B39F2951,002,2012/03/13 18:00:00,639.8,reliable   
B39F2951,002,2012/03/13 21:00:00,639.6,reliable   
B39F2951,002,2012/03/14 00:00:00,639.2,reliable   
B39F2951,002,2012/03/14 03:00:00,639.3,reliable   
B39F2951,002,2012/03/14 06:00:00,639.1,reliable   
B39F2951,002,2012/03/14 09:00:00,638.5,reliable   
B39F2951,002,2012/03/14 12:00:00,638.3,reliable   
B39F2951,002,2012/03/14 15:00:00,638.6,reliable   
B39F2951,002,2012/03/14 18:00:00,638.1,reliable   
B39F2951,002,2012/03/14 21:00:00,637.9,reliable   
B39F2951,002,2012/03/15 00:00:00,  638,reliable   
B39F2951,002,2012/03/15 03:00:00,  638,reliable   
B39F2951,002,2012/03/15 06:00:00,638.2,reliable   
B39F2951,002,2012/03/15 09:00:00,637.7,reliable   
B39F2951,002,2012/03/15 12:00:00,638.2,reliable   
B39F2951,002,2012/03/15 15:00:00,637.9,reliable   
