Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:26:26
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H0382,002,39H-0382002,179430,437080,738.9,,789,,-1052.1,-1252.1,2003/01/22,2003/03/03
B39H0382,002,39H-0382002,179430,437080,738.9,,789,500,-1052.1,-1252.1,2003/03/03,2010/04/19
B39H0382,002,39H-0382002,179430,437080,738.9,,789,510,-1052.1,-1252.1,2010/04/19,2015/10/02
B39H0382,002,39H-0382002,179430,437080,738.9,,789.1,510,-1052.1,-1252.1,2015/10/02,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39H0382,002,2003/03/25 15:00:00,655.7,reliable   
B39H0382,002,2003/03/25 18:00:00,653.8,reliable   
B39H0382,002,2003/03/25 21:00:00,652.4,reliable   
B39H0382,002,2003/03/26 00:00:00,651.8,reliable   
B39H0382,002,2003/03/26 03:00:00,651.1,reliable   
B39H0382,002,2003/03/26 06:00:00,650.5,reliable   
B39H0382,002,2003/03/26 09:00:00,649.7,reliable   
B39H0382,002,2003/03/26 12:00:00,649.2,reliable   
B39H0382,002,2003/03/26 15:00:00,649.1,reliable   
B39H0382,002,2003/03/26 18:00:00,648.1,reliable   
B39H0382,002,2003/03/26 21:00:00,648.1,reliable   
B39H0382,002,2003/03/27 00:00:00,648.1,reliable   
B39H0382,002,2003/03/27 03:00:00,647.7,reliable   
B39H0382,002,2003/03/27 06:00:00,647.2,reliable   
B39H0382,002,2003/03/27 09:00:00,646.3,reliable   
B39H0382,002,2003/03/27 12:00:00,646.5,reliable   
B39H0382,002,2003/03/27 15:00:00,646.7,reliable   
B39H0382,002,2003/03/27 18:00:00,645.3,reliable   
B39H0382,002,2003/03/27 21:00:00,645.5,reliable   
B39H0382,002,2003/03/28 00:00:00,645.2,reliable   
B39H0382,002,2003/03/28 03:00:00,645.4,reliable   
B39H0382,002,2003/03/28 06:00:00,644.8,reliable   
B39H0382,002,2003/03/28 09:00:00,644.7,reliable   
B39H0382,002,2003/03/28 12:00:00,645.3,reliable   
B39H0382,002,2003/03/28 15:00:00,645.7,reliable   
B39H0382,002,2003/03/28 18:00:00,645.4,reliable   
B39H0382,002,2003/03/28 21:00:00,  645,reliable   
B39H0382,002,2003/03/29 00:00:00,644.7,reliable   
B39H0382,002,2003/03/29 03:00:00,645.5,reliable   
B39H0382,002,2003/03/29 06:00:00,645.7,reliable   
B39H0382,002,2003/03/29 09:00:00,645.1,reliable   
B39H0382,002,2003/03/29 12:00:00,645.4,reliable   
B39H0382,002,2003/03/29 15:00:00,645.3,reliable   
B39H0382,002,2003/03/29 18:00:00,645.5,reliable   
B39H0382,002,2003/03/29 21:00:00,  645,reliable   
B39H0382,002,2003/03/30 00:00:00,645.6,reliable   
B39H0382,002,2003/03/30 03:00:00,645.1,reliable   
B39H0382,002,2003/03/30 06:00:00,646.2,reliable   
B39H0382,002,2003/03/30 09:00:00,646.2,reliable   
B39H0382,002,2003/03/30 12:00:00,646.7,reliable   
B39H0382,002,2003/03/30 15:00:00,  647,reliable   
B39H0382,002,2003/03/30 18:00:00,647.6,reliable   
B39H0382,002,2003/03/30 21:00:00,646.9,reliable   
B39H0382,002,2003/03/31 00:00:00,646.7,reliable   
B39H0382,002,2003/03/31 03:00:00,647.4,reliable   
B39H0382,002,2003/03/31 06:00:00,647.5,reliable   
B39H0382,002,2003/03/31 09:00:00,647.3,reliable   
B39H0382,002,2003/03/31 12:00:00,647.3,reliable   
B39H0382,002,2003/03/31 15:00:00,  648,reliable   
B39H0382,002,2003/03/31 18:00:00,648.5,reliable   
B39H0382,002,2003/03/31 21:00:00,648.2,reliable   
B39H0382,002,2003/04/01 00:00:00,648.3,reliable   
B39H0382,002,2003/04/01 03:00:00,649.4,reliable   
B39H0382,002,2003/04/01 06:00:00,650.2,reliable   
B39H0382,002,2003/04/01 09:00:00,650.7,reliable   
B39H0382,002,2003/04/01 12:00:00,650.9,reliable   
B39H0382,002,2003/04/01 15:00:00,652.1,reliable   
B39H0382,002,2003/04/01 18:00:00,650.7,reliable   
B39H0382,002,2003/04/01 21:00:00,652.6,reliable   
B39H0382,002,2003/04/02 00:00:00,653.4,reliable   
B39H0382,002,2003/04/02 03:00:00,652.4,reliable   
B39H0382,002,2003/04/02 06:00:00,651.5,reliable   
B39H0382,002,2003/04/02 09:00:00,  651,reliable   
B39H0382,002,2003/04/02 12:00:00,650.5,reliable   
B39H0382,002,2003/04/02 15:00:00,651.2,reliable   
B39H0382,002,2003/04/02 18:00:00,650.4,reliable   
B39H0382,002,2003/04/02 21:00:00,650.6,reliable   
B39H0382,002,2003/04/03 00:00:00,650.7,reliable   
B39H0382,002,2003/04/03 03:00:00,650.8,reliable   
B39H0382,002,2003/04/03 06:00:00,651.2,reliable   
B39H0382,002,2003/04/03 09:00:00,651.4,reliable   
B39H0382,002,2003/04/03 12:00:00,651.3,reliable   
B39H0382,002,2003/04/03 15:00:00,651.3,reliable   
B39H0382,002,2003/04/03 18:00:00,651.4,reliable   
B39H0382,002,2003/04/03 21:00:00,651.3,reliable   
B39H0382,002,2003/04/04 00:00:00,650.6,reliable   
B39H0382,002,2003/04/04 03:00:00,651.7,reliable   
B39H0382,002,2003/04/04 06:00:00,651.8,reliable   
B39H0382,002,2003/04/04 09:00:00,652.5,reliable   
B39H0382,002,2003/04/04 12:00:00,652.8,reliable   
B39H0382,002,2003/04/04 15:00:00,653.6,reliable   
B39H0382,002,2003/04/04 18:00:00,652.9,reliable   
B39H0382,002,2003/04/04 21:00:00,652.9,reliable   
B39H0382,002,2003/04/05 00:00:00,653.9,reliable   
B39H0382,002,2003/04/05 03:00:00,654.1,reliable   
B39H0382,002,2003/04/05 06:00:00,  654,reliable   
B39H0382,002,2003/04/05 09:00:00,653.4,reliable   
B39H0382,002,2003/04/05 12:00:00,654.1,reliable   
B39H0382,002,2003/04/05 15:00:00,654.5,reliable   
B39H0382,002,2003/04/05 18:00:00,654.3,reliable   
B39H0382,002,2003/04/05 21:00:00,  654,reliable   
B39H0382,002,2003/04/06 00:00:00,654.8,reliable   
B39H0382,002,2003/04/06 03:00:00,654.7,reliable   
B39H0382,002,2003/04/06 06:00:00,  654,reliable   
B39H0382,002,2003/04/06 09:00:00,654.5,reliable   
B39H0382,002,2003/04/06 12:00:00,654.6,reliable   
B39H0382,002,2003/04/06 15:00:00,653.5,reliable   
B39H0382,002,2003/04/06 18:00:00,654.3,reliable   
B39H0382,002,2003/04/06 21:00:00,654.3,reliable   
B39H0382,002,2003/04/07 00:00:00,654.2,reliable   
B39H0382,002,2003/04/07 03:00:00,654.8,reliable   
B39H0382,002,2003/04/07 06:00:00,654.4,reliable   
B39H0382,002,2003/04/07 09:00:00,654.4,reliable   
B39H0382,002,2003/04/07 12:00:00,654.9,reliable   
B39H0382,002,2003/04/07 15:00:00,655.9,reliable   
B39H0382,002,2003/04/07 18:00:00,655.9,reliable   
B39H0382,002,2003/04/07 21:00:00,655.1,reliable   
B39H0382,002,2003/04/08 00:00:00,654.7,reliable   
B39H0382,002,2003/04/08 03:00:00,654.9,reliable   
B39H0382,002,2003/04/08 06:00:00,654.2,reliable   
B39H0382,002,2003/04/08 09:00:00,  654,reliable   
B39H0382,002,2003/04/08 12:00:00,653.8,reliable   
B39H0382,002,2003/04/08 15:00:00,654.8,reliable   
B39H0382,002,2003/04/08 18:00:00,654.1,reliable   
B39H0382,002,2003/04/08 21:00:00,654.9,reliable   
B39H0382,002,2003/04/09 00:00:00,654.7,reliable   
B39H0382,002,2003/04/09 03:00:00,655.1,reliable   
B39H0382,002,2003/04/09 06:00:00,655.7,reliable   
B39H0382,002,2003/04/09 09:00:00,656.3,reliable   
B39H0382,002,2003/04/09 12:00:00,656.7,reliable   
B39H0382,002,2003/04/09 15:00:00,657.1,reliable   
B39H0382,002,2003/04/09 18:00:00,657.8,reliable   
B39H0382,002,2003/04/09 21:00:00,657.5,reliable   
B39H0382,002,2003/04/10 00:00:00,657.1,reliable   
B39H0382,002,2003/04/10 03:00:00,  657,reliable   
B39H0382,002,2003/04/10 06:00:00,657.7,reliable   
B39H0382,002,2003/04/10 09:00:00,658.1,reliable   
B39H0382,002,2003/04/10 12:00:00,657.9,reliable   
B39H0382,002,2003/04/10 15:00:00,657.9,reliable   
B39H0382,002,2003/04/10 18:00:00,658.1,reliable   
B39H0382,002,2003/04/10 21:00:00,657.2,reliable   
B39H0382,002,2003/04/11 00:00:00,656.4,reliable   
B39H0382,002,2003/04/11 03:00:00,657.4,reliable   
B39H0382,002,2003/04/11 06:00:00,657.2,reliable   
B39H0382,002,2003/04/11 09:00:00,656.9,reliable   
B39H0382,002,2003/04/11 12:00:00,657.2,reliable   
B39H0382,002,2003/04/11 15:00:00,657.1,reliable   
B39H0382,002,2003/04/11 18:00:00,656.1,reliable   
B39H0382,002,2003/04/11 21:00:00,655.5,reliable   
B39H0382,002,2003/04/12 00:00:00,655.6,reliable   
B39H0382,002,2003/04/12 03:00:00,655.3,reliable   
B39H0382,002,2003/04/12 06:00:00,655.9,reliable   
B39H0382,002,2003/04/12 09:00:00,655.5,reliable   
B39H0382,002,2003/04/12 12:00:00,655.1,reliable   
B39H0382,002,2003/04/12 15:00:00,655.1,reliable   
B39H0382,002,2003/04/12 18:00:00,655.3,reliable   
B39H0382,002,2003/04/12 21:00:00,654.5,reliable   
B39H0382,002,2003/04/13 00:00:00,654.1,reliable   
B39H0382,002,2003/04/13 03:00:00,654.4,reliable   
B39H0382,002,2003/04/13 06:00:00,654.2,reliable   
B39H0382,002,2003/04/13 09:00:00,654.4,reliable   
B39H0382,002,2003/04/13 12:00:00,655.7,reliable   
B39H0382,002,2003/04/13 15:00:00,655.6,reliable   
B39H0382,002,2003/04/13 18:00:00,655.5,reliable   
B39H0382,002,2003/04/13 21:00:00,656.3,reliable   
B39H0382,002,2003/04/14 00:00:00,656.2,reliable   
B39H0382,002,2003/04/14 03:00:00,655.9,reliable   
B39H0382,002,2003/04/14 06:00:00,655.8,reliable   
B39H0382,002,2003/04/14 09:00:00,655.9,reliable   
B39H0382,002,2003/04/14 12:00:00,  656,reliable   
B39H0382,002,2003/04/14 15:00:00,655.5,reliable   
