Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:27:32
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855,,752.7,652.7,2012/01/31,2012/02/28
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855,200,752.7,652.7,2012/02/28,2017/02/14
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855,200,752.7,652.7,2017/02/14,2017/05/01
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855.6,200,752.7,652.7,2017/05/01,2017/06/15
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855.6,200,752.7,652.7,2017/06/15,2017/07/04
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855.6,204,752.7,652.7,2017/07/04,2018/08/10
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855.6,204,752.7,652.7,2018/08/10,2020/09/24
B39H3461,001,39H-3461001,177853.12,437292,782.7,,855.6,217,752.7,652.7,2020/09/24,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39H3461,001,2012/02/28 12:00:00,667.2,reliable   
B39H3461,001,2012/02/28 15:00:00,665.9,reliable   
B39H3461,001,2012/02/28 18:00:00,665.5,reliable   
B39H3461,001,2012/02/28 21:00:00,665.1,reliable   
B39H3461,001,2012/02/29 00:00:00,664.3,reliable   
B39H3461,001,2012/02/29 03:00:00,664.3,reliable   
B39H3461,001,2012/02/29 06:00:00,663.7,reliable   
B39H3461,001,2012/02/29 09:00:00,663.4,reliable   
B39H3461,001,2012/02/29 12:00:00,663.1,reliable   
B39H3461,001,2012/02/29 15:00:00,662.8,reliable   
B39H3461,001,2012/02/29 18:00:00,662.6,reliable   
B39H3461,001,2012/02/29 21:00:00,662.2,reliable   
B39H3461,001,2012/03/01 00:00:00,662.1,reliable   
B39H3461,001,2012/03/01 03:00:00,661.5,reliable   
B39H3461,001,2012/03/01 06:00:00,661.5,reliable   
B39H3461,001,2012/03/01 09:00:00,661.3,reliable   
B39H3461,001,2012/03/01 12:00:00,  661,reliable   
B39H3461,001,2012/03/01 15:00:00,660.5,reliable   
B39H3461,001,2012/03/01 18:00:00,660.4,reliable   
B39H3461,001,2012/03/01 21:00:00,660.2,reliable   
B39H3461,001,2012/03/02 00:00:00,659.8,reliable   
B39H3461,001,2012/03/02 03:00:00,659.5,reliable   
B39H3461,001,2012/03/02 06:00:00,659.3,reliable   
B39H3461,001,2012/03/02 09:00:00,659.2,reliable   
B39H3461,001,2012/03/02 12:00:00,659.2,reliable   
B39H3461,001,2012/03/02 15:00:00,658.6,reliable   
B39H3461,001,2012/03/02 18:00:00,658.4,reliable   
B39H3461,001,2012/03/02 21:00:00,658.5,reliable   
B39H3461,001,2012/03/03 00:00:00,658.3,reliable   
B39H3461,001,2012/03/03 03:00:00,  658,reliable   
B39H3461,001,2012/03/03 06:00:00,658.1,reliable   
B39H3461,001,2012/03/03 09:00:00,657.9,reliable   
B39H3461,001,2012/03/03 12:00:00,657.7,reliable   
B39H3461,001,2012/03/03 15:00:00,657.8,reliable   
B39H3461,001,2012/03/03 18:00:00,657.5,reliable   
B39H3461,001,2012/03/03 21:00:00,657.8,reliable   
B39H3461,001,2012/03/04 00:00:00,657.5,reliable   
B39H3461,001,2012/03/04 03:00:00,657.4,reliable   
B39H3461,001,2012/03/04 06:00:00,657.1,reliable   
B39H3461,001,2012/03/04 09:00:00,657.2,reliable   
B39H3461,001,2012/03/04 12:00:00,656.9,reliable   
B39H3461,001,2012/03/04 15:00:00,656.7,reliable   
B39H3461,001,2012/03/04 18:00:00,656.5,reliable   
B39H3461,001,2012/03/04 21:00:00,656.7,reliable   
B39H3461,001,2012/03/05 00:00:00,656.7,reliable   
B39H3461,001,2012/03/05 03:00:00,656.7,reliable   
B39H3461,001,2012/03/05 06:00:00,657.7,reliable   
B39H3461,001,2012/03/05 09:00:00,659.1,reliable   
B39H3461,001,2012/03/05 12:00:00,660.4,reliable   
B39H3461,001,2012/03/05 15:00:00,660.9,reliable   
B39H3461,001,2012/03/05 18:00:00,661.7,reliable   
B39H3461,001,2012/03/05 21:00:00,661.9,reliable   
B39H3461,001,2012/03/06 00:00:00,662.4,reliable   
B39H3461,001,2012/03/06 03:00:00,662.1,reliable   
B39H3461,001,2012/03/06 06:00:00,  662,reliable   
B39H3461,001,2012/03/06 09:00:00,  662,reliable   
B39H3461,001,2012/03/06 12:00:00,661.4,reliable   
B39H3461,001,2012/03/06 15:00:00,661.4,reliable   
B39H3461,001,2012/03/06 18:00:00,660.9,reliable   
B39H3461,001,2012/03/06 21:00:00,660.4,reliable   
B39H3461,001,2012/03/07 00:00:00,660.1,reliable   
B39H3461,001,2012/03/07 03:00:00,659.8,reliable   
B39H3461,001,2012/03/07 06:00:00,659.9,reliable   
B39H3461,001,2012/03/07 09:00:00,659.7,reliable   
B39H3461,001,2012/03/07 12:00:00,659.7,reliable   
B39H3461,001,2012/03/07 15:00:00,659.5,reliable   
B39H3461,001,2012/03/07 18:00:00,659.5,reliable   
B39H3461,001,2012/03/07 21:00:00,661.7,reliable   
B39H3461,001,2012/03/08 00:00:00,  665,reliable   
B39H3461,001,2012/03/08 03:00:00,667.1,reliable   
B39H3461,001,2012/03/08 06:00:00,667.8,reliable   
B39H3461,001,2012/03/08 09:00:00,668.2,reliable   
B39H3461,001,2012/03/08 12:00:00,668.7,reliable   
B39H3461,001,2012/03/08 15:00:00,668.9,reliable   
B39H3461,001,2012/03/08 18:00:00,  669,reliable   
B39H3461,001,2012/03/08 21:00:00,669.2,reliable   
B39H3461,001,2012/03/09 00:00:00,669.4,reliable   
B39H3461,001,2012/03/09 03:00:00,669.1,reliable   
B39H3461,001,2012/03/09 06:00:00,669.5,reliable   
B39H3461,001,2012/03/09 09:00:00,669.5,reliable   
B39H3461,001,2012/03/09 12:00:00,669.9,reliable   
B39H3461,001,2012/03/09 15:00:00,  670,reliable   
B39H3461,001,2012/03/09 18:00:00,670.1,reliable   
B39H3461,001,2012/03/09 21:00:00,  670,reliable   
B39H3461,001,2012/03/10 00:00:00,670.3,reliable   
B39H3461,001,2012/03/10 03:00:00,670.2,reliable   
B39H3461,001,2012/03/10 06:00:00,670.3,reliable   
B39H3461,001,2012/03/10 09:00:00,670.2,reliable   
B39H3461,001,2012/03/10 12:00:00,670.2,reliable   
B39H3461,001,2012/03/10 15:00:00,670.4,reliable   
B39H3461,001,2012/03/10 18:00:00,670.4,reliable   
B39H3461,001,2012/03/10 21:00:00,670.1,reliable   
B39H3461,001,2012/03/11 00:00:00,670.3,reliable   
B39H3461,001,2012/03/11 03:00:00,  670,reliable   
B39H3461,001,2012/03/11 06:00:00,669.5,reliable   
B39H3461,001,2012/03/11 09:00:00,669.3,reliable   
B39H3461,001,2012/03/11 12:00:00,669.4,reliable   
B39H3461,001,2012/03/11 15:00:00,669.3,reliable   
B39H3461,001,2012/03/11 18:00:00,668.9,reliable   
B39H3461,001,2012/03/11 21:00:00,668.7,reliable   
B39H3461,001,2012/03/12 00:00:00,668.4,reliable   
B39H3461,001,2012/03/12 03:00:00,668.7,reliable   
B39H3461,001,2012/03/12 06:00:00,  668,reliable   
B39H3461,001,2012/03/12 09:00:00,667.6,reliable   
B39H3461,001,2012/03/12 12:00:00,667.7,reliable   
B39H3461,001,2012/03/12 15:00:00,666.8,reliable   
