Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:27:49
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B39H3489,001,39H-3489001,173087.34,436095.09,701,,768,,558,458,2012/02/02,2012/07/17
B39H3489,001,39H-3489001,173087.34,436095.09,701,,768,300,558,458,2012/07/17,2014/11/14
B39H3489,001,39H-3489001,173087.34,436095.09,701,,768,300,558,458,2014/11/14,2016/10/18
B39H3489,001,39H-3489001,173087.34,436095.09,701,,768,350,558,458,2016/10/18,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B39H3489,001,2012/07/17 08:20:00,  603,reliable   
B39H3489,001,2012/07/17 12:00:00,599.8,reliable   
B39H3489,001,2012/07/17 15:00:00,598.7,reliable   
B39H3489,001,2012/07/17 18:00:00,598.7,reliable   
B39H3489,001,2012/07/17 21:00:00,599.6,reliable   
B39H3489,001,2012/07/18 00:00:00,600.8,reliable   
B39H3489,001,2012/07/18 03:00:00,601.4,reliable   
B39H3489,001,2012/07/18 06:00:00,601.4,reliable   
B39H3489,001,2012/07/18 09:00:00,600.1,reliable   
B39H3489,001,2012/07/18 12:00:00,597.2,reliable   
B39H3489,001,2012/07/18 15:00:00,593.8,reliable   
B39H3489,001,2012/07/18 18:00:00,593.9,reliable   
B39H3489,001,2012/07/18 21:00:00,595.3,reliable   
B39H3489,001,2012/07/19 00:00:00,597.1,reliable   
B39H3489,001,2012/07/19 03:00:00,598.6,reliable   
B39H3489,001,2012/07/19 06:00:00,599.4,reliable   
B39H3489,001,2012/07/19 09:00:00,600.6,reliable   
B39H3489,001,2012/07/19 12:00:00,  599,reliable   
B39H3489,001,2012/07/19 15:00:00,599.8,reliable   
B39H3489,001,2012/07/19 18:00:00,  599,reliable   
B39H3489,001,2012/07/19 21:00:00,599.9,reliable   
B39H3489,001,2012/07/20 00:00:00,601.1,reliable   
B39H3489,001,2012/07/20 03:00:00,601.8,reliable   
B39H3489,001,2012/07/20 06:00:00,602.1,reliable   
B39H3489,001,2012/07/20 09:00:00,601.2,reliable   
B39H3489,001,2012/07/20 12:00:00,598.2,reliable   
B39H3489,001,2012/07/20 15:00:00,595.4,reliable   
B39H3489,001,2012/07/20 18:00:00,593.8,reliable   
B39H3489,001,2012/07/20 21:00:00,595.4,reliable   
B39H3489,001,2012/07/21 00:00:00,  597,reliable   
B39H3489,001,2012/07/21 03:00:00,597.8,reliable   
B39H3489,001,2012/07/21 06:00:00,598.4,reliable   
B39H3489,001,2012/07/21 09:00:00,  597,reliable   
B39H3489,001,2012/07/21 12:00:00,594.2,reliable   
B39H3489,001,2012/07/21 15:00:00,591.9,reliable   
B39H3489,001,2012/07/21 18:00:00,591.2,reliable   
B39H3489,001,2012/07/21 21:00:00,593.1,reliable   
B39H3489,001,2012/07/22 00:00:00,594.7,reliable   
B39H3489,001,2012/07/22 03:00:00,595.7,reliable   
B39H3489,001,2012/07/22 06:00:00,596.3,reliable   
B39H3489,001,2012/07/22 09:00:00,595.4,reliable   
B39H3489,001,2012/07/22 12:00:00,590.4,reliable   
B39H3489,001,2012/07/22 15:00:00,586.8,reliable   
B39H3489,001,2012/07/22 18:00:00,584.7,reliable   
B39H3489,001,2012/07/22 21:00:00,587.1,reliable   
B39H3489,001,2012/07/23 00:00:00,  590,reliable   
B39H3489,001,2012/07/23 03:00:00,591.6,reliable   
B39H3489,001,2012/07/23 06:00:00,592.6,reliable   
B39H3489,001,2012/07/23 09:00:00,590.8,reliable   
B39H3489,001,2012/07/23 12:00:00,585.2,reliable   
B39H3489,001,2012/07/23 15:00:00,581.2,reliable   
B39H3489,001,2012/07/23 18:00:00,578.8,reliable   
B39H3489,001,2012/07/23 21:00:00,581.4,reliable   
B39H3489,001,2012/07/24 00:00:00,585.3,reliable   
B39H3489,001,2012/07/24 03:00:00,587.7,reliable   
B39H3489,001,2012/07/24 06:00:00,588.9,reliable   
B39H3489,001,2012/07/24 09:00:00,586.7,reliable   
B39H3489,001,2012/07/24 12:00:00,580.1,reliable   
B39H3489,001,2012/07/24 15:00:00,576.2,reliable   
B39H3489,001,2012/07/24 18:00:00,573.8,reliable   
B39H3489,001,2012/07/24 21:00:00,576.7,reliable   
B39H3489,001,2012/07/25 00:00:00,581.1,reliable   
B39H3489,001,2012/07/25 03:00:00,584.1,reliable   
B39H3489,001,2012/07/25 06:00:00,586.2,reliable   
B39H3489,001,2012/07/25 09:00:00,584.2,reliable   
B39H3489,001,2012/07/25 12:00:00,577.5,reliable   
B39H3489,001,2012/07/25 15:00:00,572.8,reliable   
B39H3489,001,2012/07/25 18:00:00,570.2,reliable   
B39H3489,001,2012/07/25 21:00:00,574.4,reliable   
B39H3489,001,2012/07/26 00:00:00,578.8,reliable   
B39H3489,001,2012/07/26 03:00:00,581.3,reliable   
B39H3489,001,2012/07/26 06:00:00,583.2,reliable   
B39H3489,001,2012/07/26 09:00:00,581.8,reliable   
B39H3489,001,2012/07/26 12:00:00,575.6,reliable   
B39H3489,001,2012/07/26 15:00:00,570.3,reliable   
B39H3489,001,2012/07/26 18:00:00,567.4,reliable   
B39H3489,001,2012/07/26 21:00:00,571.1,reliable   
B39H3489,001,2012/07/27 00:00:00,575.9,reliable   
B39H3489,001,2012/07/27 03:00:00,579.1,reliable   
B39H3489,001,2012/07/27 06:00:00,581.2,reliable   
B39H3489,001,2012/07/27 09:00:00,580.6,reliable   
B39H3489,001,2012/07/27 12:00:00,576.5,reliable   
B39H3489,001,2012/07/27 15:00:00,570.2,reliable   
B39H3489,001,2012/07/27 18:00:00,569.5,reliable   
B39H3489,001,2012/07/27 21:00:00,574.4,reliable   
B39H3489,001,2012/07/28 00:00:00,577.2,reliable   
