Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:30:20
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0215,001,40AP0215001,183480,439810,815,,880,,-1885,-1985,1960/04/21,1995/09/21
B40A0215,001,40AP0215001,183480,439810,815,,947,,-1885,-1985,1995/09/21,1999/04/01
B40A0215,001,40AP0215001,183480,439810,815,,956,,-1885,-1985,1999/04/01,2014/03/11
B40A0215,001,40AP0215001,183480,439810,815,,956,,-1885,-1985,2014/03/11,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0215,001,1962/02/14 12:00:00,749,reliable   
B40A0215,001,1962/04/27 12:00:00,712,reliable   
B40A0215,001,1962/06/28 12:00:00,699,reliable   
B40A0215,001,1962/08/28 12:00:00,677,reliable   
B40A0215,001,1962/09/28 12:00:00,664,reliable   
B40A0215,001,1962/10/16 12:00:00,663,reliable   
B40A0215,001,1962/11/14 12:00:00,660,reliable   
B40A0215,001,1962/12/14 12:00:00,687,reliable   
B40A0215,001,1963/01/14 12:00:00,664,reliable   
B40A0215,001,1963/02/14 12:00:00,652,reliable   
B40A0215,001,1963/04/29 12:00:00,678,reliable   
B40A0215,001,1963/06/27 12:00:00,682,reliable   
B40A0215,001,1963/07/30 12:00:00,664,reliable   
B40A0215,001,1963/08/27 12:00:00,678,reliable   
B40A0215,001,1963/10/15 12:00:00,706,reliable   
B40A0215,001,1963/11/14 12:00:00,665,reliable   
B40A0215,001,1963/12/11 12:00:00,673,reliable   
B40A0215,001,1964/02/15 12:00:00,680,reliable   
B40A0215,001,1964/04/28 12:00:00,678,reliable   
B40A0215,001,1964/07/01 12:00:00,659,reliable   
B40A0215,001,1964/08/28 12:00:00,631,reliable   
B40A0215,001,1964/10/14 12:00:00,627,reliable   
B40A0215,001,1964/12/19 12:00:00,697,reliable   
B40A0215,001,1965/02/16 12:00:00,685,reliable   
B40A0215,001,1965/04/14 12:00:00,689,reliable   
B40A0215,001,1965/06/28 12:00:00,709,reliable   
B40A0215,001,1965/08/30 12:00:00,680,reliable   
B40A0215,001,1965/10/14 12:00:00,665,reliable   
B40A0215,001,1965/12/14 12:00:00,778,reliable   
B40A0215,001,1966/02/14 12:00:00,800,reliable   
B40A0215,001,1966/04/28 12:00:00,745,reliable   
B40A0215,001,1966/06/28 12:00:00,713,reliable   
B40A0215,001,1966/08/29 12:00:00,685,reliable   
B40A0215,001,1966/10/14 12:00:00,650,reliable   
B40A0215,001,1966/12/14 12:00:00,770,reliable   
B40A0215,001,1967/02/14 12:00:00,689,reliable   
B40A0215,001,1967/04/27 12:00:00,682,reliable   
B40A0215,001,1967/06/28 12:00:00,690,reliable   
B40A0215,001,1967/08/29 12:00:00,671,reliable   
B40A0215,001,1967/10/13 12:00:00,663,reliable   
B40A0215,001,1967/12/14 12:00:00,721,reliable   
B40A0215,001,1968/02/14 12:00:00,705,reliable   
B40A0215,001,1968/04/29 12:00:00,695,reliable   
B40A0215,001,1968/06/27 12:00:00,703,reliable   
B40A0215,001,1968/08/28 12:00:00,699,reliable   
B40A0215,001,1968/10/15 12:00:00,741,reliable   
B40A0215,001,1968/12/16 12:00:00,665,reliable   
B40A0215,001,1969/02/14 12:00:00,690,reliable   
B40A0215,001,1969/04/28 12:00:00,734,reliable   
B40A0215,001,1969/06/26 12:00:00,691,reliable   
B40A0215,001,1969/08/28 12:00:00,685,reliable   
B40A0215,001,1969/10/14 12:00:00,648,reliable   
B40A0215,001,1969/12/15 12:00:00,647,reliable   
B40A0215,001,1970/04/28 12:00:00,727,reliable   
B40A0215,001,1970/06/26 12:00:00,680,reliable   
B40A0215,001,1970/08/28 12:00:00,682,reliable   
B40A0215,001,1970/10/14 12:00:00,682,reliable   
B40A0215,001,1970/12/17 12:00:00,685,reliable   
B40A0215,001,1971/02/15 12:00:00,682,reliable   
B40A0215,001,1971/04/28 12:00:00,603,reliable   
B40A0215,001,1971/08/27 12:00:00,637,reliable   
B40A0215,001,1971/10/14 12:00:00,642,reliable   
B40A0215,001,1971/12/14 12:00:00,639,reliable   
B40A0215,001,1972/04/28 12:00:00,666,reliable   
B40A0215,001,1972/07/28 12:00:00,600,reliable   
B40A0215,001,1972/08/28 12:00:00,551,reliable   
B40A0215,001,1972/10/13 12:00:00,516,reliable   
B40A0215,001,1972/12/14 12:00:00,566,reliable   
B40A0215,001,1973/04/27 12:00:00,585,reliable   
B40A0215,001,1973/08/28 12:00:00,634,reliable   
B40A0215,001,1973/10/15 12:00:00,637,reliable   
B40A0215,001,1973/12/14 12:00:00,718,reliable   
B40A0215,001,1987/07/14 12:00:00,672,reliable   
B40A0215,001,1987/07/28 12:00:00,703,reliable   
B40A0215,001,1987/08/14 12:00:00,684,reliable   
B40A0215,001,1987/08/28 12:00:00,676,reliable   
B40A0215,001,1987/09/14 12:00:00,661,reliable   
B40A0215,001,1987/09/28 12:00:00,657,reliable   
B40A0215,001,1987/10/14 12:00:00,673,reliable   
B40A0215,001,1987/10/28 12:00:00,662,reliable   
B40A0215,001,1987/11/13 12:00:00,680,reliable   
B40A0215,001,1987/11/27 12:00:00,701,reliable   
B40A0215,001,1987/12/14 12:00:00,652,reliable   
B40A0215,001,1987/12/28 12:00:00,676,reliable   
B40A0215,001,1988/01/14 12:00:00,585,reliable   
B40A0215,001,1988/01/28 12:00:00,607,reliable   
B40A0215,001,1988/02/15 12:00:00,703,reliable   
B40A0215,001,1988/02/29 12:00:00,683,reliable   
B40A0215,001,1988/03/14 12:00:00,698,reliable   
B40A0215,001,1988/03/28 12:00:00,713,reliable   
B40A0215,001,1988/04/14 12:00:00,692,reliable   
B40A0215,001,1988/04/28 12:00:00,689,reliable   
B40A0215,001,1988/05/16 12:00:00,662,reliable   
B40A0215,001,1988/05/27 12:00:00,648,reliable   
B40A0215,001,1988/06/14 12:00:00,652,reliable   
B40A0215,001,1988/06/28 12:00:00,635,reliable   
B40A0215,001,1988/07/14 12:00:00,640,reliable   
B40A0215,001,1988/07/28 12:00:00,678,reliable   
B40A0215,001,1988/08/15 12:00:00,646,reliable   
B40A0215,001,1988/08/29 12:00:00,628,reliable   
