Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:30:32
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0400,005,40AP0400005,183258,439652,800,,863,,-8200,-8400,1971/01/01,1975/09/15
B40A0400,005,40AP0400005,183258,439652,800,,858,,-8200,-8400,1975/09/15,1998/05/01
B40A0400,005,40AP0400005,183258,439652,800,,862,,-8200,-8400,1998/05/01,2003/11/27
B40A0400,005,40AP0400005,183258,439652,800,,862,1002,-8200,-8400,2003/11/27,2010/02/09
B40A0400,005,40AP0400005,183258,439652,800,,862,900,-8200,-8400,2010/02/09,2011/02/02
B40A0400,005,40AP0400005,183258,439652,800,,862,1000,-8200,-8400,2011/02/02,2016/02/01
B40A0400,005,40AP0400005,183258,439652,800,,862,1000,-8200,-8400,2016/02/01,2017/04/13
B40A0400,005,40AP0400005,183258,439652,800,,862,1000,-8200,-8400,2017/04/13,2020/02/03
B40A0400,005,40AP0400005,183258,439652,800,,862,1000,-8200,-8400,2020/02/03,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0400,005,1972/12/14 12:00:00,  664,reliable   
B40A0400,005,1973/04/27 12:00:00,  656,reliable   
B40A0400,005,1973/08/28 12:00:00,  601,reliable   
B40A0400,005,1973/10/15 12:00:00,  761,reliable   
B40A0400,005,1973/12/14 12:00:00,  663,reliable   
B40A0400,005,1975/01/14 12:00:00,  364,reliable   
B40A0400,005,1975/01/28 12:00:00,  372,reliable   
B40A0400,005,1975/02/14 12:00:00,  658,reliable   
B40A0400,005,1975/02/28 12:00:00,  619,reliable   
B40A0400,005,1975/03/14 12:00:00,  673,reliable   
B40A0400,005,1975/03/28 12:00:00,  693,reliable   
B40A0400,005,1975/04/14 12:00:00,  643,reliable   
B40A0400,005,1975/04/29 12:00:00,  516,reliable   
B40A0400,005,1975/05/14 12:00:00,  585,reliable   
B40A0400,005,1975/05/28 12:00:00,  618,reliable   
B40A0400,005,1975/06/13 12:00:00,  571,reliable   
B40A0400,005,1975/06/27 12:00:00,  613,reliable   
B40A0400,005,1975/07/14 12:00:00,  567,reliable   
B40A0400,005,1975/07/28 12:00:00,  388,reliable   
B40A0400,005,1975/08/14 12:00:00,  295,reliable   
B40A0400,005,1975/08/28 12:00:00,  292,reliable   
B40A0400,005,1975/09/15 12:00:00,  298,reliable   
B40A0400,005,1975/09/29 12:00:00,  282,reliable   
