Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:30:44
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,773,,-4608.4,-4808.4,1977/03/10,1987/11/04
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,860,,-4608.4,-4808.4,1987/11/04,1998/05/01
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,,-4608.4,-4808.4,1998/05/01,2000/06/29
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,485,-4608.4,-4808.4,2000/06/29,2003/10/15
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,502,-4608.4,-4808.4,2003/10/15,2009/06/29
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,485,-4608.4,-4808.4,2009/06/29,2010/02/04
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,500,-4608.4,-4808.4,2010/02/04,2012/07/17
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,861,490,-4608.4,-4808.4,2012/07/17,2015/10/01
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,894,490,-4608.4,-4808.4,2015/10/01,2019/02/06
B40A0422,002,40AP0422002,181871.92,438508.64,791.6,,894,500,-4608.4,-4808.4,2019/02/06,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0422,002,1977/05/27 12:00:00,  635,reliable   
B40A0422,002,1977/06/14 12:00:00,  657,reliable   
B40A0422,002,1977/06/28 12:00:00,  673,reliable   
B40A0422,002,1977/07/14 12:00:00,  660,reliable   
B40A0422,002,1977/07/28 12:00:00,  688,reliable   
B40A0422,002,1977/08/15 12:00:00,  670,reliable   
B40A0422,002,1977/08/29 12:00:00,  677,reliable   
B40A0422,002,1977/09/28 12:00:00,  673,reliable   
B40A0422,002,1977/10/14 12:00:00,  676,reliable   
B40A0422,002,1977/11/14 12:00:00,  696,reliable   
B40A0422,002,1977/11/28 12:00:00,  701,reliable   
B40A0422,002,1977/12/14 12:00:00,  691,reliable   
B40A0422,002,1977/12/28 12:00:00,  691,reliable   
B40A0422,002,1978/01/12 12:00:00,  703,reliable   
B40A0422,002,1978/01/27 12:00:00,  685,reliable   
B40A0422,002,1978/02/14 12:00:00,  673,reliable   
B40A0422,002,1978/02/28 12:00:00,  655,reliable   
B40A0422,002,1978/03/14 12:00:00,  663,reliable   
B40A0422,002,1978/03/28 12:00:00,  684,reliable   
B40A0422,002,1978/04/14 12:00:00,  698,reliable   
B40A0422,002,1978/04/28 12:00:00,  670,reliable   
B40A0422,002,1978/05/16 12:00:00,  673,reliable   
B40A0422,002,1978/05/29 12:00:00,  661,reliable   
B40A0422,002,1978/06/14 12:00:00,  660,reliable   
B40A0422,002,1978/06/28 12:00:00,  663,reliable   
B40A0422,002,1978/07/14 12:00:00,  674,reliable   
B40A0422,002,1978/07/28 12:00:00,  678,reliable   
B40A0422,002,1978/08/14 12:00:00,  658,reliable   
