Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:30:53
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0439,001,40AP0439001,189530.38,438743.75,885,,871,,224,124,1978/11/29,1989/01/03
B40A0439,001,40AP0439001,189530.38,438743.75,885,,871,,224,124,1989/01/03,2002/11/01
B40A0439,001,40AP0439001,189530.38,438743.75,885,,871,500,224,124,2002/11/01,2010/02/09
B40A0439,001,40AP0439001,189530.38,438743.75,885,,871,400,224,124,2010/02/09,2011/01/17
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,400,224,124,2011/01/17,2011/09/15
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,385,224,124,2011/09/15,2012/01/25
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,347,224,124,2012/01/25,2012/04/08
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,355,224,124,2012/04/08,2013/03/10
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,385,224,124,2013/03/10,2016/07/26
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,350,224,124,2016/07/26,2017/01/31
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,350,224,124,2017/01/31,2020/07/09
B40A0439,001,40AP0439001,189530.38,438743.75,885,,900,350,224,124,2020/07/09,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0439,001,1978/11/29 12:00:00,  771,reliable   
B40A0439,001,1978/12/28 12:00:00,  819,reliable   
B40A0439,001,1979/01/29 12:00:00,  799,reliable   
B40A0439,001,1979/02/15 12:00:00,  823,reliable   
B40A0439,001,1979/02/28 12:00:00,  799,reliable   
B40A0439,001,1979/03/14 12:00:00,  826,reliable   
B40A0439,001,1979/03/28 12:00:00,  812,reliable   
B40A0439,001,1979/04/17 12:00:00,  799,reliable   
B40A0439,001,1979/04/28 12:00:00,  791,reliable   
B40A0439,001,1979/05/14 12:00:00,  803,reliable   
B40A0439,001,1979/05/28 12:00:00,  789,reliable   
B40A0439,001,1979/06/14 12:00:00,  806,reliable   
B40A0439,001,1979/06/28 12:00:00,  790,reliable   
B40A0439,001,1979/07/13 12:00:00,  779,reliable   
B40A0439,001,1979/07/30 12:00:00,  786,reliable   
B40A0439,001,1979/08/14 12:00:00,  796,reliable   
B40A0439,001,1979/08/28 12:00:00,  784,reliable   
B40A0439,001,1979/09/13 12:00:00,  807,reliable   
B40A0439,001,1979/09/28 12:00:00,  781,reliable   
B40A0439,001,1979/10/14 12:00:00,  784,reliable   
B40A0439,001,1979/10/29 12:00:00,  776,reliable   
B40A0439,001,1979/11/14 12:00:00,  811,reliable   
B40A0439,001,1979/11/28 12:00:00,  777,reliable   
B40A0439,001,1979/12/14 12:00:00,  821,reliable   
B40A0439,001,1979/12/28 12:00:00,  829,reliable   
B40A0439,001,1980/01/04 12:00:00,  801,reliable   
B40A0439,001,1980/01/14 12:00:00,  801,reliable   
B40A0439,001,1980/01/28 12:00:00,  793,reliable   
B40A0439,001,1980/02/15 12:00:00,  811,reliable   
B40A0439,001,1980/02/28 12:00:00,  791,reliable   
B40A0439,001,1980/03/14 12:00:00,  811,reliable   
B40A0439,001,1980/03/27 12:00:00,  786,reliable   
B40A0439,001,1980/04/14 12:00:00,  793,reliable   
B40A0439,001,1980/04/28 12:00:00,  787,reliable   
B40A0439,001,1980/05/14 12:00:00,  781,reliable   
B40A0439,001,1980/05/28 12:00:00,  776,reliable   
B40A0439,001,1980/06/13 12:00:00,  780,reliable   
B40A0439,001,1980/06/27 12:00:00,  781,reliable   
B40A0439,001,1980/07/14 12:00:00,  834,reliable   
B40A0439,001,1980/07/28 12:00:00,  816,reliable   
B40A0439,001,1980/08/14 12:00:00,  796,reliable   
B40A0439,001,1980/08/28 12:00:00,  791,reliable   
B40A0439,001,1980/09/15 12:00:00,  781,reliable   
B40A0439,001,1980/09/29 12:00:00,  786,reliable   
B40A0439,001,1980/10/14 12:00:00,  786,reliable   
B40A0439,001,1980/10/28 12:00:00,  774,reliable   
B40A0439,001,1980/11/13 12:00:00,  796,reliable   
B40A0439,001,1980/11/28 12:00:00,  806,reliable   
B40A0439,001,1980/12/15 12:00:00,  805,reliable   
B40A0439,001,1980/12/29 12:00:00,  819,reliable   
B40A0439,001,1981/01/13 12:00:00,  811,reliable   
B40A0439,001,1981/01/28 12:00:00,  820,reliable   
B40A0439,001,1981/02/14 12:00:00,  819,reliable   
B40A0439,001,1981/02/27 12:00:00,  789,reliable   
B40A0439,001,1981/03/13 12:00:00,  848,reliable   
