Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:31:11
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0442,001,40AP0442001,188300,440500,859.2,,891,,-1373.8,-1473.8,1979/01/01,1980/01/03
B40A0442,001,40AP0442001,188300,440500,859.2,,878,,-1373.8,-1473.8,1980/01/03,1980/01/03
B40A0442,001,40AP0442001,188300,440500,859.2,,878,,-1373.8,-1473.8,1980/01/03,1992/01/03
B40A0442,001,40AP0442001,188300,440500,859.2,,862,,-1373.8,-1473.8,1992/01/03,1994/03/01
B40A0442,001,40AP0442001,188300,440500,859.2,,879,,-1373.8,-1473.8,1994/03/01,1995/11/16
B40A0442,001,40AP0442001,188300,440500,859.2,,945,,-1373.8,-1473.8,1995/11/16,1999/08/29
B40A0442,001,40AP0442001,188300,440500,859.2,,943,,-1373.8,-1473.8,1999/08/29,1999/08/29
B40A0442,001,40AP0442001,188300,440500,859.2,,943,,-1373.8,-1473.8,1999/08/29,2000/08/30
B40A0442,001,40AP0442001,188300,440500,859.2,,939,,-1373.8,-1473.8,2000/08/30,2002/04/01
B40A0442,001,40AP0442001,188300,440500,859.2,,939,303,-1373.8,-1473.8,2002/04/01,2002/10/08
B40A0442,001,40AP0442001,188300,440500,859.2,,939,302,-1373.8,-1473.8,2002/10/08,2005/11/17
B40A0442,001,40AP0442001,188300,440500,859.2,,939,298,-1373.8,-1473.8,2005/11/17,2007/05/23
B40A0442,001,40AP0442001,188300,440500,859.2,,939,335,-1373.8,-1473.8,2007/05/23,2010/02/11
B40A0442,001,40AP0442001,188300,440500,859.2,,939,500,-1373.8,-1473.8,2010/02/11,2012/05/29
B40A0442,001,40AP0442001,188300,440500,859.2,,935,500,-1373.8,-1473.8,2012/05/29,2016/02/25
B40A0442,001,40AP0442001,188300,440500,859.2,,935,500,-1373.8,-1473.8,2016/02/25,2016/12/01
B40A0442,001,40AP0442001,188300,440500,859.2,,935,500,-1373.8,-1473.8,2016/12/01,2017/11/03
B40A0442,001,40AP0442001,188300,440500,859.2,,935.7,500,-1373.8,-1473.8,2017/11/03,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0442,001,1979/06/14 12:00:00,  786,reliable   
B40A0442,001,1979/06/28 12:00:00,  773,reliable   
B40A0442,001,1979/07/13 12:00:00,  769,reliable   
B40A0442,001,1979/08/14 12:00:00,  710,reliable   
B40A0442,001,1979/08/28 12:00:00,  766,reliable   
B40A0442,001,1979/09/14 12:00:00,  727,reliable   
B40A0442,001,1979/10/14 12:00:00,  762,reliable   
B40A0442,001,1979/10/31 12:00:00,  731,reliable   
B40A0442,001,1979/11/14 12:00:00,  715,reliable   
B40A0442,001,1979/11/28 12:00:00,  744,reliable   
B40A0442,001,1979/12/14 12:00:00,  763,reliable   
B40A0442,001,1979/12/26 12:00:00,  831,unreliable 
B40A0442,001,1979/12/28 12:00:00,  777,reliable   
B40A0442,001,1980/01/14 12:00:00,  757,reliable   
B40A0442,001,1980/01/28 12:00:00,  752,reliable   
B40A0442,001,1980/02/15 12:00:00,  764,reliable   
B40A0442,001,1980/02/28 12:00:00,  747,reliable   
B40A0442,001,1980/03/14 12:00:00,  762,reliable   
B40A0442,001,1980/03/27 12:00:00,  722,reliable   
B40A0442,001,1980/04/14 12:00:00,  742,reliable   
B40A0442,001,1980/04/28 12:00:00,  732,reliable   
B40A0442,001,1980/05/14 12:00:00,  742,reliable   
B40A0442,001,1980/05/28 12:00:00,  737,reliable   
B40A0442,001,1980/06/13 12:00:00,  742,reliable   
B40A0442,001,1980/06/27 12:00:00,  742,reliable   
B40A0442,001,1980/07/14 12:00:00,  812,reliable   
B40A0442,001,1980/07/28 12:00:00,  829,unreliable 
B40A0442,001,1980/08/14 12:00:00,  747,reliable   
B40A0442,001,1980/08/28 12:00:00,  742,reliable   
B40A0442,001,1980/09/15 12:00:00,  741,reliable   
B40A0442,001,1980/09/29 12:00:00,  755,reliable   
B40A0442,001,1980/10/14 12:00:00,  752,reliable   
B40A0442,001,1980/10/28 12:00:00,  746,reliable   
B40A0442,001,1980/11/13 12:00:00,  747,reliable   
B40A0442,001,1980/12/15 12:00:00,  763,reliable   
B40A0442,001,1980/12/29 12:00:00,  768,reliable   
B40A0442,001,1981/01/13 12:00:00,  762,reliable   
B40A0442,001,1981/01/28 12:00:00,  770,reliable   
B40A0442,001,1981/02/13 12:00:00,  766,reliable   
B40A0442,001,1981/02/27 12:00:00,  752,reliable   
B40A0442,001,1981/03/13 12:00:00,  793,reliable   
B40A0442,001,1981/03/26 12:00:00,  792,reliable   
B40A0442,001,1981/04/14 12:00:00,  720,reliable   
B40A0442,001,1981/04/28 12:00:00,  707,reliable   
B40A0442,001,1981/05/14 12:00:00,  747,reliable   
B40A0442,001,1981/05/29 12:00:00,  730,reliable   
B40A0442,001,1981/06/16 12:00:00,  732,reliable   
B40A0442,001,1981/06/29 12:00:00,  727,reliable   
B40A0442,001,1981/07/15 12:00:00,  732,reliable   
B40A0442,001,1981/07/28 12:00:00,  752,reliable   
B40A0442,001,1981/08/14 12:00:00,  737,reliable   
B40A0442,001,1981/08/28 12:00:00,  721,reliable   
B40A0442,001,1981/09/16 12:00:00,  711,reliable   
B40A0442,001,1981/09/28 12:00:00,  694,reliable   
B40A0442,001,1981/10/14 12:00:00,  709,reliable   
B40A0442,001,1981/10/28 12:00:00,  747,reliable   
B40A0442,001,1981/11/13 12:00:00,  762,reliable   
B40A0442,001,1981/11/29 12:00:00,  769,reliable   
B40A0442,001,1981/12/15 12:00:00,  849,unreliable 
B40A0442,001,1981/12/28 12:00:00,  772,reliable   
B40A0442,001,1982/01/14 12:00:00,  787,reliable   
B40A0442,001,1982/01/19 12:00:00,  853,unreliable 
B40A0442,001,1982/01/28 12:00:00,  792,reliable   
B40A0442,001,1982/02/15 12:00:00,  792,reliable   
B40A0442,001,1982/03/01 12:00:00,  786,reliable   
B40A0442,001,1982/03/15 12:00:00,  790,reliable   
B40A0442,001,1982/03/29 12:00:00,  772,reliable   
B40A0442,001,1982/04/14 12:00:00,  772,reliable   
B40A0442,001,1982/04/28 12:00:00,  752,reliable   
B40A0442,001,1982/05/17 12:00:00,  767,reliable   
B40A0442,001,1982/05/27 12:00:00,  754,reliable   
B40A0442,001,1982/06/15 12:00:00,  748,reliable   
B40A0442,001,1982/06/29 12:00:00,  783,reliable   
B40A0442,001,1982/07/14 12:00:00,  782,reliable   
B40A0442,001,1982/07/27 12:00:00,  777,reliable   
B40A0442,001,1982/08/14 12:00:00,  777,reliable   
B40A0442,001,1982/08/27 12:00:00,  777,reliable   
B40A0442,001,1982/09/14 12:00:00,  777,reliable   
B40A0442,001,1982/09/28 12:00:00,  777,reliable   
B40A0442,001,1982/10/14 12:00:00,  784,reliable   
B40A0442,001,1982/10/28 12:00:00,  787,reliable   
B40A0442,001,1982/11/15 12:00:00,  787,reliable   
B40A0442,001,1982/11/29 12:00:00,  770,reliable   
B40A0442,001,1982/12/14 12:00:00,  772,reliable   
B40A0442,001,1982/12/28 12:00:00,  777,reliable   
B40A0442,001,1983/01/14 12:00:00,  777,reliable   
B40A0442,001,1983/01/27 12:00:00,  777,reliable   
B40A0442,001,1983/02/14 12:00:00,  779,reliable   
B40A0442,001,1983/02/28 12:00:00,  769,reliable   
B40A0442,001,1983/03/14 12:00:00,  772,reliable   
B40A0442,001,1983/03/28 12:00:00,  794,reliable   
B40A0442,001,1983/04/14 12:00:00,  777,reliable   
B40A0442,001,1983/04/28 12:00:00,  772,reliable   
B40A0442,001,1983/05/13 12:00:00,  777,reliable   
B40A0442,001,1983/05/30 12:00:00,  787,reliable   
B40A0442,001,1983/06/14 12:00:00,  772,reliable   
B40A0442,001,1983/06/28 12:00:00,  762,reliable   
B40A0442,001,1983/07/12 12:00:00,  761,reliable   
B40A0442,001,1983/07/28 12:00:00,  750,reliable   
B40A0442,001,1983/08/15 12:00:00,  747,reliable   
B40A0442,001,1983/08/29 12:00:00,  747,reliable   
B40A0442,001,1983/09/14 12:00:00,  755,reliable   
B40A0442,001,1983/09/28 12:00:00,  757,reliable   
B40A0442,001,1983/10/13 12:00:00,  762,reliable   
B40A0442,001,1983/10/28 12:00:00,  755,reliable   
B40A0442,001,1983/11/14 12:00:00,  750,reliable   
B40A0442,001,1983/11/29 12:00:00,  777,reliable   
B40A0442,001,1983/12/14 12:00:00,  777,reliable   
B40A0442,001,1983/12/28 12:00:00,  778,reliable   
B40A0442,001,1984/01/13 12:00:00,  787,reliable   
B40A0442,001,1984/01/30 12:00:00,  787,reliable   
B40A0442,001,1984/02/14 12:00:00,  782,reliable   
B40A0442,001,1984/02/29 12:00:00,  772,reliable   
B40A0442,001,1984/03/14 12:00:00,  777,reliable   
B40A0442,001,1984/03/28 12:00:00,  775,reliable   
B40A0442,001,1984/04/26 12:00:00,  766,reliable   
B40A0442,001,1984/05/14 12:00:00,  767,reliable   
B40A0442,001,1984/05/28 12:00:00,  779,reliable   
B40A0442,001,1984/06/14 12:00:00,  788,reliable   
B40A0442,001,1984/06/28 12:00:00,  769,reliable   
B40A0442,001,1984/07/13 12:00:00,  770,reliable   
B40A0442,001,1984/07/27 12:00:00,  760,reliable   
B40A0442,001,1984/08/15 12:00:00,  757,reliable   
B40A0442,001,1984/08/28 12:00:00,  752,reliable   
B40A0442,001,1984/09/14 12:00:00,  777,reliable   
B40A0442,001,1984/09/27 12:00:00,  777,reliable   
B40A0442,001,1984/10/03 12:00:00,  835,reliable   
B40A0442,001,1984/10/15 12:00:00,  779,reliable   
B40A0442,001,1984/10/30 12:00:00,  782,reliable   
B40A0442,001,1984/11/13 12:00:00,  770,reliable   
B40A0442,001,1984/11/28 12:00:00,  784,reliable   
B40A0442,001,1984/12/14 12:00:00,  790,reliable   
B40A0442,001,1985/01/15 12:00:00,  762,reliable   
B40A0442,001,1985/01/28 12:00:00,  762,reliable   
B40A0442,001,1985/02/14 12:00:00,  762,reliable   
B40A0442,001,1985/02/28 12:00:00,  764,reliable   
B40A0442,001,1985/03/14 12:00:00,  765,reliable   
B40A0442,001,1985/03/27 12:00:00,  771,reliable   
B40A0442,001,1985/04/29 12:00:00,  772,reliable   
B40A0442,001,1985/05/14 12:00:00,  769,reliable   
B40A0442,001,1985/05/28 12:00:00,  772,reliable   
B40A0442,001,1985/06/17 12:00:00,  772,reliable   
B40A0442,001,1985/06/28 12:00:00,  777,reliable   
B40A0442,001,1985/07/15 12:00:00,  768,reliable   
B40A0442,001,1985/07/29 12:00:00,  764,reliable   
B40A0442,001,1985/08/14 12:00:00,  772,reliable   
B40A0442,001,1985/08/27 12:00:00,  768,reliable   
B40A0442,001,1985/09/16 12:00:00,  768,reliable   
B40A0442,001,1985/10/01 12:00:00,  767,reliable   
B40A0442,001,1985/10/15 12:00:00,  772,reliable   
B40A0442,001,1985/10/29 12:00:00,  756,reliable   
B40A0442,001,1985/11/18 12:00:00,  771,reliable   
B40A0442,001,1985/11/28 12:00:00,  764,reliable   
B40A0442,001,1985/12/17 12:00:00,  764,reliable   
B40A0442,001,1986/02/17 12:00:00,  772,reliable   
B40A0442,001,1986/02/28 12:00:00,  759,reliable   
B40A0442,001,1986/03/13 12:00:00,  768,reliable   
B40A0442,001,1986/04/18 12:00:00,  834,reliable   
B40A0442,001,1986/04/29 12:00:00,  782,reliable   
B40A0442,001,1986/05/15 12:00:00,  779,reliable   
B40A0442,001,1986/05/27 12:00:00,  771,reliable   
B40A0442,001,1986/06/17 12:00:00,  772,reliable   
B40A0442,001,1986/07/01 12:00:00,  759,reliable   
B40A0442,001,1986/07/28 12:00:00,  766,reliable   
B40A0442,001,1986/08/14 12:00:00,  767,reliable   
B40A0442,001,1986/08/28 12:00:00,  734,reliable   
B40A0442,001,1986/09/15 12:00:00,  736,reliable   
B40A0442,001,1986/09/29 12:00:00,  741,reliable   
B40A0442,001,1986/10/13 12:00:00,  725,reliable   
B40A0442,001,1986/10/30 12:00:00,  760,reliable   
B40A0442,001,1986/11/13 12:00:00,  736,reliable   
B40A0442,001,1986/11/28 12:00:00,  767,reliable   
B40A0442,001,1986/12/18 12:00:00,  779,reliable   
B40A0442,001,1987/01/20 12:00:00,  774,reliable   
B40A0442,001,1987/01/29 12:00:00,  772,reliable   
B40A0442,001,1987/02/12 12:00:00,  775,reliable   
B40A0442,001,1987/02/26 12:00:00,  776,reliable   
B40A0442,001,1987/03/12 12:00:00,  777,reliable   
B40A0442,001,1987/04/14 12:00:00,  776,reliable   
B40A0442,001,1987/04/28 12:00:00,  772,reliable   
B40A0442,001,1987/05/14 12:00:00,  769,reliable   
B40A0442,001,1987/06/03 12:00:00,  782,reliable   
B40A0442,001,1987/06/15 12:00:00,  779,reliable   
B40A0442,001,1987/06/29 12:00:00,  783,reliable   
B40A0442,001,1987/07/21 12:00:00,  787,reliable   
B40A0442,001,1987/07/28 12:00:00,  786,reliable   
B40A0442,001,1987/08/18 12:00:00,  770,reliable   
B40A0442,001,1987/08/28 12:00:00,  776,reliable   
B40A0442,001,1987/09/14 12:00:00,  772,reliable   
B40A0442,001,1987/09/29 12:00:00,  770,reliable   
B40A0442,001,1987/10/14 12:00:00,  778,reliable   
B40A0442,001,1987/10/29 12:00:00,  777,reliable   
B40A0442,001,1987/11/16 12:00:00,  786,reliable   
B40A0442,001,1987/11/30 12:00:00,  779,reliable   
B40A0442,001,1987/12/15 12:00:00,  771,reliable   
B40A0442,001,1988/01/05 12:00:00,  790,reliable   
B40A0442,001,1988/01/19 12:00:00,  784,reliable   
B40A0442,001,1988/02/15 12:00:00,  805,reliable   
B40A0442,001,1988/02/29 12:00:00,  794,reliable   
B40A0442,001,1988/04/18 12:00:00,  783,reliable   
B40A0442,001,1988/04/28 12:00:00,  779,reliable   
B40A0442,001,1988/05/17 12:00:00,  794,reliable   
B40A0442,001,1988/05/30 12:00:00,  763,reliable   
B40A0442,001,1988/06/16 12:00:00,  764,reliable   
B40A0442,001,1988/06/28 12:00:00,  762,reliable   
B40A0442,001,1988/08/01 12:00:00,  779,reliable   
B40A0442,001,1988/08/16 12:00:00,  752,reliable   
B40A0442,001,1988/08/29 12:00:00,  777,reliable   
B40A0442,001,1988/09/16 12:00:00,  772,reliable   
B40A0442,001,1988/09/30 12:00:00,  771,reliable   
B40A0442,001,1988/10/14 12:00:00,  757,reliable   
B40A0442,001,1988/10/28 12:00:00,  746,reliable   
B40A0442,001,1988/11/14 12:00:00,  737,reliable   
B40A0442,001,1988/11/28 12:00:00,  742,reliable   
B40A0442,001,1989/01/03 12:00:00,  776,reliable   
B40A0442,001,1989/01/17 12:00:00,  775,reliable   
B40A0442,001,1989/01/31 12:00:00,  769,reliable   
B40A0442,001,1989/02/14 12:00:00,  774,reliable   
B40A0442,001,1989/03/01 12:00:00,  777,reliable   
B40A0442,001,1989/03/14 12:00:00,  782,reliable   
B40A0442,001,1989/03/28 12:00:00,  781,reliable   
B40A0442,001,1989/04/14 12:00:00,  782,reliable   
B40A0442,001,1989/04/28 12:00:00,  781,reliable   
B40A0442,001,1989/05/17 12:00:00,  769,reliable   
B40A0442,001,1989/05/29 12:00:00,  766,reliable   
B40A0442,001,1989/06/14 12:00:00,  766,reliable   
B40A0442,001,1989/06/28 12:00:00,  760,reliable   
B40A0442,001,1989/07/14 12:00:00,  750,reliable   
B40A0442,001,1989/07/27 12:00:00,  749,reliable   
B40A0442,001,1989/08/15 12:00:00,  751,reliable   
B40A0442,001,1989/08/28 12:00:00,  753,reliable   
B40A0442,001,1989/09/14 12:00:00,  762,reliable   
B40A0442,001,1989/09/28 12:00:00,  755,reliable   
B40A0442,001,1989/10/13 12:00:00,  761,reliable   
B40A0442,001,1989/10/27 12:00:00,  726,reliable   
B40A0442,001,1989/11/14 12:00:00,  759,reliable   
B40A0442,001,1989/11/28 12:00:00,  748,reliable   
