Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:31:37
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,846,,-3938.1,-4030.1,1986/10/20,1998/05/01
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,847,,-3938.1,-4030.1,1998/05/01,2003/10/15
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,845,606,-3938.1,-4030.1,2003/10/15,2013/04/24
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,865,606,-3938.1,-4030.1,2013/04/24,2015/10/07
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,867.4,606,-3938.1,-4030.1,2015/10/07,2018/01/31
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,867.4,606,-3938.1,-4030.1,2018/01/31,2019/02/14
B40A0535,002,40AP0535002,182645.13,438754.24,780.9,,867.4,606,-3938.1,-4030.1,2019/02/14,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0535,002,1987/01/28 12:00:00,  611,reliable   
B40A0535,002,1987/02/13 12:00:00,  545,reliable   
B40A0535,002,1987/02/27 12:00:00,  543,reliable   
B40A0535,002,1987/03/13 12:00:00,  574,reliable   
B40A0535,002,1987/03/27 12:00:00,  588,reliable   
B40A0535,002,1987/04/14 12:00:00,  558,reliable   
B40A0535,002,1987/04/28 12:00:00,  552,reliable   
B40A0535,002,1987/05/14 12:00:00,  556,reliable   
B40A0535,002,1987/05/27 12:00:00,  551,reliable   
B40A0535,002,1987/06/15 12:00:00,  569,reliable   
B40A0535,002,1987/06/29 12:00:00,  548,reliable   
B40A0535,002,1987/07/14 12:00:00,  519,reliable   
B40A0535,002,1987/07/28 12:00:00,  632,reliable   
B40A0535,002,1987/08/14 12:00:00,  605,reliable   
B40A0535,002,1987/08/28 12:00:00,  612,reliable   
B40A0535,002,1987/09/14 12:00:00,  511,reliable   
B40A0535,002,1987/09/28 12:00:00,  501,reliable   
B40A0535,002,1987/10/14 12:00:00,  525,reliable   
B40A0535,002,1987/10/28 12:00:00,  619,reliable   
B40A0535,002,1987/11/13 12:00:00,  636,reliable   
B40A0535,002,1987/11/27 12:00:00,  624,reliable   
B40A0535,002,1987/12/14 12:00:00,  600,reliable   
B40A0535,002,1987/12/28 12:00:00,  619,reliable   
B40A0535,002,1988/01/14 12:00:00,  594,reliable   
B40A0535,002,1988/01/28 12:00:00,  576,reliable   
B40A0535,002,1988/02/15 12:00:00,  580,reliable   
B40A0535,002,1988/02/29 12:00:00,  555,reliable   
B40A0535,002,1988/03/14 12:00:00,  553,reliable   
B40A0535,002,1988/03/28 12:00:00,  543,reliable   
B40A0535,002,1988/04/14 12:00:00,  527,unreliable 
B40A0535,002,1988/04/28 12:00:00,  536,reliable   
B40A0535,002,1988/05/16 12:00:00,  484,reliable   
B40A0535,002,1988/05/27 12:00:00,  501,reliable   
B40A0535,002,1988/06/14 12:00:00,  493,reliable   
B40A0535,002,1988/06/28 12:00:00,  495,reliable   
B40A0535,002,1988/07/14 12:00:00,  506,reliable   
B40A0535,002,1988/07/28 12:00:00,  519,reliable   
B40A0535,002,1988/08/15 12:00:00,  576,reliable   
B40A0535,002,1988/08/30 12:00:00,  565,reliable   
B40A0535,002,1988/09/14 12:00:00,  521,reliable   
B40A0535,002,1988/09/28 12:00:00,  540,reliable   
B40A0535,002,1988/10/14 12:00:00,  540,reliable   
B40A0535,002,1988/10/28 12:00:00,  587,reliable   
B40A0535,002,1988/11/14 12:00:00,  583,reliable   
B40A0535,002,1988/11/28 12:00:00,  580,reliable   
B40A0535,002,1988/12/14 12:00:00,  601,reliable   
B40A0535,002,1988/12/27 12:00:00,  604,reliable   
B40A0535,002,1989/01/12 12:00:00,  595,reliable   
B40A0535,002,1989/01/27 12:00:00,  573,reliable   
B40A0535,002,1989/02/14 12:00:00,  503,reliable   
B40A0535,002,1989/02/27 12:00:00,  507,reliable   
B40A0535,002,1989/03/14 12:00:00,  506,reliable   
B40A0535,002,1989/03/28 12:00:00,  517,reliable   
B40A0535,002,1989/04/14 12:00:00,  519,reliable   
B40A0535,002,1989/04/28 12:00:00,  522,reliable   
B40A0535,002,1989/05/16 12:00:00,  450,reliable   
B40A0535,002,1989/05/29 12:00:00,  444,reliable   
B40A0535,002,1989/06/14 12:00:00,  442,reliable   
B40A0535,002,1989/06/28 12:00:00,  438,reliable   
B40A0535,002,1989/07/14 12:00:00,  453,reliable   
B40A0535,002,1989/07/28 12:00:00,  450,reliable   
B40A0535,002,1989/08/14 12:00:00,  456,reliable   
B40A0535,002,1989/08/28 12:00:00,  490,reliable   
B40A0535,002,1989/09/14 12:00:00,  519,reliable   
B40A0535,002,1989/09/29 12:00:00,  515,reliable   
B40A0535,002,1989/10/12 12:00:00,  488,reliable   
B40A0535,002,1989/10/27 12:00:00,  491,reliable   
B40A0535,002,1989/11/14 12:00:00,  549,reliable   
B40A0535,002,1989/11/28 12:00:00,  533,reliable   
B40A0535,002,1989/12/14 12:00:00,  489,reliable   
B40A0535,002,1989/12/28 12:00:00,  591,reliable   
B40A0535,002,1990/01/15 12:00:00,  598,reliable   
B40A0535,002,1990/01/29 12:00:00,  574,reliable   
B40A0535,002,1990/02/14 12:00:00,  595,reliable   
B40A0535,002,1990/02/28 12:00:00,  606,reliable   
B40A0535,002,1990/03/14 12:00:00,  581,reliable   
B40A0535,002,1990/03/28 12:00:00,  576,reliable   
B40A0535,002,1990/04/13 12:00:00,  526,reliable   
B40A0535,002,1990/04/27 12:00:00,  524,reliable   
B40A0535,002,1990/05/14 12:00:00,  526,reliable   
B40A0535,002,1990/05/28 12:00:00,  517,reliable   
B40A0535,002,1990/06/14 12:00:00,  505,reliable   
B40A0535,002,1990/06/28 12:00:00,  526,reliable   
B40A0535,002,1990/07/13 12:00:00,  492,reliable   
B40A0535,002,1990/07/27 12:00:00,  484,reliable   
B40A0535,002,1990/08/15 12:00:00,  431,reliable   
B40A0535,002,1990/08/29 12:00:00,  446,reliable   
B40A0535,002,1990/09/14 12:00:00,  444,reliable   
B40A0535,002,1990/09/28 12:00:00,  442,reliable   
B40A0535,002,1990/10/15 12:00:00,  450,reliable   
B40A0535,002,1990/10/29 12:00:00,  460,reliable   
B40A0535,002,1990/11/14 12:00:00,  526,reliable   
B40A0535,002,1990/11/28 12:00:00,  580,reliable   
B40A0535,002,1990/12/14 12:00:00,  577,reliable   
B40A0535,002,1990/12/28 12:00:00,  576,reliable   
B40A0535,002,1991/01/14 12:00:00,  551,reliable   
B40A0535,002,1991/01/28 12:00:00,  536,reliable   
B40A0535,002,1991/02/14 12:00:00,  496,reliable   
B40A0535,002,1991/02/28 12:00:00,  508,reliable   
B40A0535,002,1991/03/14 12:00:00,  510,reliable   
B40A0535,002,1991/03/28 12:00:00,  459,reliable   
B40A0535,002,1991/04/15 12:00:00,  494,reliable   
B40A0535,002,1991/04/26 12:00:00,  477,reliable   
B40A0535,002,1991/05/14 12:00:00,  479,reliable   
B40A0535,002,1991/05/28 12:00:00,  484,reliable   
B40A0535,002,1991/06/14 12:00:00,  486,reliable   
B40A0535,002,1991/06/28 12:00:00,  504,reliable   
B40A0535,002,1991/07/15 12:00:00,  477,reliable   
B40A0535,002,1991/07/29 12:00:00,  473,reliable   
B40A0535,002,1991/08/14 12:00:00,  469,reliable   
B40A0535,002,1991/08/28 12:00:00,  452,reliable   
B40A0535,002,1991/09/13 12:00:00,  447,reliable   
B40A0535,002,1991/09/27 12:00:00,  465,reliable   
B40A0535,002,1991/10/14 12:00:00,  487,reliable   
B40A0535,002,1991/10/28 12:00:00,  452,reliable   
B40A0535,002,1991/11/14 12:00:00,  485,reliable   
B40A0535,002,1991/11/28 12:00:00,  479,reliable   
B40A0535,002,1991/12/13 12:00:00,  467,reliable   
B40A0535,002,1991/12/30 12:00:00,  494,reliable   
B40A0535,002,1992/01/15 12:00:00,  493,reliable   
B40A0535,002,1992/01/28 12:00:00,  536,reliable   
B40A0535,002,1992/02/14 12:00:00,  555,reliable   
B40A0535,002,1992/02/28 12:00:00,  547,reliable   
B40A0535,002,1992/03/13 12:00:00,  588,reliable   
B40A0535,002,1992/03/27 12:00:00,  615,reliable   
B40A0535,002,1992/04/14 12:00:00,  601,reliable   
B40A0535,002,1992/04/28 12:00:00,  606,reliable   
B40A0535,002,1992/05/14 12:00:00,  605,reliable   
B40A0535,002,1992/05/27 12:00:00,  594,reliable   
B40A0535,002,1992/06/15 12:00:00,  537,reliable   
B40A0535,002,1992/06/26 12:00:00,  419,reliable   
B40A0535,002,1992/07/15 12:00:00,  476,reliable   
B40A0535,002,1992/07/29 12:00:00,  506,reliable   
B40A0535,002,1992/08/14 12:00:00,  498,reliable   
B40A0535,002,1992/08/28 12:00:00,  495,reliable   
B40A0535,002,1992/09/14 12:00:00,  499,reliable   
B40A0535,002,1992/09/28 12:00:00,  486,reliable   
B40A0535,002,1992/10/14 12:00:00,  510,reliable   
B40A0535,002,1992/10/29 12:00:00,  552,reliable   
B40A0535,002,1992/11/13 12:00:00,  552,reliable   
B40A0535,002,1992/11/27 12:00:00,  541,reliable   
B40A0535,002,1992/12/14 12:00:00,  540,reliable   
B40A0535,002,1992/12/28 12:00:00,  598,reliable   
B40A0535,002,1993/01/14 12:00:00,  615,reliable   
B40A0535,002,1993/01/28 12:00:00,  611,reliable   
B40A0535,002,1993/02/15 12:00:00,  556,reliable   
B40A0535,002,1993/03/01 12:00:00,  548,reliable   
B40A0535,002,1993/03/15 12:00:00,  500,reliable   
B40A0535,002,1993/03/29 12:00:00,  487,reliable   
B40A0535,002,1993/04/14 12:00:00,  493,reliable   
B40A0535,002,1993/04/28 12:00:00,  486,reliable   
B40A0535,002,1993/05/14 12:00:00,  488,reliable   
B40A0535,002,1993/05/28 12:00:00,  490,reliable   
B40A0535,002,1993/06/14 12:00:00,  483,reliable   
B40A0535,002,1993/06/28 12:00:00,  494,reliable   
B40A0535,002,1993/07/16 12:00:00,  499,reliable   
B40A0535,002,1993/07/29 12:00:00,  523,reliable   
B40A0535,002,1993/08/17 12:00:00,  504,reliable   
B40A0535,002,1993/08/27 12:00:00,  496,reliable   
B40A0535,002,1993/09/14 12:00:00,  515,reliable   
B40A0535,002,1993/10/15 12:00:00,  544,reliable   
B40A0535,002,1993/10/28 12:00:00,  490,reliable   
B40A0535,002,1993/11/16 12:00:00,  521,reliable   
B40A0535,002,1993/11/29 12:00:00,  485,reliable   
B40A0535,002,1993/12/16 12:00:00,  528,reliable   
B40A0535,002,1993/12/27 12:00:00,  544,reliable   
B40A0535,002,1994/01/14 12:00:00,  607,reliable   
B40A0535,002,1994/01/28 12:00:00,  616,reliable   
B40A0535,002,1994/02/14 12:00:00,  595,reliable   
B40A0535,002,1994/02/28 12:00:00,  585,reliable   
B40A0535,002,1994/03/15 12:00:00,  579,reliable   
B40A0535,002,1994/03/28 12:00:00,  663,reliable   
B40A0535,002,1994/04/14 12:00:00,  656,reliable   
B40A0535,002,1994/04/28 12:00:00,  633,reliable   
B40A0535,002,1994/05/16 12:00:00,  582,reliable   
B40A0535,002,1994/05/27 12:00:00,  591,reliable   
B40A0535,002,1994/06/15 12:00:00,  560,reliable   
B40A0535,002,1994/06/28 12:00:00,  550,reliable   
B40A0535,002,1994/07/14 12:00:00,  543,reliable   
B40A0535,002,1994/07/28 12:00:00,  488,reliable   
B40A0535,002,1994/08/15 12:00:00,  505,reliable   
B40A0535,002,1994/08/29 12:00:00,  518,reliable   
B40A0535,002,1994/09/14 12:00:00,  534,reliable   
B40A0535,002,1994/09/28 12:00:00,  535,reliable   
B40A0535,002,1994/10/14 12:00:00,  530,reliable   
B40A0535,002,1994/10/28 12:00:00,  518,reliable   
B40A0535,002,1994/11/15 12:00:00,  525,reliable   
B40A0535,002,1994/11/29 12:00:00,  513,reliable   
B40A0535,002,1994/12/13 12:00:00,  525,reliable   
B40A0535,002,1994/12/28 12:00:00,  579,reliable   
B40A0535,002,1995/01/12 12:00:00,  601,reliable   
B40A0535,002,1995/01/26 12:00:00,  588,reliable   
B40A0535,002,1995/02/14 12:00:00,  577,reliable   
B40A0535,002,1995/02/28 12:00:00,  577,reliable   
B40A0535,002,1995/03/14 12:00:00,  567,reliable   
B40A0535,002,1995/03/28 12:00:00,  566,reliable   
B40A0535,002,1995/04/13 12:00:00,  560,reliable   
B40A0535,002,1995/04/28 12:00:00,  560,reliable   
B40A0535,002,1995/05/15 12:00:00,  558,reliable   
B40A0535,002,1995/05/29 12:00:00,  572,reliable   
B40A0535,002,1995/06/14 12:00:00,  577,reliable   
