Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:29:55
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0609,002,40AP0038002,185480,439530,868,,860,,418,318,1975/04/29,2003/10/15
B40A0609,002,40AP0038002,185480,439530,868,,860,403,418,318,2003/10/15,2010/02/09
B40A0609,002,40AP0038002,185480,439530,868,,860,300,418,318,2010/02/09,2011/06/29
B40A0609,002,40AP0038002,185480,439530,868,,860,307,418,318,2011/06/29,2018/05/29
B40A0609,002,40AP0038002,185480,439530,868,,860,300,418,318,2018/05/29,2020/10/26
B40A0609,002,40AP0038002,185480,439530,868,,860,300,418,318,2020/10/26,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0609,002,1975/04/29 12:00:00,  711,reliable   
B40A0609,002,1975/05/14 12:00:00,  719,reliable   
B40A0609,002,1975/05/28 12:00:00,  716,reliable   
B40A0609,002,1975/06/13 12:00:00,  707,reliable   
B40A0609,002,1975/06/27 12:00:00,  727,reliable   
B40A0609,002,1975/07/14 12:00:00,  729,reliable   
B40A0609,002,1975/07/28 12:00:00,  722,reliable   
B40A0609,002,1975/08/14 12:00:00,  691,reliable   
B40A0609,002,1975/08/28 12:00:00,  694,reliable   
B40A0609,002,1975/09/15 12:00:00,  695,reliable   
B40A0609,002,1975/09/29 12:00:00,  689,reliable   
B40A0609,002,1975/10/14 12:00:00,  685,reliable   
B40A0609,002,1975/10/28 12:00:00,  685,reliable   
B40A0609,002,1975/11/14 12:00:00,  706,reliable   
B40A0609,002,1975/11/28 12:00:00,  718,reliable   
B40A0609,002,1975/12/15 12:00:00,  710,reliable   
B40A0609,002,1975/12/29 12:00:00,  696,reliable   
B40A0609,002,1976/01/14 12:00:00,  733,reliable   
B40A0609,002,1976/01/28 12:00:00,  715,reliable   
B40A0609,002,1976/02/13 12:00:00,  728,reliable   
B40A0609,002,1976/02/27 12:00:00,  697,reliable   
B40A0609,002,1976/03/15 12:00:00,  685,reliable   
B40A0609,002,1976/03/29 12:00:00,  679,reliable   
B40A0609,002,1976/04/14 12:00:00,  691,reliable   
B40A0609,002,1976/04/28 12:00:00,  699,reliable   
B40A0609,002,1976/05/14 12:00:00,  699,reliable   
B40A0609,002,1976/05/28 12:00:00,  702,reliable   
B40A0609,002,1976/06/14 12:00:00,  695,reliable   
