Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:30:00
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,795,,372.9,272.9,1975/04/29,1998/05/01
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,797,,372.9,272.9,1998/05/01,2003/10/15
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,797,302,372.9,272.9,2003/10/15,2010/02/04
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,797,300,372.9,272.9,2010/02/04,2015/10/07
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,880,300,372.9,272.9,2015/10/07,2017/01/17
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,880,300,372.9,272.9,2017/01/17,2020/09/24
B40A0611,002,40AP0042002,184033.41,438078.76,822.9,,880,436,372.9,272.9,2020/09/24,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0611,002,1975/04/29 12:00:00,  669,reliable   
B40A0611,002,1975/05/14 12:00:00,  685,reliable   
B40A0611,002,1975/05/28 12:00:00,  682,reliable   
B40A0611,002,1975/06/13 12:00:00,  682,reliable   
B40A0611,002,1975/06/27 12:00:00,  697,reliable   
B40A0611,002,1975/07/14 12:00:00,  685,reliable   
B40A0611,002,1975/07/28 12:00:00,  677,reliable   
B40A0611,002,1975/08/14 12:00:00,  660,reliable   
B40A0611,002,1975/08/28 12:00:00,  653,reliable   
B40A0611,002,1975/09/15 12:00:00,  652,reliable   
B40A0611,002,1975/09/29 12:00:00,  642,reliable   
B40A0611,002,1975/10/14 12:00:00,  638,reliable   
B40A0611,002,1975/10/28 12:00:00,  653,reliable   
B40A0611,002,1975/11/14 12:00:00,  666,reliable   
B40A0611,002,1975/11/28 12:00:00,  647,reliable   
B40A0611,002,1975/12/15 12:00:00,  637,reliable   
B40A0611,002,1975/12/29 12:00:00,  631,reliable   
B40A0611,002,1976/01/14 12:00:00,  663,reliable   
B40A0611,002,1976/01/28 12:00:00,  635,unreliable 
B40A0611,002,1976/02/27 12:00:00,  635,reliable   
B40A0611,002,1976/03/15 12:00:00,  623,reliable   
B40A0611,002,1976/03/29 12:00:00,  619,reliable   
B40A0611,002,1976/04/14 12:00:00,  658,reliable   
B40A0611,002,1976/04/28 12:00:00,  663,reliable   
B40A0611,002,1976/05/14 12:00:00,  662,reliable   
B40A0611,002,1976/05/28 12:00:00,  670,reliable   
B40A0611,002,1976/06/14 12:00:00,  666,reliable   
