Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:29:29
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0662,001,40AL0400001,183262,439671,808,,801,,673,573,1975/01/14,1990/09/21
B40A0662,001,40AL0400001,183262,439671,808,,862,,673,573,1990/09/21,1999/04/01
B40A0662,001,40AL0400001,183262,439671,808,,861,,673,573,1999/04/01,2003/11/27
B40A0662,001,40AL0400001,183262,439671,808,,861,272,673,573,2003/11/27,2010/02/09
B40A0662,001,40AL0400001,183262,439671,808,,861,250,673,573,2010/02/09,2014/11/26
B40A0662,001,40AL0400001,183262,439671,808,,861,250,673,573,2014/11/26,2020/10/26
B40A0662,001,40AL0400001,183262,439671,808,,861,250,673,573,2020/10/26,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0662,001,1975/01/14 12:00:00,  728,reliable   
B40A0662,001,1975/01/28 12:00:00,  775,reliable   
B40A0662,001,1975/02/14 12:00:00,  701,reliable   
B40A0662,001,1975/02/28 12:00:00,  683,reliable   
B40A0662,001,1975/03/14 12:00:00,  712,reliable   
B40A0662,001,1975/04/14 12:00:00,  726,reliable   
B40A0662,001,1975/04/29 12:00:00,  708,reliable   
B40A0662,001,1975/05/14 12:00:00,  695,reliable   
B40A0662,001,1975/05/28 12:00:00,  686,reliable   
B40A0662,001,1975/06/13 12:00:00,  677,reliable   
B40A0662,001,1975/06/27 12:00:00,  706,reliable   
B40A0662,001,1975/07/14 12:00:00,  681,reliable   
B40A0662,001,1975/07/28 12:00:00,  692,reliable   
B40A0662,001,1975/08/14 12:00:00,  659,reliable   
B40A0662,001,1975/08/28 12:00:00,  649,reliable   
B40A0662,001,1975/09/15 12:00:00,  650,reliable   
B40A0662,001,1975/09/29 12:00:00,  643,reliable   
B40A0662,001,1975/10/14 12:00:00,  637,reliable   
B40A0662,001,1975/10/28 12:00:00,  632,reliable   
B40A0662,001,1975/11/14 12:00:00,  651,reliable   
B40A0662,001,1975/11/28 12:00:00,  672,reliable   
B40A0662,001,1975/12/15 12:00:00,  665,reliable   
B40A0662,001,1975/12/29 12:00:00,  662,reliable   
B40A0662,001,1976/01/14 12:00:00,  724,reliable   
B40A0662,001,1976/01/28 12:00:00,  693,reliable   
B40A0662,001,1976/02/13 12:00:00,  737,reliable   
B40A0662,001,1976/02/27 12:00:00,  687,reliable   
B40A0662,001,1976/03/15 12:00:00,  648,reliable   
B40A0662,001,1976/03/29 12:00:00,  645,reliable   
B40A0662,001,1976/04/14 12:00:00,  647,reliable   
B40A0662,001,1976/04/28 12:00:00,  654,reliable   
B40A0662,001,1976/05/14 12:00:00,  654,reliable   
B40A0662,001,1976/05/28 12:00:00,  651,reliable   
B40A0662,001,1976/06/14 12:00:00,  648,reliable   
B40A0662,001,1976/06/28 12:00:00,  641,reliable   
B40A0662,001,1976/07/14 12:00:00,  607,reliable   
B40A0662,001,1976/07/28 12:00:00,  621,reliable   
B40A0662,001,1976/08/13 12:00:00,  623,reliable   
B40A0662,001,1976/08/27 12:00:00,  612,reliable   
B40A0662,001,1976/09/14 12:00:00,  636,reliable   
B40A0662,001,1976/09/28 12:00:00,  640,reliable   
B40A0662,001,1976/10/14 12:00:00,  645,reliable   
B40A0662,001,1976/10/28 12:00:00,  651,reliable   
B40A0662,001,1976/11/15 12:00:00,  651,reliable   
B40A0662,001,1976/11/29 12:00:00,  647,reliable   
B40A0662,001,1976/12/14 12:00:00,  655,reliable   
B40A0662,001,1976/12/27 12:00:00,  651,reliable   
B40A0662,001,1977/01/14 12:00:00,  672,reliable   
B40A0662,001,1977/01/28 12:00:00,  682,reliable   
B40A0662,001,1977/02/14 12:00:00,  702,reliable   
B40A0662,001,1977/02/28 12:00:00,  695,reliable   
B40A0662,001,1977/03/14 12:00:00,  657,reliable   
B40A0662,001,1977/03/28 12:00:00,  678,reliable   
B40A0662,001,1977/04/14 12:00:00,  684,reliable   
B40A0662,001,1977/07/14 12:00:00,  661,reliable   
B40A0662,001,1977/07/28 12:00:00,  678,reliable   
B40A0662,001,1977/08/15 12:00:00,  693,reliable   
B40A0662,001,1977/08/29 12:00:00,  702,reliable   
B40A0662,001,1977/09/14 12:00:00,  672,reliable   
B40A0662,001,1977/09/28 12:00:00,  668,reliable   
B40A0662,001,1977/10/14 12:00:00,  668,reliable   
B40A0662,001,1977/10/28 12:00:00,  667,reliable   
B40A0662,001,1977/11/14 12:00:00,  755,reliable   
B40A0662,001,1977/11/28 12:00:00,  727,reliable   
B40A0662,001,1978/01/12 12:00:00,  778,reliable   
B40A0662,001,1978/01/27 12:00:00,  710,reliable   
B40A0662,001,1978/02/15 12:00:00,  694,reliable   
B40A0662,001,1978/02/28 12:00:00,  689,reliable   
B40A0662,001,1978/03/14 12:00:00,  708,reliable   
B40A0662,001,1978/03/28 12:00:00,  712,reliable   
B40A0662,001,1978/04/14 12:00:00,  680,reliable   
B40A0662,001,1978/04/28 12:00:00,  679,reliable   
B40A0662,001,1978/05/16 12:00:00,  690,reliable   
B40A0662,001,1978/05/29 12:00:00,  682,reliable   
B40A0662,001,1978/06/14 12:00:00,  683,reliable   
B40A0662,001,1978/06/28 12:00:00,  683,reliable   
B40A0662,001,1978/07/14 12:00:00,  690,reliable   
B40A0662,001,1978/07/28 12:00:00,  682,reliable   
B40A0662,001,1978/08/14 12:00:00,  671,reliable   
B40A0662,001,1978/08/28 12:00:00,  662,reliable   
B40A0662,001,1978/09/14 12:00:00,  667,reliable   
B40A0662,001,1978/09/28 12:00:00,  671,reliable   
B40A0662,001,1978/10/13 12:00:00,  680,reliable   
B40A0662,001,1978/10/27 12:00:00,  669,reliable   
B40A0662,001,1978/11/14 12:00:00,  656,reliable   
B40A0662,001,1978/11/28 12:00:00,  648,reliable   
B40A0662,001,1978/12/14 12:00:00,  663,reliable   
B40A0662,001,1978/12/28 12:00:00,  772,reliable   
B40A0662,001,1979/01/15 12:00:00,  703,reliable   
B40A0662,001,1979/01/29 12:00:00,  663,reliable   
B40A0662,001,1979/02/14 12:00:00,  776,reliable   
B40A0662,001,1979/02/28 12:00:00,  704,reliable   
B40A0662,001,1979/03/14 12:00:00,  766,reliable   
B40A0662,001,1979/03/28 12:00:00,  757,reliable   
B40A0662,001,1979/04/13 12:00:00,  686,reliable   
B40A0662,001,1979/04/27 12:00:00,  673,reliable   
B40A0662,001,1979/05/14 12:00:00,  703,reliable   
B40A0662,001,1979/05/28 12:00:00,  688,reliable   
B40A0662,001,1979/06/14 12:00:00,  700,reliable   
B40A0662,001,1979/06/28 12:00:00,  685,reliable   
B40A0662,001,1979/07/13 12:00:00,  668,reliable   
B40A0662,001,1979/07/27 12:00:00,  670,reliable   
B40A0662,001,1979/08/14 12:00:00,  663,reliable   
B40A0662,001,1979/08/28 12:00:00,  661,reliable   
B40A0662,001,1979/09/14 12:00:00,  654,reliable   
B40A0662,001,1979/09/28 12:00:00,  646,reliable   
B40A0662,001,1979/10/15 12:00:00,  665,reliable   
B40A0662,001,1979/10/29 12:00:00,  660,reliable   
B40A0662,001,1979/11/14 12:00:00,  677,reliable   
B40A0662,001,1979/11/28 12:00:00,  661,reliable   
B40A0662,001,1979/12/14 12:00:00,  771,reliable   
B40A0662,001,1979/12/28 12:00:00,  755,reliable   
B40A0662,001,1980/01/14 12:00:00,  697,reliable   
B40A0662,001,1980/01/28 12:00:00,  669,reliable   
B40A0662,001,1980/02/14 12:00:00,  710,reliable   
B40A0662,001,1980/02/28 12:00:00,  676,reliable   
B40A0662,001,1980/03/14 12:00:00,  747,reliable   
B40A0662,001,1980/03/28 12:00:00,  670,reliable   
B40A0662,001,1980/04/14 12:00:00,  680,reliable   
B40A0662,001,1980/04/28 12:00:00,  678,reliable   
B40A0662,001,1980/05/14 12:00:00,  672,reliable   
B40A0662,001,1980/05/28 12:00:00,  667,reliable   
B40A0662,001,1980/06/13 12:00:00,  659,reliable   
B40A0662,001,1980/06/27 12:00:00,  658,reliable   
B40A0662,001,1980/07/14 12:00:00,  726,reliable   
B40A0662,001,1980/07/28 12:00:00,  693,reliable   
B40A0662,001,1980/08/13 12:00:00,  683,reliable   
