Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:29:34
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,849,,677.6,585.6,1987/01/28,2003/10/15
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,847,233,677.6,585.6,2003/10/15,2010/02/04
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,847,300,677.6,585.6,2010/02/04,2013/04/24
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,867,300,677.6,585.6,2013/04/24,2015/10/07
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,873.1,300,677.6,585.6,2015/10/07,2016/12/01
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,873.1,300,677.6,585.6,2016/12/01,2018/10/02
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,873.1,250,677.6,585.6,2018/10/02,2019/09/05
B40A0664,001,40AL0535001,182644.82,438754.43,778.6,,873.1,200,677.6,585.6,2019/09/05,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0664,001,1987/01/28 12:00:00,  666,reliable   
B40A0664,001,1987/02/13 12:00:00,  677,reliable   
B40A0664,001,1987/02/27 12:00:00,  676,reliable   
B40A0664,001,1987/03/13 12:00:00,  694,reliable   
B40A0664,001,1987/03/27 12:00:00,  706,reliable   
B40A0664,001,1987/04/14 12:00:00,  669,reliable   
B40A0664,001,1987/04/28 12:00:00,  653,reliable   
B40A0664,001,1987/05/14 12:00:00,  659,reliable   
B40A0664,001,1987/05/27 12:00:00,  657,reliable   
B40A0664,001,1987/06/15 12:00:00,  697,reliable   
B40A0664,001,1987/06/29 12:00:00,  669,reliable   
B40A0664,001,1987/07/14 12:00:00,  664,reliable   
B40A0664,001,1987/07/28 12:00:00,  720,reliable   
B40A0664,001,1987/08/14 12:00:00,  697,reliable   
B40A0664,001,1987/08/28 12:00:00,  703,reliable   
B40A0664,001,1987/09/14 12:00:00,  676,reliable   
B40A0664,001,1987/09/28 12:00:00,  667,reliable   
B40A0664,001,1987/10/14 12:00:00,  682,reliable   
B40A0664,001,1987/10/28 12:00:00,  661,reliable   
B40A0664,001,1987/11/13 12:00:00,  668,reliable   
B40A0664,001,1987/11/27 12:00:00,  708,reliable   
B40A0664,001,1987/12/14 12:00:00,  683,reliable   
B40A0664,001,1987/12/28 12:00:00,  675,reliable   
B40A0664,001,1988/01/14 12:00:00,  705,reliable   
B40A0664,001,1988/01/28 12:00:00,  749,reliable   
B40A0664,001,1988/02/15 12:00:00,  702,reliable   
B40A0664,001,1988/02/29 12:00:00,  675,reliable   
B40A0664,001,1988/03/14 12:00:00,  706,reliable   
B40A0664,001,1988/03/28 12:00:00,  731,reliable   
B40A0664,001,1988/04/14 12:00:00,  664,reliable   
B40A0664,001,1988/04/28 12:00:00,  652,reliable   
B40A0664,001,1988/05/16 12:00:00,  661,reliable   
B40A0664,001,1988/05/27 12:00:00,  653,reliable   
B40A0664,001,1988/06/14 12:00:00,  651,reliable   
B40A0664,001,1988/06/28 12:00:00,  641,reliable   
B40A0664,001,1988/07/14 12:00:00,  649,reliable   
B40A0664,001,1988/07/28 12:00:00,  662,reliable   
B40A0664,001,1988/08/15 12:00:00,  659,reliable   
B40A0664,001,1988/08/30 12:00:00,  653,reliable   
B40A0664,001,1988/09/14 12:00:00,  650,reliable   
B40A0664,001,1988/09/28 12:00:00,  667,reliable   
B40A0664,001,1988/10/14 12:00:00,  701,reliable   
B40A0664,001,1988/10/28 12:00:00,  663,reliable   
B40A0664,001,1988/11/14 12:00:00,  654,reliable   
B40A0664,001,1988/11/28 12:00:00,  650,reliable   
B40A0664,001,1988/12/14 12:00:00,  669,reliable   
B40A0664,001,1988/12/27 12:00:00,  674,reliable   
B40A0664,001,1989/01/12 12:00:00,  663,reliable   
B40A0664,001,1989/01/27 12:00:00,  646,reliable   
B40A0664,001,1989/02/14 12:00:00,  654,reliable   
B40A0664,001,1989/02/27 12:00:00,  658,reliable   
B40A0664,001,1989/03/14 12:00:00,  681,reliable   
B40A0664,001,1989/03/28 12:00:00,  684,reliable   
B40A0664,001,1989/04/14 12:00:00,  681,reliable   
B40A0664,001,1989/04/28 12:00:00,  687,reliable   
B40A0664,001,1989/05/16 12:00:00,  649,reliable   
B40A0664,001,1989/05/29 12:00:00,  645,reliable   
B40A0664,001,1989/06/14 12:00:00,  641,reliable   
B40A0664,001,1989/06/28 12:00:00,  638,reliable   
B40A0664,001,1989/07/14 12:00:00,  637,reliable   
B40A0664,001,1989/07/28 12:00:00,  633,reliable   
B40A0664,001,1989/08/14 12:00:00,  635,reliable   
B40A0664,001,1989/08/28 12:00:00,  639,reliable   
B40A0664,001,1989/09/14 12:00:00,  646,reliable   
B40A0664,001,1989/09/29 12:00:00,  642,reliable   
B40A0664,001,1989/10/12 12:00:00,  636,reliable   
B40A0664,001,1989/10/27 12:00:00,  636,reliable   
B40A0664,001,1989/11/14 12:00:00,  632,reliable   
B40A0664,001,1989/11/28 12:00:00,  625,reliable   
B40A0664,001,1989/12/14 12:00:00,  676,reliable   
B40A0664,001,1989/12/28 12:00:00,  676,reliable   
B40A0664,001,1990/01/15 12:00:00,  639,reliable   
B40A0664,001,1990/01/29 12:00:00,  691,reliable   
B40A0664,001,1990/02/14 12:00:00,  720,reliable   
B40A0664,001,1990/02/28 12:00:00,  730,reliable   
B40A0664,001,1990/03/14 12:00:00,  706,reliable   
B40A0664,001,1990/03/28 12:00:00,  695,reliable   
B40A0664,001,1990/04/13 12:00:00,  652,reliable   
B40A0664,001,1990/04/27 12:00:00,  648,reliable   
B40A0664,001,1990/05/14 12:00:00,  654,reliable   
B40A0664,001,1990/05/28 12:00:00,  646,reliable   
B40A0664,001,1990/06/14 12:00:00,  641,reliable   
B40A0664,001,1990/06/28 12:00:00,  654,reliable   
B40A0664,001,1990/07/13 12:00:00,  650,reliable   
B40A0664,001,1990/07/27 12:00:00,  644,reliable   
B40A0664,001,1990/08/15 12:00:00,  623,reliable   
B40A0664,001,1990/08/29 12:00:00,  636,reliable   
B40A0664,001,1990/09/14 12:00:00,  632,reliable   
B40A0664,001,1990/09/28 12:00:00,  631,reliable   
B40A0664,001,1990/10/15 12:00:00,  639,reliable   
B40A0664,001,1990/10/29 12:00:00,  639,reliable   
