Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:28:25
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0686,002,40A-0686002,182653.2,440313.8,778.7,,853,,341.7,141.7,2004/03/25,2004/04/03
B40A0686,002,40A-0686002,182653.2,440313.8,778.7,,853,300,341.7,141.7,2004/04/03,2010/02/04
B40A0686,002,40A-0686002,182653.2,440313.8,778.7,,853,300,341.7,141.7,2010/02/04,2015/10/01
B40A0686,002,40A-0686002,182653.2,440313.8,778.7,,852.1,300,341.7,141.7,2015/10/01,2019/09/05
B40A0686,002,40A-0686002,182653.2,440313.8,778.7,,852.1,300,341.7,141.7,2019/09/05,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0686,002,2004/04/03 00:00:00,672.5,reliable   
B40A0686,002,2004/04/03 03:00:00,671.7,reliable   
B40A0686,002,2004/04/03 06:00:00,672.5,reliable   
B40A0686,002,2004/04/03 09:00:00,671.1,reliable   
B40A0686,002,2004/04/03 12:00:00,671.8,reliable   
B40A0686,002,2004/04/03 15:00:00,  673,reliable   
B40A0686,002,2004/04/03 18:00:00,671.9,reliable   
B40A0686,002,2004/04/03 21:00:00,671.2,reliable   
B40A0686,002,2004/04/04 00:00:00,671.3,reliable   
B40A0686,002,2004/04/04 03:00:00,671.7,reliable   
B40A0686,002,2004/04/04 06:00:00,671.6,reliable   
B40A0686,002,2004/04/04 09:00:00,  671,reliable   
B40A0686,002,2004/04/04 12:00:00,671.5,reliable   
B40A0686,002,2004/04/04 15:00:00,671.4,reliable   
B40A0686,002,2004/04/04 18:00:00,670.9,reliable   
B40A0686,002,2004/04/04 21:00:00,670.6,reliable   
B40A0686,002,2004/04/05 00:00:00,670.4,reliable   
B40A0686,002,2004/04/05 03:00:00,669.8,reliable   
B40A0686,002,2004/04/05 06:00:00,669.5,reliable   
B40A0686,002,2004/04/05 09:00:00,670.6,reliable   
B40A0686,002,2004/04/05 12:00:00,670.9,reliable   
B40A0686,002,2004/04/05 15:00:00,670.3,reliable   
B40A0686,002,2004/04/05 18:00:00,670.6,reliable   
B40A0686,002,2004/04/05 21:00:00,671.8,reliable   
B40A0686,002,2004/04/06 00:00:00,  672,reliable   
B40A0686,002,2004/04/06 03:00:00,671.5,reliable   
B40A0686,002,2004/04/06 06:00:00,  671,reliable   
B40A0686,002,2004/04/06 09:00:00,671.6,reliable   
B40A0686,002,2004/04/06 12:00:00,672.9,reliable   
B40A0686,002,2004/04/06 15:00:00,671.8,reliable   
B40A0686,002,2004/04/06 18:00:00,670.7,reliable   
B40A0686,002,2004/04/06 21:00:00,672.2,reliable   
B40A0686,002,2004/04/07 00:00:00,671.4,reliable   
B40A0686,002,2004/04/07 03:00:00,  671,reliable   
B40A0686,002,2004/04/07 06:00:00,670.8,reliable   
B40A0686,002,2004/04/07 09:00:00,669.9,reliable   
B40A0686,002,2004/04/07 12:00:00,670.4,reliable   
B40A0686,002,2004/04/07 15:00:00,669.5,reliable   
B40A0686,002,2004/04/07 18:00:00,669.1,reliable   
B40A0686,002,2004/04/07 21:00:00,670.3,reliable   
B40A0686,002,2004/04/08 00:00:00,668.7,reliable   
B40A0686,002,2004/04/08 03:00:00,670.2,reliable   
B40A0686,002,2004/04/08 06:00:00,668.6,reliable   
B40A0686,002,2004/04/08 09:00:00,669.6,reliable   
B40A0686,002,2004/04/08 12:00:00,669.8,reliable   
B40A0686,002,2004/04/08 15:00:00,670.4,reliable   
B40A0686,002,2004/04/08 18:00:00,669.1,reliable   
B40A0686,002,2004/04/08 21:00:00,671.5,reliable   
B40A0686,002,2004/04/09 00:00:00,670.4,reliable   
B40A0686,002,2004/04/09 03:00:00,670.7,reliable   
B40A0686,002,2004/04/09 06:00:00,671.7,reliable   
B40A0686,002,2004/04/09 09:00:00,671.2,reliable   
B40A0686,002,2004/04/09 12:00:00,672.8,reliable   
B40A0686,002,2004/04/09 15:00:00,672.5,reliable   
B40A0686,002,2004/04/09 18:00:00,673.2,reliable   
B40A0686,002,2004/04/09 21:00:00,672.1,reliable   
B40A0686,002,2004/04/10 00:00:00,671.3,reliable   
B40A0686,002,2004/04/10 03:00:00,672.8,reliable   
B40A0686,002,2004/04/10 06:00:00,673.2,reliable   
B40A0686,002,2004/04/10 09:00:00,672.4,reliable   
B40A0686,002,2004/04/10 12:00:00,673.1,reliable   
B40A0686,002,2004/04/10 15:00:00,672.7,reliable   
B40A0686,002,2004/04/10 18:00:00,673.3,reliable   
B40A0686,002,2004/04/10 21:00:00,673.1,reliable   
B40A0686,002,2004/04/11 00:00:00,673.3,reliable   
B40A0686,002,2004/04/11 03:00:00,672.9,reliable   
B40A0686,002,2004/04/11 06:00:00,  673,reliable   
B40A0686,002,2004/04/11 09:00:00,  672,reliable   
B40A0686,002,2004/04/11 12:00:00,673.3,reliable   
B40A0686,002,2004/04/11 15:00:00,673.2,reliable   
B40A0686,002,2004/04/11 18:00:00,673.5,reliable   
B40A0686,002,2004/04/11 21:00:00,673.5,reliable   
B40A0686,002,2004/04/12 00:00:00,673.3,reliable   
B40A0686,002,2004/04/12 03:00:00,673.4,reliable   
B40A0686,002,2004/04/12 06:00:00,  672,reliable   
B40A0686,002,2004/04/12 09:00:00,672.2,reliable   
B40A0686,002,2004/04/12 12:00:00,673.8,reliable   
B40A0686,002,2004/04/12 15:00:00,673.5,reliable   
B40A0686,002,2004/04/12 18:00:00,673.5,reliable   
B40A0686,002,2004/04/12 21:00:00,673.9,reliable   
B40A0686,002,2004/04/13 00:00:00,673.3,reliable   
B40A0686,002,2004/04/13 03:00:00,673.7,reliable   
B40A0686,002,2004/04/13 06:00:00,673.8,reliable   
B40A0686,002,2004/04/13 09:00:00,673.8,reliable   
B40A0686,002,2004/04/13 12:00:00,674.3,reliable   
B40A0686,002,2004/04/13 15:00:00,673.4,reliable   
B40A0686,002,2004/04/13 18:00:00,672.4,reliable   
B40A0686,002,2004/04/13 21:00:00,672.5,reliable   
B40A0686,002,2004/04/14 00:00:00,672.6,reliable   
B40A0686,002,2004/04/14 03:00:00,672.1,reliable   
B40A0686,002,2004/04/14 06:00:00,672.3,reliable   
B40A0686,002,2004/04/14 09:00:00,671.7,reliable   
B40A0686,002,2004/04/14 12:00:00,  673,reliable   
B40A0686,002,2004/04/14 15:00:00,671.7,reliable   
B40A0686,002,2004/04/14 18:00:00,671.9,reliable   
B40A0686,002,2004/04/14 21:00:00,671.9,reliable   
B40A0686,002,2004/04/15 00:00:00,672.2,reliable   
B40A0686,002,2004/04/15 03:00:00,671.6,reliable   
B40A0686,002,2004/04/15 06:00:00,670.6,reliable   
B40A0686,002,2004/04/15 09:00:00,671.7,reliable   
B40A0686,002,2004/04/15 12:00:00,670.6,reliable   
B40A0686,002,2004/04/15 15:00:00,671.1,reliable   
B40A0686,002,2004/04/15 18:00:00,  670,reliable   
B40A0686,002,2004/04/15 21:00:00,669.4,reliable   
B40A0686,002,2004/04/16 00:00:00,669.6,reliable   
B40A0686,002,2004/04/16 03:00:00,669.4,reliable   
B40A0686,002,2004/04/16 06:00:00,668.6,reliable   
B40A0686,002,2004/04/16 09:00:00,669.2,reliable   
B40A0686,002,2004/04/16 12:00:00,670.5,reliable   
B40A0686,002,2004/04/16 15:00:00,668.9,reliable   
B40A0686,002,2004/04/16 18:00:00,  669,reliable   
B40A0686,002,2004/04/16 21:00:00,668.2,reliable   
B40A0686,002,2004/04/17 00:00:00,667.9,reliable   
B40A0686,002,2004/04/17 03:00:00,669.5,reliable   
B40A0686,002,2004/04/17 06:00:00,667.8,reliable   
B40A0686,002,2004/04/17 09:00:00,668.2,reliable   
B40A0686,002,2004/04/17 12:00:00,  669,reliable   
B40A0686,002,2004/04/17 15:00:00,669.5,reliable   
B40A0686,002,2004/04/17 18:00:00,  669,reliable   
B40A0686,002,2004/04/17 21:00:00,668.7,reliable   
B40A0686,002,2004/04/18 00:00:00,  669,reliable   
B40A0686,002,2004/04/18 03:00:00,668.4,reliable   
B40A0686,002,2004/04/18 06:00:00,667.8,reliable   
B40A0686,002,2004/04/18 09:00:00,666.6,reliable   
B40A0686,002,2004/04/18 12:00:00,668.6,reliable   
B40A0686,002,2004/04/18 15:00:00,668.3,reliable   
B40A0686,002,2004/04/18 18:00:00,668.5,reliable   
B40A0686,002,2004/04/18 21:00:00,669.2,reliable   
B40A0686,002,2004/04/19 00:00:00,668.4,reliable   
B40A0686,002,2004/04/19 03:00:00,666.8,reliable   
B40A0686,002,2004/04/19 06:00:00,666.8,reliable   
B40A0686,002,2004/04/19 09:00:00,665.9,reliable   
B40A0686,002,2004/04/19 12:00:00,666.6,reliable   
B40A0686,002,2004/04/19 15:00:00,665.6,reliable   
B40A0686,002,2004/04/19 18:00:00,664.9,reliable   
B40A0686,002,2004/04/19 21:00:00,  666,reliable   
B40A0686,002,2004/04/20 00:00:00,663.7,reliable   
B40A0686,002,2004/04/20 03:00:00,664.1,reliable   
B40A0686,002,2004/04/20 06:00:00,663.9,reliable   
B40A0686,002,2004/04/20 09:00:00,663.6,reliable   
B40A0686,002,2004/04/20 12:00:00,664.1,reliable   
B40A0686,002,2004/04/20 15:00:00,663.5,reliable   
B40A0686,002,2004/04/20 18:00:00,662.2,reliable   
B40A0686,002,2004/04/20 21:00:00,662.4,reliable   
B40A0686,002,2004/04/21 00:00:00,662.3,reliable   
B40A0686,002,2004/04/21 03:00:00,662.6,reliable   
B40A0686,002,2004/04/21 06:00:00,661.8,reliable   
B40A0686,002,2004/04/21 09:00:00,  661,reliable   
B40A0686,002,2004/04/21 12:00:00,663.2,reliable   
