Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:28:30
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A0687,002,40A-0687002,182047.55,440522.56,806,,877,,355,155,2004/03/24,2004/04/03
B40A0687,002,40A-0687002,182047.55,440522.56,806,,877,300,355,155,2004/04/03,2010/02/04
B40A0687,002,40A-0687002,182047.55,440522.56,806,,877,250,355,155,2010/02/04,2015/10/01
B40A0687,002,40A-0687002,182047.55,440522.56,806,,878,250,355,155,2015/10/01,2017/07/25
B40A0687,002,40A-0687002,182047.55,440522.56,806,,878,250,355,155,2017/07/25,2018/02/08
B40A0687,002,40A-0687002,182047.55,440522.56,806,,878,250,355,155,2018/02/08,2018/10/02
B40A0687,002,40A-0687002,182047.55,440522.56,806,,878,400,355,155,2018/10/02,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A0687,002,2004/04/03 00:00:00,646.7,reliable   
B40A0687,002,2004/04/03 03:00:00,  646,reliable   
B40A0687,002,2004/04/03 06:00:00,645.6,reliable   
B40A0687,002,2004/04/03 09:00:00,645.2,reliable   
B40A0687,002,2004/04/03 12:00:00,644.3,reliable   
B40A0687,002,2004/04/03 15:00:00,  646,reliable   
B40A0687,002,2004/04/03 18:00:00,645.2,reliable   
B40A0687,002,2004/04/03 21:00:00,644.5,reliable   
B40A0687,002,2004/04/04 00:00:00,645.1,reliable   
B40A0687,002,2004/04/04 03:00:00,644.4,reliable   
B40A0687,002,2004/04/04 06:00:00,645.2,reliable   
B40A0687,002,2004/04/04 09:00:00,643.8,reliable   
B40A0687,002,2004/04/04 12:00:00,644.1,reliable   
B40A0687,002,2004/04/04 15:00:00,645.5,reliable   
B40A0687,002,2004/04/04 18:00:00,645.8,reliable   
B40A0687,002,2004/04/04 21:00:00,644.5,reliable   
B40A0687,002,2004/04/05 00:00:00,643.6,reliable   
B40A0687,002,2004/04/05 03:00:00,643.6,reliable   
B40A0687,002,2004/04/05 06:00:00,642.9,reliable   
B40A0687,002,2004/04/05 09:00:00,643.6,reliable   
B40A0687,002,2004/04/05 12:00:00,643.1,reliable   
B40A0687,002,2004/04/05 15:00:00,644.5,reliable   
B40A0687,002,2004/04/05 18:00:00,  644,reliable   
