Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:29:13
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40A2161,003,40A-2161003,183410.346,439336.219,772.3,,783,,-3507.7,-3707.7,2008/01/01,2008/02/14
B40A2161,003,40A-2161003,183410.346,439336.219,772.3,,783,1000,-3507.7,-3707.7,2008/02/14,2010/02/04
B40A2161,003,40A-2161003,183410.346,439336.219,772.3,,783,1000,-3507.7,-3707.7,2010/02/04,2015/10/07
B40A2161,003,40A-2161003,183410.346,439336.219,772.3,,798.5,1000,-3507.7,-3707.7,2015/10/07,2018/10/02
B40A2161,003,40A-2161003,183410.346,439336.219,772.3,,798.5,700,-3507.7,-3707.7,2018/10/02,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40A2161,003,2008/02/14 12:00:00,   389,reliable   
B40A2161,003,2008/02/15 12:00:00, 230.8,reliable   
B40A2161,003,2008/02/16 12:00:00,   280,reliable   
B40A2161,003,2008/02/17 12:00:00, 292.2,reliable   
B40A2161,003,2008/02/18 12:00:00, 345.6,reliable   
B40A2161,003,2008/02/19 12:00:00, 327.3,reliable   
B40A2161,003,2008/02/20 12:00:00, 252.9,reliable   
B40A2161,003,2008/02/21 12:00:00, 252.5,reliable   
B40A2161,003,2008/02/22 12:00:00, 272.4,reliable   
B40A2161,003,2008/02/23 12:00:00, 275.4,reliable   
B40A2161,003,2008/02/24 12:00:00, 275.5,reliable   
B40A2161,003,2008/02/25 12:00:00, 242.6,reliable   
B40A2161,003,2008/02/26 12:00:00, 396.5,reliable   
B40A2161,003,2008/02/27 12:00:00, 343.9,reliable   
B40A2161,003,2008/02/28 12:00:00, 278.8,reliable   
B40A2161,003,2008/02/29 12:00:00, 389.8,reliable   
B40A2161,003,2008/03/01 12:00:00, 302.9,reliable   
B40A2161,003,2008/03/02 12:00:00, 358.8,reliable   
B40A2161,003,2008/03/03 12:00:00, 393.8,reliable   
B40A2161,003,2008/03/04 12:00:00, 330.9,reliable   
B40A2161,003,2008/03/05 12:00:00, 397.6,reliable   
B40A2161,003,2008/03/06 12:00:00, 296.5,reliable   
B40A2161,003,2008/03/07 12:00:00, 271.3,reliable   
B40A2161,003,2008/03/08 12:00:00, 292.3,reliable   
B40A2161,003,2008/03/09 12:00:00, 305.7,reliable   
B40A2161,003,2008/03/10 12:00:00, 318.9,reliable   
B40A2161,003,2008/03/11 12:00:00, 275.2,reliable   
B40A2161,003,2008/03/12 12:00:00, 304.1,reliable   
B40A2161,003,2008/03/13 12:00:00, 379.7,reliable   
B40A2161,003,2008/03/14 12:00:00, 292.6,reliable   
B40A2161,003,2008/03/15 12:00:00, 291.1,reliable   
B40A2161,003,2008/03/16 12:00:00, 287.8,reliable   
B40A2161,003,2008/03/17 12:00:00, 274.9,reliable   
B40A2161,003,2008/03/18 12:00:00, 334.9,reliable   
B40A2161,003,2008/03/19 12:00:00, 273.4,reliable   
B40A2161,003,2008/03/20 12:00:00, 267.6,reliable   
B40A2161,003,2008/03/21 12:00:00, 320.8,reliable   
B40A2161,003,2008/03/22 12:00:00, 334.1,reliable   
B40A2161,003,2008/03/23 12:00:00, 310.9,reliable   
B40A2161,003,2008/03/24 12:00:00, 300.5,reliable   
B40A2161,003,2008/03/25 12:00:00, 369.7,reliable   
B40A2161,003,2008/03/26 12:00:00, 285.3,reliable   
B40A2161,003,2008/03/27 12:00:00, 347.5,reliable   
B40A2161,003,2008/03/28 12:00:00, 244.4,reliable   
