Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:32:50
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,975,,-1224,-1324,1979/04/17,1979/12/28
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1072,,-1224,-1324,1979/12/28,1979/12/28
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1072,,-1224,-1324,1979/12/28,1994/03/01
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1068,,-1224,-1324,1994/03/01,1995/11/15
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1127,,-1224,-1324,1995/11/15,2002/04/01
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1127,500,-1224,-1324,2002/04/01,2011/10/17
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1127,500,-1224,-1324,2011/10/17,2017/11/03
B40B0338,001,40BP0338001,192002.4,441109.8,1082,,1126.3,500,-1224,-1324,2017/11/03,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40B0338,001,1979/04/17 12:00:00,  826,reliable   
B40B0338,001,1979/04/27 12:00:00,  813,reliable   
B40B0338,001,1979/05/15 12:00:00,  814,reliable   
B40B0338,001,1979/05/28 12:00:00,  810,reliable   
B40B0338,001,1979/06/14 12:00:00,  834,reliable   
B40B0338,001,1979/06/28 12:00:00,  820,reliable   
B40B0338,001,1979/07/14 12:00:00,  822,reliable   
B40B0338,001,1979/07/28 12:00:00,  798,reliable   
B40B0338,001,1979/08/14 12:00:00,  788,reliable   
B40B0338,001,1979/08/28 12:00:00,  785,reliable   
B40B0338,001,1979/10/14 12:00:00,  764,reliable   
B40B0338,001,1980/01/04 12:00:00,  904,reliable   
B40B0338,001,1980/01/28 12:00:00,  981,reliable   
B40B0338,001,1980/02/28 12:00:00,  912,reliable   
B40B0338,001,1980/03/14 12:00:00,  924,reliable   
B40B0338,001,1980/03/27 12:00:00,  884,reliable   
B40B0338,001,1980/04/14 12:00:00,  897,reliable   
B40B0338,001,1980/04/28 12:00:00,  917,reliable   
B40B0338,001,1980/05/14 12:00:00,  887,reliable   
B40B0338,001,1980/05/28 12:00:00,  872,reliable   
B40B0338,001,1980/06/13 12:00:00,  872,reliable   
B40B0338,001,1980/06/27 12:00:00,  879,reliable   
B40B0338,001,1980/07/14 12:00:00,  932,reliable   
B40B0338,001,1980/07/28 12:00:00,  930,reliable   
B40B0338,001,1980/08/14 12:00:00,  932,reliable   
B40B0338,001,1980/08/28 12:00:00,  994,reliable   
B40B0338,001,1980/09/15 12:00:00,  882,reliable   
B40B0338,001,1980/09/29 12:00:00,  880,reliable   
B40B0338,001,1980/10/14 12:00:00,  884,reliable   
B40B0338,001,1980/10/28 12:00:00,  861,reliable   
B40B0338,001,1980/11/14 12:00:00,  857,reliable   
B40B0338,001,1980/11/28 12:00:00,  872,reliable   
B40B0338,001,1980/12/15 12:00:00,  892,reliable   
B40B0338,001,1980/12/29 12:00:00,  924,reliable   
B40B0338,001,1981/01/14 12:00:00,  912,reliable   
B40B0338,001,1981/01/28 12:00:00,  940,reliable   
B40B0338,001,1981/02/14 12:00:00,  953,reliable   
B40B0338,001,1981/02/27 12:00:00,  910,reliable   
B40B0338,001,1981/03/13 12:00:00,  967,reliable   
B40B0338,001,1981/03/26 12:00:00,  962,reliable   
B40B0338,001,1981/04/14 12:00:00,  926,reliable   
B40B0338,001,1981/04/28 12:00:00,  882,reliable   
B40B0338,001,1981/05/14 12:00:00,  897,reliable   
B40B0338,001,1981/05/27 12:00:00,  872,reliable   
B40B0338,001,1981/06/15 12:00:00,  902,reliable   
B40B0338,001,1981/06/29 12:00:00,  897,reliable   
B40B0338,001,1981/07/15 12:00:00,  862,reliable   
B40B0338,001,1981/07/29 12:00:00,  892,reliable   
B40B0338,001,1981/08/14 12:00:00,  872,reliable   
B40B0338,001,1981/08/28 12:00:00,  869,reliable   
B40B0338,001,1981/09/14 12:00:00,  847,reliable   
B40B0338,001,1981/09/28 12:00:00,  864,reliable   
B40B0338,001,1981/10/14 12:00:00,  882,reliable   
B40B0338,001,1981/10/28 12:00:00,  934,reliable   
B40B0338,001,1981/11/13 12:00:00,  902,reliable   
B40B0338,001,1981/11/29 12:00:00,  902,reliable   
B40B0338,001,1981/12/15 12:00:00,  935,reliable   
B40B0338,001,1981/12/28 12:00:00,  932,reliable   
B40B0338,001,1982/01/14 12:00:00,  942,reliable   
B40B0338,001,1982/01/28 12:00:00,  941,reliable   
B40B0338,001,1982/02/15 12:00:00,  937,reliable   
B40B0338,001,1982/03/01 12:00:00,  907,reliable   
B40B0338,001,1982/03/15 12:00:00,  922,reliable   
B40B0338,001,1982/03/25 12:00:00,  872,reliable   
B40B0338,001,1982/03/29 12:00:00,  907,reliable   
B40B0338,001,1982/04/14 12:00:00,  910,reliable   
B40B0338,001,1982/04/28 12:00:00,  877,reliable   
B40B0338,001,1982/05/01 12:00:00,  842,reliable   
B40B0338,001,1982/05/17 12:00:00,  877,reliable   
B40B0338,001,1982/05/28 12:00:00,  877,reliable   
B40B0338,001,1982/06/14 12:00:00,  872,reliable   
B40B0338,001,1982/07/14 12:00:00,  869,reliable   
B40B0338,001,1982/07/28 12:00:00,  847,reliable   
B40B0338,001,1982/08/13 12:00:00,  822,reliable   
B40B0338,001,1982/08/27 12:00:00,  842,reliable   
B40B0338,001,1982/09/14 12:00:00,  840,reliable   
B40B0338,001,1982/09/28 12:00:00,  837,reliable   
B40B0338,001,1982/10/14 12:00:00,  869,reliable   
B40B0338,001,1982/10/28 12:00:00,  872,reliable   
B40B0338,001,1982/11/14 12:00:00,  852,reliable   
B40B0338,001,1982/11/29 12:00:00,  872,reliable   
B40B0338,001,1982/12/14 12:00:00,  897,reliable   
B40B0338,001,1982/12/28 12:00:00,  927,reliable   
B40B0338,001,1983/01/03 12:00:00,  849,reliable   
B40B0338,001,1983/01/14 12:00:00,  927,reliable   
B40B0338,001,1983/01/17 12:00:00,  787,reliable   
B40B0338,001,1983/01/27 12:00:00,  912,reliable   
B40B0338,001,1983/01/31 12:00:00,  817,reliable   
B40B0338,001,1983/02/14 12:00:00,  924,reliable   
B40B0338,001,1983/02/28 12:00:00,  903,reliable   
B40B0338,001,1983/03/14 12:00:00,  902,reliable   
B40B0338,001,1983/03/28 12:00:00,  927,reliable   
B40B0338,001,1983/04/14 12:00:00,  952,reliable   
B40B0338,001,1983/04/28 12:00:00,  932,reliable   
B40B0338,001,1983/05/13 12:00:00,  927,reliable   
B40B0338,001,1983/05/27 12:00:00,  947,reliable   
B40B0338,001,1983/06/14 12:00:00,  932,reliable   
B40B0338,001,1983/06/28 12:00:00,  877,reliable   
B40B0338,001,1983/07/11 12:00:00,  817,reliable   
B40B0338,001,1983/07/14 12:00:00,  872,reliable   
B40B0338,001,1983/07/27 12:00:00,  862,reliable   
B40B0338,001,1983/08/15 12:00:00,  852,reliable   
