Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:33:46
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,914,,-11021.1,-11221.1,1990/01/01,1994/03/01
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,914,,-11021.1,-11221.1,1994/03/01,1995/11/30
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1053,,-11021.1,-11221.1,1995/11/30,2002/06/12
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1053,500,-11021.1,-11221.1,2002/06/12,2013/04/29
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1053,500,-11021.1,-11221.1,2013/04/29,2016/12/01
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1053,500,-11021.1,-11221.1,2016/12/01,2017/11/09
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1052.3,500,-11021.1,-11221.1,2017/11/09,2019/01/15
B40B0376,005,40BP0376005,192124.5,439980.7,1008.9,,1052.3,500,-11021.1,-11221.1,2019/01/15,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40B0376,005,1990/03/29 12:00:00,  836,reliable   
B40B0376,005,1990/04/17 12:00:00,  828,reliable   
B40B0376,005,1990/04/27 12:00:00,  828,reliable   
B40B0376,005,1990/05/14 12:00:00,  812,reliable   
B40B0376,005,1990/05/29 12:00:00,  801,reliable   
B40B0376,005,1990/06/14 12:00:00,  802,reliable   
B40B0376,005,1990/06/27 12:00:00,  804,reliable   
B40B0376,005,1990/07/16 12:00:00,  795,reliable   
B40B0376,005,1990/07/30 12:00:00,  784,reliable   
B40B0376,005,1990/08/14 12:00:00,  761,reliable   
B40B0376,005,1990/09/04 12:00:00,  766,reliable   
B40B0376,005,1990/09/17 12:00:00,  763,reliable   
B40B0376,005,1990/09/28 12:00:00,  762,reliable   
B40B0376,005,1990/10/16 12:00:00,  765,reliable   
B40B0376,005,1990/10/31 12:00:00,  762,reliable   
B40B0376,005,1990/11/20 12:00:00,  818,reliable   
B40B0376,005,1990/11/30 12:00:00,  829,reliable   
B40B0376,005,1990/12/13 12:00:00,  819,reliable   
B40B0376,005,1991/01/03 12:00:00,  880,reliable   
B40B0376,005,1991/01/15 12:00:00,  922,reliable   
B40B0376,005,1991/01/29 12:00:00,  860,reliable   
B40B0376,005,1991/02/14 12:00:00,  811,reliable   
B40B0376,005,1991/03/01 12:00:00,  848,reliable   
B40B0376,005,1991/03/18 12:00:00,  815,reliable   
B40B0376,005,1991/03/29 12:00:00,  843,reliable   
B40B0376,005,1991/04/12 12:00:00,  814,reliable   
B40B0376,005,1991/04/29 12:00:00,  801,reliable   
B40B0376,005,1991/05/14 12:00:00,  800,reliable   
B40B0376,005,1991/05/29 12:00:00,  796,reliable   
B40B0376,005,1991/06/12 12:00:00,  781,reliable   
B40B0376,005,1991/07/01 12:00:00,  792,reliable   
B40B0376,005,1991/07/15 12:00:00,  790,reliable   
B40B0376,005,1991/07/29 12:00:00,  783,reliable   
B40B0376,005,1991/08/16 12:00:00,  766,reliable   
B40B0376,005,1991/08/29 12:00:00,  750,reliable   
B40B0376,005,1991/09/13 12:00:00,  733,reliable   
B40B0376,005,1991/09/30 12:00:00,  741,reliable   
B40B0376,005,1991/10/15 12:00:00,  745,reliable   
B40B0376,005,1991/10/29 12:00:00,  739,reliable   
B40B0376,005,1991/11/15 12:00:00,  781,reliable   
B40B0376,005,1991/11/27 12:00:00,  776,reliable   
B40B0376,005,1991/12/16 12:00:00,  751,reliable   
B40B0376,005,1991/12/30 12:00:00,  849,reliable   
B40B0376,005,1992/01/14 12:00:00,  821,reliable   
B40B0376,005,1992/01/27 12:00:00,  805,reliable   
B40B0376,005,1992/02/13 12:00:00,  799,reliable   
