Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:34:34
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1052,,243.4,43.4,1993/10/29,1996/08/27
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1121,,243.4,43.4,1996/08/27,1996/08/27
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1121,,243.4,43.4,1996/08/27,2002/04/03
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1117,,243.4,43.4,2002/04/03,2002/06/12
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1117,505,243.4,43.4,2002/06/12,2007/05/23
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1117,500,243.4,43.4,2007/05/23,2010/07/06
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1117,500,243.4,43.4,2010/07/06,2017/01/31
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1117,500,243.4,43.4,2017/01/31,2017/11/06
B40B0420,001,40BP0420001,192943.5,438896.1,1043.4,,1118.9,500,243.4,43.4,2017/11/06,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40B0420,001,2002/04/12 00:00:00, 902.3,reliable   
B40B0420,001,2002/04/12 03:00:00, 904.1,reliable   
B40B0420,001,2002/04/12 06:00:00, 903.8,reliable   
B40B0420,001,2002/04/12 09:00:00, 903.9,reliable   
B40B0420,001,2002/04/12 12:00:00, 903.3,reliable   
B40B0420,001,2002/04/12 15:00:00, 901.2,reliable   
B40B0420,001,2002/04/12 18:00:00,   901,reliable   
B40B0420,001,2002/04/12 21:00:00,   901,reliable   
B40B0420,001,2002/04/13 00:00:00,   901,reliable   
B40B0420,001,2002/04/13 03:00:00, 901.1,reliable   
B40B0420,001,2002/04/13 06:00:00, 900.9,reliable   
B40B0420,001,2002/04/13 09:00:00, 900.2,reliable   
B40B0420,001,2002/04/13 12:00:00,   899,reliable   
B40B0420,001,2002/04/13 15:00:00, 898.5,reliable   
B40B0420,001,2002/04/13 18:00:00, 898.8,reliable   
B40B0420,001,2002/04/13 21:00:00, 898.5,reliable   
B40B0420,001,2002/04/14 00:00:00, 897.9,reliable   
B40B0420,001,2002/04/14 03:00:00, 898.5,reliable   
B40B0420,001,2002/04/14 06:00:00, 897.4,reliable   
B40B0420,001,2002/04/14 09:00:00, 896.5,reliable   
B40B0420,001,2002/04/14 12:00:00, 895.5,reliable   
B40B0420,001,2002/04/14 15:00:00, 895.8,reliable   
B40B0420,001,2002/04/14 18:00:00, 895.6,reliable   
B40B0420,001,2002/04/14 21:00:00, 895.9,reliable   
B40B0420,001,2002/04/15 00:00:00, 895.2,reliable   
B40B0420,001,2002/04/15 03:00:00, 895.6,reliable   
B40B0420,001,2002/04/15 06:00:00, 895.2,reliable   
B40B0420,001,2002/04/15 09:00:00, 894.4,reliable   
B40B0420,001,2002/04/15 12:00:00, 894.2,reliable   
B40B0420,001,2002/04/15 15:00:00, 893.8,reliable   
B40B0420,001,2002/04/15 18:00:00, 893.9,reliable   
B40B0420,001,2002/04/15 21:00:00,   894,reliable   
B40B0420,001,2002/04/16 00:00:00, 894.6,reliable   
B40B0420,001,2002/04/16 03:00:00, 895.3,reliable   
B40B0420,001,2002/04/16 06:00:00, 895.9,reliable   
B40B0420,001,2002/04/16 09:00:00, 895.5,reliable   
B40B0420,001,2002/04/16 12:00:00, 894.9,reliable   
B40B0420,001,2002/04/16 15:00:00, 894.7,reliable   
B40B0420,001,2002/04/16 18:00:00, 894.6,reliable   
B40B0420,001,2002/04/16 21:00:00, 893.6,reliable   
B40B0420,001,2002/04/17 00:00:00, 893.8,reliable   
B40B0420,001,2002/04/17 03:00:00, 893.9,reliable   
B40B0420,001,2002/04/17 06:00:00, 894.3,reliable   
