Titel: ART_DIVER
Gebruikersnaam: 
Periode aangevraagd:
Datum: 2021/11/03 10:32:13
Referentie: cm NAP

LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,KABELLENGTE,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B40B1732,001,40B1732001,192777,437889,1070,,1131,,770,609,2011/08/29,2015/06/20
B40B1732,001,40B1732001,192777,437889,1070,,1131,376,770,609,2015/06/20,2015/11/09
B40B1732,001,40B1732001,192777,437889,1070,,1131,350,770,609,2015/11/09,2018/11/07
B40B1732,001,40B1732001,192777,437889,1070,,1131,404,770,609,2018/11/07,

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (cm NAP),BIJZONDERHEID
B40B1732,001,2015/06/22 12:00:00,841.5,reliable   
B40B1732,001,2015/06/22 15:00:00,841.9,reliable   
B40B1732,001,2015/06/22 18:00:00,841.7,reliable   
B40B1732,001,2015/06/22 21:00:00,842.1,reliable   
B40B1732,001,2015/06/23 00:00:00,841.8,reliable   
B40B1732,001,2015/06/23 03:00:00,841.3,reliable   
B40B1732,001,2015/06/23 06:00:00,841.4,reliable   
B40B1732,001,2015/06/23 09:00:00,841.1,reliable   
B40B1732,001,2015/06/23 12:00:00,840.5,reliable   
B40B1732,001,2015/06/23 15:00:00,840.6,reliable   
B40B1732,001,2015/06/23 18:00:00,840.6,reliable   
B40B1732,001,2015/06/23 21:00:00,840.3,reliable   
B40B1732,001,2015/06/24 00:00:00,840.2,reliable   
B40B1732,001,2015/06/24 03:00:00,  840,reliable   
B40B1732,001,2015/06/24 06:00:00,840.2,reliable   
B40B1732,001,2015/06/24 09:00:00,  840,reliable   
B40B1732,001,2015/06/24 12:00:00,840.1,reliable   
B40B1732,001,2015/06/24 15:00:00,840.2,reliable   
B40B1732,001,2015/06/24 18:00:00,839.7,reliable   
B40B1732,001,2015/06/24 21:00:00,838.7,reliable   
B40B1732,001,2015/06/25 00:00:00,838.5,reliable   
B40B1732,001,2015/06/25 03:00:00,  839,reliable   
B40B1732,001,2015/06/25 06:00:00,839.1,reliable   
B40B1732,001,2015/06/25 09:00:00,838.7,reliable   
B40B1732,001,2015/06/25 12:00:00,838.2,reliable   
B40B1732,001,2015/06/25 15:00:00,837.5,reliable   
B40B1732,001,2015/06/25 18:00:00,836.9,reliable   
B40B1732,001,2015/06/25 21:00:00,  836,reliable   
B40B1732,001,2015/06/26 00:00:00,835.6,reliable   
B40B1732,001,2015/06/26 03:00:00,  836,reliable   
B40B1732,001,2015/06/26 06:00:00,836.7,reliable   
B40B1732,001,2015/06/26 09:00:00,836.3,reliable   
B40B1732,001,2015/06/26 12:00:00,835.6,reliable   
B40B1732,001,2015/06/26 15:00:00,834.8,reliable   
B40B1732,001,2015/06/26 18:00:00,  835,reliable   
B40B1732,001,2015/06/26 21:00:00,834.4,reliable   
B40B1732,001,2015/06/27 00:00:00,834.1,reliable   
B40B1732,001,2015/06/27 03:00:00,  839,reliable   
B40B1732,001,2015/06/27 06:00:00,841.5,reliable   
B40B1732,001,2015/06/27 09:00:00,841.3,reliable   
B40B1732,001,2015/06/27 12:00:00,840.9,reliable   
B40B1732,001,2015/06/27 15:00:00,840.2,reliable   
B40B1732,001,2015/06/27 18:00:00,  839,reliable   
B40B1732,001,2015/06/27 21:00:00,838.4,reliable   
B40B1732,001,2015/06/28 00:00:00,837.8,reliable   
B40B1732,001,2015/06/28 03:00:00,838.1,reliable   
B40B1732,001,2015/06/28 06:00:00,838.1,reliable   
B40B1732,001,2015/06/28 09:00:00,838.5,reliable   
B40B1732,001,2015/06/28 12:00:00,838.2,reliable   
B40B1732,001,2015/06/28 15:00:00,837.8,reliable   
B40B1732,001,2015/06/28 18:00:00,  838,reliable   
B40B1732,001,2015/06/28 21:00:00,837.2,reliable   
B40B1732,001,2015/06/29 00:00:00,837.2,reliable   
B40B1732,001,2015/06/29 03:00:00,837.2,reliable   
B40B1732,001,2015/06/29 06:00:00,837.1,reliable   
B40B1732,001,2015/06/29 09:00:00,836.7,reliable   
B40B1732,001,2015/06/29 12:00:00,835.9,reliable   
B40B1732,001,2015/06/29 15:00:00,835.4,reliable   
B40B1732,001,2015/06/29 18:00:00,834.4,reliable   
B40B1732,001,2015/06/29 21:00:00,833.3,reliable   
B40B1732,001,2015/06/30 00:00:00,832.9,reliable   
B40B1732,001,2015/06/30 03:00:00,833.7,reliable   
B40B1732,001,2015/06/30 06:00:00,833.9,reliable   
B40B1732,001,2015/06/30 09:00:00,833.9,reliable   
B40B1732,001,2015/06/30 12:00:00,833.1,reliable   
B40B1732,001,2015/06/30 15:00:00,833.1,reliable   
B40B1732,001,2015/06/30 18:00:00,832.3,reliable   
B40B1732,001,2015/06/30 21:00:00,831.1,reliable   
B40B1732,001,2015/07/01 00:00:00,  831,reliable   
B40B1732,001,2015/07/01 03:00:00,831.9,reliable   
B40B1732,001,2015/07/01 06:00:00,832.6,reliable   
B40B1732,001,2015/07/01 09:00:00,832.1,reliable   
B40B1732,001,2015/07/01 12:00:00,832.1,reliable   
B40B1732,001,2015/07/01 15:00:00,831.7,reliable   
B40B1732,001,2015/07/01 18:00:00,831.2,reliable   
B40B1732,001,2015/07/01 21:00:00,829.3,reliable   
B40B1732,001,2015/07/02 00:00:00,  828,reliable   
B40B1732,001,2015/07/02 03:00:00,828.9,reliable   
B40B1732,001,2015/07/02 06:00:00,829.3,reliable   
B40B1732,001,2015/07/02 09:00:00,828.8,reliable   
B40B1732,001,2015/07/02 12:00:00,828.6,reliable   
B40B1732,001,2015/07/02 15:00:00,828.2,reliable   
B40B1732,001,2015/07/02 18:00:00,827.5,reliable   
B40B1732,001,2015/07/02 21:00:00,829.5,reliable   
B40B1732,001,2015/07/03 00:00:00,835.1,reliable   
B40B1732,001,2015/07/03 03:00:00,837.9,reliable   
B40B1732,001,2015/07/03 06:00:00,839.2,reliable   
B40B1732,001,2015/07/03 09:00:00,839.6,reliable   
B40B1732,001,2015/07/03 12:00:00,  840,reliable   
B40B1732,001,2015/07/03 15:00:00,840.1,reliable   
B40B1732,001,2015/07/03 18:00:00,840.4,reliable   
B40B1732,001,2015/07/03 21:00:00,840.4,reliable   
B40B1732,001,2015/07/04 00:00:00,840.5,reliable   
B40B1732,001,2015/07/04 03:00:00,  841,reliable   
B40B1732,001,2015/07/04 06:00:00,841.6,reliable   
B40B1732,001,2015/07/04 09:00:00,841.3,reliable   
B40B1732,001,2015/07/04 12:00:00,  840,reliable   
B40B1732,001,2015/07/04 15:00:00,839.1,reliable   
B40B1732,001,2015/07/04 18:00:00,837.7,reliable   
B40B1732,001,2015/07/04 21:00:00,837.6,reliable   
B40B1732,001,2015/07/05 00:00:00,837.3,reliable   
B40B1732,001,2015/07/05 03:00:00,837.8,reliable   
B40B1732,001,2015/07/05 06:00:00,838.5,reliable   
B40B1732,001,2015/07/05 09:00:00,839.2,reliable   
B40B1732,001,2015/07/05 12:00:00,839.1,reliable   
B40B1732,001,2015/07/05 15:00:00,839.3,reliable   
B40B1732,001,2015/07/05 18:00:00,838.5,reliable   
B40B1732,001,2015/07/05 21:00:00,837.8,reliable   
B40B1732,001,2015/07/06 00:00:00,837.2,reliable   
B40B1732,001,2015/07/06 03:00:00,837.3,reliable   
B40B1732,001,2015/07/06 06:00:00,837.2,reliable   
B40B1732,001,2015/07/06 09:00:00,837.1,reliable   
B40B1732,001,2015/07/06 12:00:00,836.7,reliable   
B40B1732,001,2015/07/06 15:00:00,836.4,reliable   
B40B1732,001,2015/07/06 18:00:00,836.6,reliable   
B40B1732,001,2015/07/06 21:00:00,835.7,reliable   
B40B1732,001,2015/07/07 00:00:00,835.4,reliable   
B40B1732,001,2015/07/07 03:00:00,836.4,reliable   
B40B1732,001,2015/07/07 06:00:00,837.1,reliable   
B40B1732,001,2015/07/07 09:00:00,837.3,reliable   
B40B1732,001,2015/07/07 12:00:00,837.2,reliable   
B40B1732,001,2015/07/07 15:00:00,837.6,reliable   
B40B1732,001,2015/07/07 18:00:00,836.7,reliable   
B40B1732,001,2015/07/07 21:00:00,836.8,reliable   
B40B1732,001,2015/07/08 00:00:00,836.4,reliable   
B40B1732,001,2015/07/08 03:00:00,836.3,reliable   
B40B1732,001,2015/07/08 06:00:00,  836,reliable   
B40B1732,001,2015/07/08 09:00:00,835.7,reliable   
B40B1732,001,2015/07/08 12:00:00,835.2,reliable   
B40B1732,001,2015/07/08 15:00:00,835.3,reliable   
B40B1732,001,2015/07/08 18:00:00,835.7,reliable   
B40B1732,001,2015/07/08 21:00:00,836.1,reliable   
B40B1732,001,2015/07/09 00:00:00,836.1,reliable   
B40B1732,001,2015/07/09 03:00:00,837.2,reliable   
B40B1732,001,2015/07/09 06:00:00,837.4,reliable   
B40B1732,001,2015/07/09 09:00:00,837.6,reliable   
B40B1732,001,2015/07/09 12:00:00,836.7,reliable   
B40B1732,001,2015/07/09 15:00:00,836.4,reliable   
B40B1732,001,2015/07/09 18:00:00,  836,reliable   
B40B1732,001,2015/07/09 21:00:00,835.7,reliable   
B40B1732,001,2015/07/10 00:00:00,835.7,reliable   
B40B1732,001,2015/07/10 03:00:00,836.2,reliable   
B40B1732,001,2015/07/10 06:00:00,  836,reliable   
B40B1732,001,2015/07/10 09:00:00,836.3,reliable   
B40B1732,001,2015/07/10 12:00:00,836.2,reliable   
B40B1732,001,2015/07/10 15:00:00,836.3,reliable   
B40B1732,001,2015/07/10 18:00:00,836.3,reliable   
B40B1732,001,2015/07/10 21:00:00,835.8,reliable   
B40B1732,001,2015/07/11 00:00:00,835.6,reliable   
B40B1732,001,2015/07/11 03:00:00,  836,reliable   
B40B1732,001,2015/07/11 06:00:00,836.2,reliable   
B40B1732,001,2015/07/11 09:00:00,835.8,reliable   
B40B1732,001,2015/07/11 12:00:00,835.4,reliable   
B40B1732,001,2015/07/11 15:00:00,834.4,reliable   
B40B1732,001,2015/07/11 18:00:00,833.6,reliable   
B40B1732,001,2015/07/11 21:00:00,832.6,reliable   
B40B1732,001,2015/07/12 00:00:00,  832,reliable   
B40B1732,001,2015/07/12 03:00:00,832.5,reliable   
B40B1732,001,2015/07/12 06:00:00,832.6,reliable   
B40B1732,001,2015/07/12 09:00:00,832.5,reliable   
B40B1732,001,2015/07/12 12:00:00,832.4,reliable   
B40B1732,001,2015/07/12 15:00:00,832.2,reliable   
B40B1732,001,2015/07/12 18:00:00,832.1,reliable   
B40B1732,001,2015/07/12 21:00:00,832.3,reliable   
B40B1732,001,2015/07/13 00:00:00,832.2,reliable   
B40B1732,001,2015/07/13 03:00:00,832.4,reliable   
B40B1732,001,2015/07/13 06:00:00,832.6,reliable   
B40B1732,001,2015/07/13 09:00:00,832.6,reliable   
B40B1732,001,2015/07/13 12:00:00,  833,reliable   
B40B1732,001,2015/07/13 15:00:00,833.7,reliable   
B40B1732,001,2015/07/13 18:00:00,834.2,reliable   
B40B1732,001,2015/07/13 21:00:00,834.6,reliable   
B40B1732,001,2015/07/14 00:00:00,835.1,reliable   
B40B1732,001,2015/07/14 03:00:00,835.7,reliable   
B40B1732,001,2015/07/14 06:00:00,835.8,reliable   
B40B1732,001,2015/07/14 09:00:00,835.7,reliable   
B40B1732,001,2015/07/14 12:00:00,835.9,reliable   
B40B1732,001,2015/07/14 15:00:00,835.7,reliable   
B40B1732,001,2015/07/14 18:00:00,835.2,reliable   
B40B1732,001,2015/07/14 21:00:00,834.2,reliable   
B40B1732,001,2015/07/15 00:00:00,833.8,reliable   
B40B1732,001,2015/07/15 03:00:00,833.9,reliable   
B40B1732,001,2015/07/15 06:00:00,833.8,reliable   
B40B1732,001,2015/07/15 09:00:00,833.8,reliable   
B40B1732,001,2015/07/15 12:00:00,834.2,reliable   
B40B1732,001,2015/07/15 15:00:00,  834,reliable   
B40B1732,001,2015/07/15 18:00:00,833.9,reliable   
B40B1732,001,2015/07/15 21:00:00,833.5,reliable   
B40B1732,001,2015/07/16 00:00:00,833.2,reliable   
B40B1732,001,2015/07/16 03:00:00,832.8,reliable   
B40B1732,001,2015/07/16 06:00:00,832.4,reliable   
B40B1732,001,2015/07/16 09:00:00,832.2,reliable   
B40B1732,001,2015/07/16 12:00:00,832.5,reliable   
B40B1732,001,2015/07/16 15:00:00,832.6,reliable   
B40B1732,001,2015/07/16 18:00:00,832.6,reliable   
B40B1732,001,2015/07/16 21:00:00,832.4,reliable   
B40B1732,001,2015/07/17 00:00:00,832.7,reliable   
B40B1732,001,2015/07/17 03:00:00,833.2,reliable   
B40B1732,001,2015/07/17 06:00:00,833.9,reliable   
B40B1732,001,2015/07/17 09:00:00,833.5,reliable   
B40B1732,001,2015/07/17 12:00:00,832.1,reliable   
B40B1732,001,2015/07/17 15:00:00,831.1,reliable   
B40B1732,001,2015/07/17 18:00:00,830.4,reliable   
B40B1732,001,2015/07/17 21:00:00,829.9,reliable   
B40B1732,001,2015/07/18 00:00:00,829.4,reliable   
B40B1732,001,2015/07/18 03:00:00,829.2,reliable   
B40B1732,001,2015/07/18 06:00:00,829.3,reliable   
